Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Biotechnology, Health Care, Hospital, Payments",[Payments],1,[],0,[],0
"Industrial Manufacturing, Machinery Manufacturing, Manufacturing",[Manufacturing],1,[],0,[],0
"Beauty, Manufacturing, Personal Health",[],0,[],0,[],0
"Computer, Internet, Online Games",[],0,[],0,[],0
"Manufacturing, Medical, Medical Device",[Manufacturing],1,[],0,[],0
"Biotechnology, Consulting, Health Care, Medical, Pharmaceutical",[Biotechnology],1,[],0,[],0
"Location Based Services, Robotics, Software",[],0,[],0,[],0
"Building Maintenance, Building Material, Construction",[Construction],1,[],0,[],0
"Analytics, Biotechnology, Clinical Trials, Pharmaceutical",[],0,[],0,[],0
"Independent Music, Information Technology, Marketing, Music, Music Label",[],0,[],0,[],0
"Consulting, Cyber Security, Information Technology",[],0,[],0,[],0
"Analytics, Asset Management, Construction, Drones, Infrastructure, Power Grid, SaaS, Software, Solar, Task Management",[Analytics],1,[],0,[],0
"Hospitality, Professional Services, Real Estate",[],0,[],0,[Real],1
"Artificial Intelligence, Information Technology, Internet, Mobile, Service Industry, Travel, Travel Agency",[],0,[],0,[],0
Professional Services,[],0,[],0,[],0
"Automotive, Health Care, Medical, Transportation",[],0,[],0,[],0
"Artificial Intelligence, Biotechnology, Business Intelligence, Machine Learning, Software",[],0,[],0,[],0
"Fitness, Food Processing, Health Care",[],0,[],0,[],0
"Consulting, Information Technology, Small and Medium Businesses, Technical Support",[],0,[],0,[Small],1
"Collectibles, E-Commerce, Gaming","[Collectibles, Gaming]",2,[],0,[],0
"Biopharma, Biotechnology, Health Care, Medical, Pharmaceutical",[],0,[],0,[],0
"Fleet Management, Industrial Manufacturing, Manufacturing",[Manufacturing],1,[],0,[],0
"Analytics, E-Commerce, Information Services, Information Technology, Machine Learning",[Analytics],1,[],0,[],0
"Analytics, Finance, Outsourcing",[Outsourcing],1,[],0,[],0
"Internet, PaaS, SaaS, Telecommunications, Unified Communications, Video Chat, VoIP",[Internet],1,[],0,[],0
"Biotechnology, Health Care, Pharmaceutical",[],0,[],0,[],0
"Environmental Consulting, Environmental Engineering",[],0,[],0,[],0
"A/B Testing, Apps, Mobile, Test and Measurement","[A, Measurement]",2,[],0,[],0
"Broadcasting, Digital Entertainment, TV","[Broadcasting, TV]",2,[],0,[],0
"Media and Entertainment, News","[Media, News]",2,[],0,[],0
Management Consulting,[],0,[],0,[],0
"Developer Tools, Gaming, Video Games",[],0,[],0,[],0
"Health Care, Janitorial Service",[],0,[],0,[],0
"Courier Service, Delivery Service, Transportation",[],0,[],0,[],0
"Mobile, Payments, Point of Sale, Software",[],0,[],0,[],0
"Brewing, Food and Beverage",[Brewing],1,[],0,[],0
"Financial Services, FinTech, Health Insurance, Human Resources",[],0,[],0,[],0
"Construction, Hardware, Industrial",[Construction],1,[],0,[],0
"Industrial Automation, Information Technology, Manufacturing, Software",[],0,[],0,[],0
"Apps, Education, Internet, News",[News],1,[],0,[],0
"Biotechnology, Health Care, Medical, Pharmaceutical",[],0,[],0,[],0
"Consulting, Packaging Services, Software",[],0,[],0,[],0
Veterinary,[],0,[],0,[],0
"Mineral, Natural Resources, Oil and Gas",[Mineral],1,[],0,[],0
"Payments, Public Safety, Risk Management, Security","[Payments, Security]",2,[],0,[],0
Real Estate,[Estate],1,[],0,[Real],1
"Electronics, Hardware, Manufacturing, Software",[Electronics],1,[],0,[],0
"Cloud Data Services, Information Technology, VoIP",[],0,[],0,[],0
"Consulting, Information Services, Information Technology",[],0,[],0,[],0
"Advice, Credit Cards, Financial Services, Payments","[Advice, Payments]",2,[],0,[],0
"Consumer Electronics, Hardware",[Hardware],1,[],0,[],0
"Aerospace, Energy, Industrial, Mechanical Engineering, Military, Technical Support",[],0,[],0,[],0
"3D Technology, Manufacturing, Nanotechnology",[],0,[],0,[],0
"Accounting, Banking, Financial Services, FinTech, Small and Medium Businesses, Software",[Accounting],1,[],0,[Small],1
"Health Care, Medical, Pharmaceutical",[],0,[],0,[],0
"Asset Management, Financial Services, FinTech, SaaS",[SaaS],1,[],0,[],0
"Digital Marketing, Internet, Non Profit, Retail",[],0,[],0,[],0
"Mineral, Mining, Precious Metals","[Mineral, Metals]",2,[],0,[Precious],1
"Analytics, Artificial Intelligence, Information Services, Internet, Machine Learning, Software, Web Apps",[Web],1,[],0,[],0
"Construction, Manufacturing","[Construction, Manufacturing]",2,[],0,[],0
"Billing, Computer, Payments, Software",[],0,[],0,[],0
"Finance, Financial Services, Insurance","[Finance, Insurance]",2,[],0,[],0
"Banking, Financial Services",[Banking],1,[],0,[],0
"Energy, Oil and Gas",[Energy],1,[],0,[],0
"Retail, Snack Food",[],0,[],0,[],0
"Artificial Intelligence, Hardware, Machine Learning, Robotics",[Robotics],1,[],0,[],0
"Commercial Real Estate, Financial Services, Leasing, Real Estate",[Estate],1,[],0,"[Commercial, Real]",2
"Energy, Natural Resources, Oil and Gas",[Energy],1,[],0,[],0
"Financial Services, Insurance",[Insurance],1,[],0,[],0
"Financial Services, FinTech, Funding Platform, Robotics",[Robotics],1,[],0,[],0
"Building Material, Construction, Residential",[],0,[],0,[],0
Manufacturing,[Manufacturing],1,[],0,[],0
"Health Care, Manufacturing, Pharmaceutical, Veterinary",[],0,[],0,[],0
"Logistics, Supply Chain Management",[Logistics],1,[],0,[],0
"Building Material, Construction",[Construction],1,[],0,[],0
"Industrial Manufacturing, Machinery Manufacturing",[],0,[],0,[],0
"CRM, Enterprise Software, Software, Wealth Management",[],0,[],0,[],0
"Health Care, Manufacturing, Medical Device",[],0,[],0,[],0
"Financial Services, FinTech, Payments",[Payments],1,[],0,[],0
"E-Commerce, Grocery, Internet, Retail, Shopping",[Shopping],1,[],0,[],0
"Data Integration, Telecommunications, Unified Communications",[],0,[],0,[],0
"Biotechnology, Life Science, Pharmaceutical",[],0,[],0,[],0
"Cloud Data Services, Information Technology, Network Security, Software",[],0,[],0,[],0
"Apps, E-Commerce",[Commerce],1,[],0,[],0
"Financial Services, Insurance, Professional Services",[],0,[],0,[],0
"Energy, Energy Management, Renewable Energy",[Energy],1,[],0,[],0
"Financial Services, Software",[],0,[],0,[],0
"Financial Services, Insurance",[Insurance],1,[],0,[],0
"Property Management, Software",[],0,[],0,[],0
"Finance, Financial Services, Leasing","[Finance, Leasing]",2,[],0,[],0
"Enterprise Software, Information Technology, Software",[],0,[],0,[],0
