Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
CVS Health provides an integrated healthcare services offering for its members.,CVS Health,0,10,ORG,
Amazon Robotics offers a mobile-robotic fulfillment system for inventory distribution centers that help companies optimize their operations.,Amazon Robotics,0,15,ORG,
Sony Interactive Entertainment is responsible for the PlayStation brand and family of products and services.,Sony Interactive Entertainment,0,30,ORG,
Sony Interactive Entertainment is responsible for the PlayStation brand and family of products and services.,PlayStation,54,65,PRODUCT,
"NetEase, Inc. (NASDAQ: NTES) is a leading internet technology company dedicated to providing premium online services.","NetEase, Inc.",0,13,ORG,
"NetEase, Inc. (NASDAQ: NTES) is a leading internet technology company dedicated to providing premium online services.",NASDAQ,15,21,ORG,
Advanced MedTech is a global medical technology company that focuses in urology devices and services.,MedTech,9,16,ORG,
AmerisourceBergen provides pharmaceutical supply chain distribution &amp; pharmacy management solutions.,AmerisourceBergen,0,17,ORG,
Algolia is the Search-as-a-Service platform that enables companies to deliver fast and relevant digital experiences that drive real results.,Algolia,0,7,PERSON,
H.I.G. Capital is a global private equity and alternative assets investment firm with $42 billion of equity capital under management.,H.I.G. Capital,0,14,ORG,
H.I.G. Capital is a global private equity and alternative assets investment firm with $42 billion of equity capital under management.,$42 billion,86,97,MONEY,
"KCAS is a provider of bioanalytical research services for pharmaceutical, biotech, animal health, and medical device companies.",KCAS,0,4,ORG,
Francisco Partners is a global investment firm that specializes in partnering with technology and technology-enabled businesses.,Francisco Partners,0,18,PERSON,
"Reliance Industries is engaged in the energy, petrochemical, retail, and textile businesses.",Reliance Industries,0,19,ORG,
"Convergint Technologies is a service-based global integrator of Electronic Security, Fire Alarm, Life Safety, and Healthcare Technologies.",Convergint Technologies,0,23,ORG,
"Convergint Technologies is a service-based global integrator of Electronic Security, Fire Alarm, Life Safety, and Healthcare Technologies.",Electronic Security,64,83,ORG,
"Convergint Technologies is a service-based global integrator of Electronic Security, Fire Alarm, Life Safety, and Healthcare Technologies.","Fire Alarm, Life Safety",85,108,ORG,
"Convergint Technologies is a service-based global integrator of Electronic Security, Fire Alarm, Life Safety, and Healthcare Technologies.",Healthcare Technologies,114,137,ORG,
TripAdd is a provider of ancillary services across all distribution channels.,TripAdd,0,7,ORG,
"Designs, builds, operates &amp; maintains user-friendly and energy-efficient technical solutions for buildings, industries &amp; infrastructure.",operates &amp,17,30,ORG,
"Harman International Industries engages in the development, manufacture and marketing of audio products and electronic systems.",Harman International Industries,0,31,ORG,
"Digital Brand Architects is a marketing and advertising company that provides content strategy, digital marketing, and PR services.",Digital Brand Architects,0,24,ORG,
Science and Medicine Group is the leading research and advisory firm.,Science and Medicine Group,0,26,ORG,
NationsBenefits is a supplemental benefits company that provides managed care organizations.,NationsBenefits,0,15,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",20,4,6,CARDINAL,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP,7,10,ORG,
"The 20 MSP specializes in MSP Business Development, providing MSP Consulting and MSP Network Support.",MSP Business Development,26,50,ORG,
