Text,Token,Freq,Lemma,PoS,Tag,Dep,Shape,Sentiment
3D Printing,3D,3,3d,ADJ,JJ,amod,dX,0.0
3D Printing,Printing,3,printing,NOUN,NN,ROOT,Xxxxx,0.0
3D Technology,3D,2,3D,PROPN,NNP,compound,dX,0.0
3D Technology,Technology,2,Technology,PROPN,NNP,ROOT,Xxxxx,0.0
A/B Testing,A,2,a,NOUN,NN,nmod,X,0.0
A/B Testing,/,2,/,SYM,SYM,punct,/,0.0
A/B Testing,B,2,B,PROPN,NNP,compound,X,0.0
A/B Testing,Testing,2,testing,NOUN,NN,ROOT,Xxxxx,0.0
Accounting,Accounting,9,accounting,NOUN,NN,ROOT,Xxxxx,0.0
Advanced Materials,Advanced,1,Advanced,PROPN,NNP,amod,Xxxxx,0.0
Advanced Materials,Materials,1,Materials,PROPN,NNPS,ROOT,Xxxxx,0.0
Adventure Travel,Adventure,1,Adventure,PROPN,NNP,compound,Xxxxx,0.0
Adventure Travel,Travel,1,Travel,PROPN,NNP,ROOT,Xxxxx,0.0
Advertising,Advertising,21,advertising,NOUN,NN,ROOT,Xxxxx,0.0
Advertising Platforms,Advertising,5,advertising,NOUN,NN,compound,Xxxxx,0.0
Advertising Platforms,Platforms,5,platform,NOUN,NNS,ROOT,Xxxxx,0.0
Advice,Advice,17,advice,NOUN,NN,ROOT,Xxxxx,0.0
Aerospace,Aerospace,4,aerospace,NOUN,NN,ROOT,Xxxxx,0.0
Agriculture,Agriculture,4,agriculture,NOUN,NN,ROOT,Xxxxx,0.0
Air Transportation,Air,1,Air,PROPN,NNP,compound,Xxx,0.0
Air Transportation,Transportation,1,Transportation,PROPN,NNP,ROOT,Xxxxx,0.0
Alternative Medicine,Alternative,1,Alternative,PROPN,NNP,compound,Xxxxx,0.0
Alternative Medicine,Medicine,1,Medicine,PROPN,NNP,ROOT,Xxxxx,0.0
American Football,American,1,American,PROPN,NNP,compound,Xxxxx,0.0
American Football,Football,1,Football,PROPN,NNP,ROOT,Xxxxx,0.0
Analytics,Analytics,34,analytic,NOUN,NNS,ROOT,Xxxxx,0.0
Android,Android,1,android,NOUN,NN,ROOT,Xxxxx,0.0
Animation,Animation,2,animation,NOUN,NN,ROOT,Xxxxx,0.0
Application Specific Integrated Circuit (ASIC),Application,1,Application,PROPN,NNP,nmod,Xxxxx,0.0
Application Specific Integrated Circuit (ASIC),Specific,1,Specific,PROPN,NNP,compound,Xxxxx,0.0
Application Specific Integrated Circuit (ASIC),Integrated,1,Integrated,PROPN,NNP,compound,Xxxxx,0.0
Application Specific Integrated Circuit (ASIC),Circuit,1,Circuit,PROPN,NNP,ROOT,Xxxxx,0.0
Application Specific Integrated Circuit (ASIC),(,1,(,PUNCT,-LRB-,punct,(,0.0
Application Specific Integrated Circuit (ASIC),ASIC,1,ASIC,PROPN,NNP,appos,XXXX,0.0
Application Specific Integrated Circuit (ASIC),),1,),PUNCT,-RRB-,punct,),0.0
Apps,Apps,15,app,NOUN,NNS,ROOT,Xxxx,0.0
Architecture,Architecture,2,architecture,NOUN,NN,ROOT,Xxxxx,0.0
Art,Art,1,art,NOUN,NN,ROOT,Xxx,0.0
Artificial Intelligence,Artificial,26,Artificial,PROPN,NNP,amod,Xxxxx,0.0
Artificial Intelligence,Intelligence,26,Intelligence,PROPN,NNP,ROOT,Xxxxx,0.0
Asset Management,Asset,12,Asset,PROPN,NNP,compound,Xxxxx,0.0
Asset Management,Management,12,Management,PROPN,NNP,ROOT,Xxxxx,0.0
Assistive Technology,Assistive,3,Assistive,PROPN,NNP,compound,Xxxxx,0.0
Assistive Technology,Technology,3,Technology,PROPN,NNP,ROOT,Xxxxx,0.0
Association,Association,1,association,NOUN,NN,ROOT,Xxxxx,0.0
Audio,Audio,1,audio,NOUN,NN,ROOT,Xxxxx,0.0
Augmented Reality,Augmented,1,Augmented,PROPN,NNP,compound,Xxxxx,0.0
Augmented Reality,Reality,1,reality,NOUN,NN,ROOT,Xxxxx,0.0
Auto Insurance,Auto,3,Auto,PROPN,NNP,compound,Xxxx,0.0
Auto Insurance,Insurance,3,Insurance,PROPN,NNP,ROOT,Xxxxx,0.0
Automotive,Automotive,15,automotive,ADJ,JJ,ROOT,Xxxxx,0.0
