Text,Token,Freq,Lemma,PoS,Tag,Dep,Shape,Sentiment
3D Printing,3D,7,3d,ADJ,JJ,amod,dX,0.0
3D Printing,Printing,7,printing,NOUN,NN,ROOT,Xxxxx,0.0
3D Technology,3D,3,3D,PROPN,NNP,compound,dX,0.0
3D Technology,Technology,3,Technology,PROPN,NNP,ROOT,Xxxxx,0.0
Accounting,Accounting,11,accounting,NOUN,NN,ROOT,Xxxxx,0.0
Advertising,Advertising,27,advertising,NOUN,NN,ROOT,Xxxxx,0.0
Advertising Platforms,Advertising,1,advertising,NOUN,NN,compound,Xxxxx,0.0
Advertising Platforms,Platforms,1,platform,NOUN,NNS,ROOT,Xxxxx,0.0
Advice,Advice,9,advice,NOUN,NN,ROOT,Xxxxx,0.0
Aerospace,Aerospace,7,aerospace,NOUN,NN,ROOT,Xxxxx,0.0
Affiliate Marketing,Affiliate,1,Affiliate,PROPN,NNP,compound,Xxxxx,0.0
Affiliate Marketing,Marketing,1,Marketing,PROPN,NNP,ROOT,Xxxxx,0.0
Agriculture,Agriculture,2,agriculture,NOUN,NN,ROOT,Xxxxx,0.0
AgTech,AgTech,1,AgTech,PROPN,NNP,ROOT,XxXxxx,0.0
Alternative Medicine,Alternative,1,Alternative,PROPN,NNP,compound,Xxxxx,0.0
Alternative Medicine,Medicine,1,Medicine,PROPN,NNP,ROOT,Xxxxx,0.0
Analytics,Analytics,20,analytic,NOUN,NNS,ROOT,Xxxxx,0.0
Android,Android,2,android,NOUN,NN,ROOT,Xxxxx,0.0
Angel Investment,Angel,7,Angel,PROPN,NNP,compound,Xxxxx,0.0
Angel Investment,Investment,7,Investment,PROPN,NNP,ROOT,Xxxxx,0.0
Apps,Apps,7,app,NOUN,NNS,ROOT,Xxxx,0.0
Aquaculture,Aquaculture,2,aquaculture,NOUN,NN,ROOT,Xxxxx,0.0
Architecture,Architecture,4,architecture,NOUN,NN,ROOT,Xxxxx,0.0
Artificial Intelligence,Artificial,21,Artificial,PROPN,NNP,amod,Xxxxx,0.0
Artificial Intelligence,Intelligence,21,Intelligence,PROPN,NNP,ROOT,Xxxxx,0.0
Asset Management,Asset,19,Asset,PROPN,NNP,compound,Xxxxx,0.0
Asset Management,Management,19,Management,PROPN,NNP,ROOT,Xxxxx,0.0
Association,Association,1,association,NOUN,NN,ROOT,Xxxxx,0.0
Auctions,Auctions,2,auction,NOUN,NNS,ROOT,Xxxxx,0.0
Audio,Audio,5,audio,NOUN,NN,ROOT,Xxxxx,0.0
Augmented Reality,Augmented,2,Augmented,PROPN,NNP,compound,Xxxxx,0.0
Augmented Reality,Reality,2,reality,NOUN,NN,ROOT,Xxxxx,0.0
Auto Insurance,Auto,1,Auto,PROPN,NNP,compound,Xxxx,0.0
Auto Insurance,Insurance,1,Insurance,PROPN,NNP,ROOT,Xxxxx,0.0
Automotive,Automotive,16,automotive,ADJ,JJ,ROOT,Xxxxx,0.0
Autonomous Vehicles,Autonomous,4,Autonomous,PROPN,NNP,compound,Xxxxx,0.0
Autonomous Vehicles,Vehicles,4,Vehicles,PROPN,NNPS,ROOT,Xxxxx,0.0
B2B,B2B,6,b2b,VERB,VB,ROOT,XdX,0.0
Banking,Banking,31,banking,NOUN,NN,ROOT,Xxxxx,0.0
Beauty,Beauty,4,beauty,NOUN,NN,ROOT,Xxxxx,0.0
Big Data,Big,6,Big,PROPN,NNP,compound,Xxx,0.0
Big Data,Data,6,Data,PROPN,NNP,ROOT,Xxxx,0.0
Billing,Billing,4,billing,NOUN,NN,ROOT,Xxxxx,0.0
Biometrics,Biometrics,3,biometric,NOUN,NNS,ROOT,Xxxxx,0.0
Biopharma,Biopharma,8,Biopharma,PROPN,NNP,ROOT,Xxxxx,0.0
Biotechnology,Biotechnology,33,biotechnology,NOUN,NN,ROOT,Xxxxx,0.0
Bitcoin,Bitcoin,5,bitcoin,VERB,VB,ROOT,Xxxxx,0.0
