Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Health Care, Medical, Pharmaceutical, Retail, Sales",[Sales],1,[],0,[],0
"E-Commerce, Hardware, Mobile, Robotics, Software",[],0,[],0,[],0
"Consumer Goods, Music, Video Games","[Consumer, Goods]",2,[],0,[],0
"Beauty, Cosmetics, Manufacturing, Personal Health",[Cosmetics],1,[],0,[],0
"Advertising, Gaming, Mobile, Mobile Apps, Music, PC Games, Venture Capital, Wireless",[Advertising],1,[],0,[],0
"Consulting, Health Care, Information Technology",[],0,[],0,[],0
"Emergency Medicine, Enterprise Software, Health Care, Medical, Pharmaceutical",[],0,[],0,[],0
"Cloud Computing, Search Engine, Semantic Search, Vertical Search",[],0,[],0,[],0
"Credit, Finance, Financial Services, Insurance, Real Estate",[Credit],1,[],0,[],0
"Biotechnology, Pharmaceutical",[],0,[],0,[],0
"Financial Services, Information Technology, Venture Capital",[],0,[],0,[],0
"Infrastructure, Network Security, Unified Communications",[],0,[],0,[],0
"Chemical, Energy, Oil and Gas, Retail, Textiles",[],0,[],0,[],0
"Biometrics, Health Care, Physical Security, Public Safety, Security","[Biometrics, Security]",2,[],0,[],0
Customer Service,[],0,[],0,[],0
"Energy, Facilities Support Services",[Energy],1,[],0,[],0
"Audio, Consumer, Consumer Electronics, DSP, Electronics, Manufacturing",[Manufacturing],1,[],0,[],0
"Advertising, Digital Media, Marketing","[Advertising, Marketing]",2,[],0,[],0
Market Research,[],0,[],0,[],0
"Health Care, Health Insurance, Home Health Care",[],0,[],0,[],0
Information Technology,[],0,[],0,[],0
"Auctions, E-Commerce, Internet, Marketplace, Retail, Search Engine",[Auctions],1,[],0,[],0
"Biopharma, Biotechnology, Health Diagnostics, Pharmaceutical, Therapeutics",[Therapeutics],1,[],0,[],0
"Business Information Systems, Information Services",[],0,[],0,[],0
"Analytics, Asset Management, Banking, Business Intelligence, Consulting, Finance, Financial Services, Hedge Funds, Market Research, Venture Capital",[Analytics],1,[],0,[],0
"Mobile, SaaS, Software, Telecommunications, VoIP",[],0,[],0,[],0
"Biotechnology, Health Care, Medical, Pharmaceutical",[],0,[],0,[],0
"Artificial Intelligence, Construction, Consulting, Information Technology, Outsourcing",[Outsourcing],1,[],0,[],0
"Gaming, Mobile, PC Games",[Gaming],1,[],0,[],0
"Digital Entertainment, Digital Media",[Media],1,[],0,[],0
"Digital Entertainment, Digital Media",[Media],1,[],0,[],0
"Digital Entertainment, Digital Media",[Media],1,[],0,[],0
"Gaming, Mobile, Mobile Apps, Software, Video Games",[Gaming],1,[],0,[],0
"Logistics, Supply Chain Management",[Logistics],1,[],0,[],0
"Financial Services, Payments",[Payments],1,[],0,[],0
"Finance, Financial Services, FinTech, Payments","[Finance, Payments]",2,[],0,[],0
"Food and Beverage, Wine And Spirits","[Food, Spirits]",2,[],0,[],0
FinTech,[FinTech],1,[],0,[],0
"Business Development, Construction, Consulting, Environmental Consulting, Project Management",[],0,[],0,[],0
"Industrial Manufacturing, Manufacturing, Public Relations",[],0,[],0,[],0
"Email, Internet, Online Portals, Search Engine, Social Media","[Email, Media]",2,[],0,[],0
"Biopharma, Biotechnology, Life Science",[],0,[],0,[],0
"Computer, Software, Software Engineering",[],0,[],0,[],0
"Education, Health Care",[Education],1,[],0,[],0
"Mineral, Oil and Gas",[Mineral],1,[],0,[],0
"Financial Services, FinTech, Payments, Small and Medium Businesses",[],0,[],0,[Small],1
"Construction, Real Estate, Residential",[Construction],1,[],0,[],0
"Biometrics, Building Material, Consumer Electronics, Information Technology, Security","[Biometrics, Security]",2,[],0,[],0
Information Technology,[],0,[],0,[],0
