Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Hispanic / Latine Founded, Hispanic / Latine Led",[],0,[Led],1,[Hispanic],1
Women Founded,[],0,[Founded],1,[],0
Women Led,[],0,[Led],1,[],0
Black / African American Founded,[],0,[],0,"[Black, African]",2
Black / African American Founded,[],0,[],0,"[Black, African]",2
"East Asian Founded, East Asian Led",[],0,[Led],1,[East],1
"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led",[],0,[Led],1,[Hispanic],1
Women Founded,[],0,[Founded],1,[],0
Women Founded,[],0,[Founded],1,[],0
Women Led,[],0,[Led],1,[],0
"Black / African American Founded, Black / African American Led",[],0,[Led],1,"[Black, African]",2
Women Founded,[],0,[Founded],1,[],0
"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded",[],0,[Founded],1,[Hispanic],1
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
Women Led,[],0,[Led],1,[],0
"Black / African American Founded, Women Founded",[],0,[Founded],1,"[Black, African]",2
"Black / African American Founded, Women Founded",[],0,[Founded],1,"[Black, African]",2
"Black / African American Founded, Black / African American Led",[],0,[Led],1,"[Black, African]",2
Women Founded,[],0,[Founded],1,[],0
"Black / African American Founded, Black / African American Led",[],0,[Led],1,"[Black, African]",2
"Black / African American Founded, Black / African American Led",[],0,[Led],1,"[Black, African]",2
"Hispanic / Latine Founded, Hispanic / Latine Led",[],0,[Led],1,[Hispanic],1
"Black / African American Founded, Black / African American Led",[],0,[Led],1,"[Black, African]",2
"Black / African American Founded, Black / African American Led, Women Founded, Women Led",[],0,[Led],1,"[Black, African]",2
"South Asian Founded, Southeast Asian Led",[],0,[Led],1,"[South, Asian]",2
"Hispanic / Latine Founded, Hispanic / Latine Led",[],0,[Led],1,[Hispanic],1
"Black / African American Founded, Women Led",[],0,[Led],1,"[Black, African]",2
"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led",[],0,[Led],1,[Hispanic],1
Women Founded,[],0,[Founded],1,[],0
Women Led,[],0,[Led],1,[],0
"Black / African American Founded, Black / African American Led",[],0,[Led],1,"[Black, African]",2
