Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Collaboration, Enterprise Software, Information Technology, Search Engine",[Collaboration],1,[],0,[],0
"Blockchain, Cryptocurrency, Internet, Software, Web Apps",[Web],1,[],0,[],0
"Artificial Intelligence, GPU, Hardware, Software, Virtual Reality",[Reality],1,[],0,[Virtual],1
"Artificial Intelligence, Augmented Reality, Social Media, Social Network, Virtual Reality",[Reality],1,[],0,[Virtual],1
"Artificial Intelligence, Information Technology, Product Design, Software",[],0,[],0,[],0
"Advertising, Internet, Online Games, Online Portals, Social Media Marketing","[Advertising, Marketing]",2,[],0,[],0
"Enterprise Software, Marketing, Marketing Automation, SaaS, Sales Automation, Software",[],0,[],0,[],0
"Consumer Electronics, Hardware, Mobile Devices, Operating Systems, Wearables",[],0,[],0,[],0
"Crowdfunding, Finance, Financial Services, Funding Platform, Venture Capital",[],0,[],0,[],0
"Blockchain, Cryptocurrency, FinTech",[],0,[],0,[],0
"Compliance, FinTech, Fraud Detection, Identity Management, SaaS","[Compliance, SaaS]",2,[],0,[],0
"Bitcoin, Blockchain, Cryptocurrency, FinTech, Trading Platform",[Trading],1,[],0,[],0
"Angel Investment, Crowdfunding, FinTech, Funding Platform, Venture Capital",[],0,[],0,[],0
"Consumer Electronics, Gaming, iOS, Product Design, Software","[Consumer, iOS]",2,[],0,[],0
"Finance, Financial Services, FinTech, Venture Capital",[Finance],1,[],0,[],0
"Consumer Goods, Grocery, Retail",[Consumer],1,[],0,[],0
"Consumer, Consumer Electronics, Consumer Software, Information Technology",[Consumer],1,[],0,[],0
"Apps, Blockchain, Casual Games, Developer Platform, Video Games",[],0,[],0,[],0
"Artificial Intelligence, Augmented Reality, Developer Platform, Mobile Apps, Virtual Reality",[Reality],1,[],0,[Virtual],1
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Ediscovery, Events, Search Engine, Sports, Ticketing",[Events],1,[Ticketing],1,[],0
"Mobile, Public Relations, Telecommunications",[Telecommunications],1,[],0,[],0
"Clean Energy, CleanTech, Electrical Distribution, Energy Management, Renewable Energy",[],0,[],0,[],0
"Gaming, Media and Entertainment, Social Media, Video, Video Games, Video Streaming",[Gaming],1,[],0,[],0
"Chemical, Energy, Oil and Gas, Retail, Textiles",[],0,[],0,[],0
"Bitcoin, Blockchain, Cryptocurrency, Finance, FinTech",[],0,[],0,[],0
"Augmented Reality, B2B, Cyber Security, FinTech, SaaS, Sustainability, Virtual Reality","[Sustainability, Reality]",2,[],0,[Virtual],1
"Artificial Intelligence, Gaming, Machine Learning, Virtual Reality",[Reality],1,[],0,[Virtual],1
"Biotechnology, Health Care, Hospital, Medical, Non Profit, Wellness",[],0,[],0,[],0
"Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",[],0,[],0,[],0
"Apps, Mobile Apps, Ride Sharing, Software, Transportation",[],0,[],0,[],0
"Consumer Electronics, Security, Smart Home",[Consumer],1,[],0,[],0
"Analytics, Mobile Apps, SaaS, Web Apps","[Analytics, Web]",2,[],0,[],0
"Biotechnology, Health Care, Health Diagnostics, Pharmaceutical",[Pharmaceutical],1,[],0,[],0
"B2B, E-Commerce, FinTech, Marketplace",[],0,[],0,[],0
"Biotechnology, Health Care, Medical, Pharmaceutical",[],0,[],0,[],0
"Automotive, Autonomous Vehicles, E-Commerce",[Commerce],1,[],0,[],0
"Cryptocurrency, Financial Services, FinTech, Information Technology",[Cryptocurrency],1,[],0,[],0
"Apps, Location Based Services, Media and Entertainment, Subscription Service",[],0,[],0,[],0
"Collaboration, Enterprise Software, SaaS, Software",[Collaboration],1,[],0,[],0
"Android, Messaging, Mobile, Subscription Service",[],0,[],0,[],0
"Banking, Finance, Financial Services, Venture Capital",[Banking],1,[],0,[],0
"Hospitality, Property Management, Real Estate, SaaS, Smart Building, Smart Home, Software",[Hospitality],1,[],0,[],0
"Health Care, Information Technology, Medical",[],0,[],0,[],0
"B2B, Financial Services, FinTech, Mobile Payments, Payments, SaaS","[Payments, SaaS]",2,[],0,[],0
"Child Care, Information Services, Information Technology",[],0,[],0,[],0
"Analytics, Enterprise Software, Security, Web Hosting","[Security, Web, Hosting]",3,[],0,[],0
"Cryptocurrency, Finance, Financial Services, FinTech",[],0,[],0,[],0
"Enterprise, Financial Services, Information Technology, Venture Capital",[Enterprise],1,[],0,[],0
"Consumer Electronics, GreenTech, Hardware, Internet of Things, Smart Home, Software, Speech Recognition",[Internet],1,[],0,[],0
"Cyber Security, Enterprise Software, Identity Management, Privacy, Software",[],0,[],0,[],0
"Banking, Financial Services, Information Technology, Payments","[Banking, Payments]",2,[],0,[],0
"E-Learning, EdTech, Education, Tutoring","[E, -]",2,[],0,[],0
"Artificial Intelligence, Cloud Security, Cyber Security, Risk Management",[],0,[],0,[],0
"3D Technology, Gaming, Online Games, Software, Video Games",[],0,[],0,[],0
"Electric Vehicle, Ride Sharing, Sharing Economy, Transportation",[Transportation],1,[],0,[],0
"Information Services, Journalism, Media and Entertainment, Public Relations, SaaS, Software",[],0,[],0,[],0
"Energy, Energy Efficiency, GreenTech, Renewable Energy",[Energy],1,[],0,[],0
"Blockchain, Consumer Lending, Cryptocurrency, Financial Services, FinTech",[],0,[],0,[],0
"Bitcoin, Communications Infrastructure, Hardware, Media and Entertainment",[],0,[],0,[],0
"Cyber Security, Insurance, InsurTech",[],0,[],0,[],0
"App Marketing, Mobile Advertising, Mobile Apps, Software",[],0,[],0,[],0
"Business Development, Financial Services, Venture Capital",[],0,[],0,[],0
"Artificial Intelligence, Crowdsourcing, Cyber Security, Network Security, SaaS",[SaaS],1,[],0,[],0
"Financial Services, FinTech, Insurance, InsurTech",[],0,[],0,[],0
"Banking, Credit Cards, Financial Services, Wealth Management",[Banking],1,[],0,[],0
"Artificial Intelligence, Call Center, Customer Service, Enterprise Software, Machine Learning, Software",[],0,[],0,[],0
"Biotechnology, Finance, Venture Capital",[],0,[],0,[],0
"Analytics, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Productivity Tools, SaaS","[Analytics, SaaS]",2,[],0,[],0
"3D Printing, Industrial Engineering, Manufacturing, Mechanical Engineering",[],0,[],0,[3D],1
"Information Technology, Internet, Network Security, Privacy, Software",[],0,[],0,[],0
"Cloud Computing, Developer Tools, Internet, Project Management, Software",[],0,[],0,[],0
"Computer, Consumer Electronics, Hardware, IT Infrastructure, Software",[Computer],1,[],0,[],0
"Gaming, Mobile, PC Games",[Gaming],1,[],0,[],0
"3D Technology, Augmented Reality, Gaming, Video Games, Virtual Reality",[Reality],1,[],0,[Virtual],1
"Artificial Intelligence, Consumer Electronics, Electronics, Employee Benefits, Insurance","[Employee, Benefits, Insurance]",3,[],0,[],0
"E-Commerce, Grocery, Internet, Marketing, Retail Technology",[],0,[],0,[],0
"Consumer, Mobile Apps, Point of Sale, Small and Medium Businesses",[Consumer],1,[],0,[Small],1
"Agriculture, Farming, Organic Food, Sustainability","[Agriculture, Sustainability]",2,[],0,[],0
"Artificial Intelligence, Biotechnology, Health Care, Health Diagnostics, Medical Device, Therapeutics",[Therapeutics],1,[],0,[],0
"Internet, Telecommunications, TV, Video, Web Hosting","[Internet, TV, Video, Web, Hosting]",5,[],0,[],0
"Blockchain, Cryptocurrency, Internet of Things, Telecommunications, Wireless",[Internet],1,[],0,[],0
"Agriculture, AgTech, Artificial Intelligence, Farming",[Farming],1,[],0,[],0
"Artificial Intelligence, Media and Entertainment, Publishing, Video Games",[],0,[],0,[],0
"Finance, FinTech, Mobile Payments, SaaS","[Finance, SaaS]",2,[],0,[],0
"Health Care, Medical, Medical Device",[],0,[],0,[],0
"Crowdfunding, FinTech, Real Estate, Real Estate Investment, Residential",[],0,[],0,[],0
"Education, Higher Education, Training, Vocational Education",[Education],1,[],0,[],0
"Delivery, E-Commerce, E-Commerce Platforms, Grocery, Retail",[Delivery],1,[],0,[],0
"Artificial Intelligence, Information Technology, Machine Learning",[],0,[],0,[],0
"Biotechnology, Health Care, Medical, Pharmaceutical",[],0,[],0,[],0
"Digital Marketing, Marketing Automation, Messaging, SaaS, Software",[],0,[],0,[],0
"Asset Management, Financial Exchanges, Financial Services",[],0,[],0,[],0
"Financial Services, FinTech, Personal Finance",[],0,[],0,[],0
"Finance, Financial Services, FinTech, Small and Medium Businesses",[Finance],1,[],0,[Small],1
"E-Commerce, Furniture, Home Decor, Retail",[],0,[],0,[],0
"Blockchain, Cryptocurrency, Digital Media, Ethereum",[],0,[],0,[],0
"Electrical Distribution, Electronics, Manufacturing, Power Grid",[],0,[],0,[Electrical],1
"Blockchain, Marketplace, Software, Web Apps",[Web],1,[],0,[],0
"Health Care, Medical, Wellness",[],0,[],0,[],0
"Enterprise Software, Procurement, Productivity Tools, Software, Supply Chain Management",[],0,[],0,[],0
"Finance, Financial Services, Software, Venture Capital",[Finance],1,[],0,[],0
"Asset Management, Banking, Finance, Financial Services, FinTech",[],0,[],0,[],0
"Electronics, Enterprise Software, Internet of Things, Mobile Devices, Telecommunications","[Electronics, Internet]",2,[],0,[],0
"Enterprise Software, Messaging, Mobile Apps, SMS, Software",[],0,[],0,[],0
"Apps, Consumer Electronics, Electronics, Information Services, Information Technology, Internet, Telecommunications",[],0,[],0,[],0
"E-Commerce, Financial Services, Venture Capital",[],0,[],0,[],0
"FinTech, Payments, Sustainability, Transportation","[Sustainability, Transportation]",2,[],0,[],0
"Delivery Service, Food and Beverage, Food Delivery, Subscription Service",[],0,[],0,[],0
"Automotive, Autonomous Vehicles, Electric Vehicle, Manufacturing, Transportation",[Transportation],1,[],0,[],0
"Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform",[Trading],1,[],0,[],0
"Communications Infrastructure, Contact Management, Customer Service, Information and Communications Technology (ICT), Information Technology, Public Safety, Unified Communications",[],0,[],0,[],0
"Automotive, Electric Vehicle, Electronics, Energy, Industrial Manufacturing",[],0,[],0,[],0
"Computer, Cyber Security, Information Services, Information Technology, SaaS","[Computer, SaaS]",2,[],0,[],0
"Finance, Financial Services, FinTech, Wealth Management",[Finance],1,[],0,[],0
"Internet, Privacy, Search Engine, Software",[Internet],1,[],0,[],0
"Computer, Developer Platform, PC Games, Video Games",[Computer],1,[],0,[],0
"Commercial Real Estate, Property Development, Real Estate",[],0,[],0,[Commercial],1
"Cloud Data Services, Cloud Infrastructure, Network Hardware, Software",[],0,[],0,[],0
"Big Data, Bioinformatics, Biotechnology, Genetics, Health Care, Personal Health",[],0,[],0,[],0
"Business Development, Corporate Training, E-Learning, Productivity Tools",[-],1,[],0,[],0
E-Commerce,[Commerce],1,[],0,[],0
"Beauty, Brand Marketing, Cosmetics, Internet, Online Portals, Retail",[],0,[],0,[],0
"Bitcoin, Blockchain, Cryptocurrency, Financial Exchanges, Financial Services",[],0,[],0,[],0
"Clean Energy, Energy, Renewable Energy, Solar",[],0,[],0,[],0
"Automotive, Autonomous Vehicles, Electric Vehicle, Electronics, Transportation",[Transportation],1,[],0,[],0
"Cyber Security, Information Technology, Internet, Network Security, Telecommunications",[],0,[],0,[],0
"Biotechnology, Health Care, Life Science, Manufacturing, Marketing, Medical, Pharmaceutical, Therapeutics",[Therapeutics],1,[],0,[],0
"Energy, Renewable Energy, Solar",[Energy],1,[],0,[],0
"Computer, Electronics, Hardware, Mobile",[],0,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Blogging Platforms, Messaging, SMS, Social Media",[Media],1,[],0,[],0
"Consumer Lending, Finance, FinTech, Lending, Real Estate",[Consumer],1,[],0,[Real],1
"Biotechnology, Cloud Computing, Life Science",[Biotechnology],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Bitcoin, Blockchain, Cryptocurrency, Financial Services, Peer to Peer, Transaction Processing",[Processing],1,[],0,[],0
"Analytics, Marketing Automation, Mobile, Real Time, SaaS","[Analytics, SaaS]",2,[],0,[Real],1
"Commercial Real Estate, FinTech, Internet, Real Estate, Real Estate Investment, SaaS, Software",[],0,[],0,[Commercial],1
"E-Commerce, Grocery, Internet, Logistics, Retail",[],0,[],0,[],0
"Gaming, Online Games, Retail, Software, Video Games",[Gaming],1,[],0,[],0
"Delivery Service, E-Commerce, Grocery, Shopping",[Shopping],1,[],0,[],0
"Electronics, Mechanical Design, Mechanical Engineering, Quantum Computing, Software",[Electronics],1,[],0,[],0
"Finance, Financial Services, FinTech, PaaS",[Finance],1,[],0,[],0
"Banking, FinTech, SaaS, Virtual Currency",[Banking],1,[],0,[],0
"Financial Services, Internet, Lending",[Lending],1,[],0,[],0
"Delivery, E-Commerce, Food Delivery, Marketplace",[Delivery],1,[],0,[],0
"E-Commerce, E-Commerce Platforms, Enterprise Software, SaaS",[SaaS],1,[],0,[],0
"Cloud Computing, Computer, Recycling, SaaS, Sustainability",[Sustainability],1,[],0,[],0
"Agriculture, AgTech, E-Commerce, Trading Platform",[Trading],1,[],0,[],0
"Chemical, Fuel, GreenTech, Oil and Gas",[],0,[],0,[],0
"B2B, Consulting, Human Resources, Information Technology, Software",[],0,[],0,[],0
"Events, Marketing, Marketplace, Ticketing, Travel","[Events, Travel]",2,[],0,[],0
"Blockchain, Finance, Financial Services, FinTech",[],0,[],0,[],0
"Education, Health Care, Information Technology, Medical, mHealth",[Education],1,[],0,[],0
"E-Commerce, Grocery, Mobile",[],0,[],0,[],0
"Finance, Financial Services, FinTech, SaaS, Small and Medium Businesses",[Finance],1,[],0,[Small],1
"Artificial Intelligence, Customer Service, Enterprise Software, Machine Learning, SaaS",[SaaS],1,[],0,[],0
