Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Information Technology, Internet Services, Other, Software",[],0,[],0,[Other],1
"Apps, Financial Services, Internet Services, Other, Payments, Software",[],0,[],0,[Other],1
"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software",[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Hardware, Internet Services, Media and Entertainment, Science and Engineering, Software",[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Design, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Advertising, Gaming, Internet Services, Sales and Marketing","[Advertising, Sales, Marketing]",3,[],0,[],0
"Information Technology, Sales and Marketing, Software",[],0,[],0,[],0
"Consumer Electronics, Hardware, Mobile, Platforms, Software",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Other, Payments, Software",[],0,[],0,[Other],1
"Financial Services, Information Technology, Payments, Privacy and Security, Professional Services, Software",[],0,[],0,[],0
"Financial Services, Lending and Investments, Other, Payments, Software",[],0,[],0,[Other],1
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Consumer Electronics, Design, Gaming, Hardware, Mobile, Platforms, Software",[Consumer],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Commerce and Shopping, Consumer Goods, Food and Beverage",[],0,[],0,[],0
"Consumer Electronics, Hardware, Information Technology, Other, Software",[],0,[],0,[],0
"Apps, Gaming, Other, Software",[],0,[],0,[Other],1
"Apps, Artificial Intelligence, Data and Analytics, Hardware, Mobile, Science and Engineering, Software",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Events, Internet Services, Media and Entertainment, Sports","[Events, Sports]",2,[],0,[],0
"Hardware, Mobile, Sales and Marketing","[Sales, Marketing]",2,[],0,[],0
"Energy, Sustainability","[Energy, Sustainability]",2,[],0,[],0
"Content and Publishing, Gaming, Internet Services, Media and Entertainment, Video",[Video],1,[],0,[],0
"Commerce and Shopping, Energy, Manufacturing, Natural Resources, Science and Engineering",[],0,[],0,[],0
"Financial Services, Other, Payments, Software",[],0,[],0,[Other],1
"Financial Services, Hardware, Information Technology, Other, Privacy and Security, Software, Sustainability",[Sustainability],1,[],0,[Other],1
"Artificial Intelligence, Data and Analytics, Gaming, Hardware, Science and Engineering, Software",[],0,[],0,[],0
"Biotechnology, Health Care, Other, Science and Engineering",[],0,[],0,[Other],1
"Manufacturing, Science and Engineering, Transportation",[Manufacturing],1,[],0,[],0
"Apps, Mobile, Software, Transportation",[],0,[],0,[],0
"Consumer Electronics, Hardware, Privacy and Security, Real Estate",[],0,[],0,[Real],1
