Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Musical Instruments; Acoustics,[Acoustics],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Organic Macromolecular Compounds; Their Preparation Or Chemical Working-Up,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Basic Electric Elements,[],0,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Organic Chemistry,[],0,[],0,[],0
Organic Chemistry,[],0,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Sports; Games; Amusements,[Amusements],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Working Of Plastics,[Plastics],1,[Working],1,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Sports; Games; Amusements,[Amusements],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Sports; Games; Amusements,[Amusements],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Generation; Conversion Or Distribution Of Electric Power,[Generation],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Organic Macromolecular Compounds; Their Preparation Or Chemical Working-Up,[],0,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Basic Electric Elements,[],0,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Sports; Games; Amusements,[Amusements],1,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Vehicles In General,[Vehicles],1,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Basic Electric Elements,[],0,[],0,[],0
Electric Communication Technique,[Technique],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Sports; Games; Amusements,[Amusements],1,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Electrolytic Or Electrophoretic Processes,[Processes],1,[],0,[Electrolytic],1
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
