Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and technological services,[services],1,[],0,"[Scientific, technological]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Advertising; business,"[Advertising, business]",2,[],0,[],0
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and technological services,[services],1,[],0,"[Scientific, technological]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Advertising; business,"[Advertising, business]",2,[],0,[],0
Advertising; business,"[Advertising, business]",2,[],0,[],0
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Education; entertainment,"[Education, entertainment]",2,[],0,[],0
Education; entertainment,"[Education, entertainment]",2,[],0,[],0
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Insurance; financial affairs,"[Insurance, affairs]",2,[],0,[financial],1
Scientific and technological services,[services],1,[],0,"[Scientific, technological]",2
"Transport, packaging and storing","[Transport, packaging]",2,[storing],1,[],0
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
"Pharmaceutical, veterinary and sanitary products",[products],1,[],0,"[Pharmaceutical, veterinary, sanitary]",3
"Pharmaceutical, veterinary and sanitary products",[products],1,[],0,"[Pharmaceutical, veterinary, sanitary]",3
Advertising; business,"[Advertising, business]",2,[],0,[],0
Advertising; business,"[Advertising, business]",2,[],0,[],0
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
"Paper, cardboard and goods made from these materials","[Paper, cardboard, goods, materials]",4,[made],1,[],0
Scientific and technological services,[services],1,[],0,"[Scientific, technological]",2
Medical services; veterinary services,"[services, services]",2,[],0,"[Medical, veterinary]",2
Scientific and technological services,[services],1,[],0,"[Scientific, technological]",2
Insurance; financial affairs,"[Insurance, affairs]",2,[],0,[financial],1
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Scientific and electric apparatus and instruments,"[apparatus, instruments]",2,[],0,"[Scientific, electric]",2
Education; entertainment,"[Education, entertainment]",2,[],0,[],0
Scientific and technological services,[services],1,[],0,"[Scientific, technological]",2
Advertising; business,"[Advertising, business]",2,[],0,[],0
Insurance; financial affairs,"[Insurance, affairs]",2,[],0,[financial],1
