Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"Partner, Partner, Strategy",Partner,3,2,7,Partner,PROPN,NNP,ROOT,Xxxxx,0.0
"Partner, Partner, Strategy",",",3,2,1,",",PUNCT,",",punct,",",0.0
"Partner, Partner, Strategy",Partner,3,2,7,Partner,PROPN,NNP,conj,Xxxxx,0.0
"Partner, Partner, Strategy",Strategy,3,2,8,Strategy,PROPN,NNP,appos,Xxxxx,0.0
"Editor, Editor In Chief",Editor,4,2,6,editor,NOUN,NN,ROOT,Xxxxx,0.0
"Editor, Editor In Chief",",",4,2,1,",",PUNCT,",",punct,",",0.0
"Editor, Editor In Chief",Editor,4,2,6,Editor,PROPN,NNP,appos,Xxxxx,0.0
"Editor, Editor In Chief",In,4,2,2,in,ADP,IN,prep,Xx,0.0
"Editor, Editor In Chief",Chief,4,2,5,chief,NOUN,NN,pobj,Xxxxx,0.0
CEO,CEO,1,54,3,ceo,NOUN,NN,ROOT,XXX,0.0
Staff Associate,Staff,2,1,5,Staff,PROPN,NNP,compound,Xxxxx,0.0
Staff Associate,Associate,2,1,9,Associate,PROPN,NNP,ROOT,Xxxxx,0.0
Chief Of Staff,Chief,3,68,5,Chief,PROPN,NNP,ROOT,Xxxxx,0.0
Chief Of Staff,Of,3,68,2,of,ADP,IN,prep,Xx,0.0
Chief Of Staff,Staff,3,68,5,Staff,PROPN,NNP,pobj,Xxxxx,0.0
CMO,CMO,1,3,3,cmo,NOUN,NN,ROOT,XXX,0.0
Data Scientist,Data,2,2,4,Data,PROPN,NNP,compound,Xxxx,0.0
Data Scientist,Scientist,2,2,9,Scientist,PROPN,NNP,ROOT,Xxxxx,0.0
"CIO, Information Officer",CIO,3,1,3,CIO,PROPN,NNP,ROOT,XXX,0.0
"CIO, Information Officer",",",3,1,1,",",PUNCT,",",punct,",",0.0
"CIO, Information Officer",Information,3,1,11,Information,PROPN,NNP,compound,Xxxxx,0.0
"CIO, Information Officer",Officer,3,1,7,Officer,PROPN,NNP,appos,Xxxxx,0.0
Co-Founder,Co,1,5,2,co,NOUN,NN,ROOT,Xx,0.0
Co-Founder,-,1,5,1,-,PROPN,NNP,punct,-,0.0
Co-Founder,Founder,1,5,7,Founder,PROPN,NNP,conj,Xxxxx,0.0
—,—,1,49,1,—,PUNCT,:,ROOT,—,0.0
VP,VP,1,23,2,VP,PROPN,NNP,ROOT,XX,0.0
Founder,Founder,1,14,7,founder,NOUN,NN,ROOT,Xxxxx,0.0
Economist,Economist,1,2,9,economist,NOUN,NN,ROOT,Xxxxx,0.0
CFO,CFO,1,5,3,CFO,PROPN,NNP,ROOT,XXX,0.0
Scientist,Scientist,1,1,9,scientist,NOUN,NN,ROOT,Xxxxx,0.0
"Sales Professional, Sales Professional, Finance",Sales,5,1,5,Sales,PROPN,NNP,compound,Xxxxx,0.0
"Sales Professional, Sales Professional, Finance",Professional,5,1,12,Professional,PROPN,NNP,ROOT,Xxxxx,0.0
"Sales Professional, Sales Professional, Finance",",",5,1,1,",",PUNCT,",",punct,",",0.0
"Sales Professional, Sales Professional, Finance",Professional,5,1,12,Professional,PROPN,NNP,conj,Xxxxx,0.0
"Sales Professional, Sales Professional, Finance",Finance,5,1,7,finance,NOUN,NN,appos,Xxxxx,0.0
"Engineer, Software Engineer",Engineer,3,3,8,Engineer,PROPN,NNP,ROOT,Xxxxx,0.0
"Engineer, Software Engineer",",",3,3,1,",",PUNCT,",",punct,",",0.0
"Engineer, Software Engineer",Software,3,3,8,Software,PROPN,NNP,compound,Xxxxx,0.0
"Engineer, Software Engineer",Engineer,3,3,8,Engineer,PROPN,NNP,appos,Xxxxx,0.0
"Chief Of Staff, Senior Global Account Manager",Chief,7,1,5,Chief,PROPN,NNP,ROOT,Xxxxx,0.0
"Chief Of Staff, Senior Global Account Manager",Of,7,1,2,of,ADP,IN,prep,Xx,0.0
"Chief Of Staff, Senior Global Account Manager",Staff,7,1,5,Staff,PROPN,NNP,pobj,Xxxxx,0.0
"Chief Of Staff, Senior Global Account Manager",",",7,1,1,",",PUNCT,",",punct,",",0.0
"Chief Of Staff, Senior Global Account Manager",Senior,7,1,6,Senior,PROPN,NNP,compound,Xxxxx,0.0
"Chief Of Staff, Senior Global Account Manager",Global,7,1,6,Global,PROPN,NNP,compound,Xxxxx,0.0
"Chief Of Staff, Senior Global Account Manager",Account,7,1,7,Account,PROPN,NNP,compound,Xxxxx,0.0
"Chief Of Staff, Senior Global Account Manager",Manager,7,1,7,Manager,PROPN,NNP,appos,Xxxxx,0.0
Engineer,Engineer,1,5,8,engineer,NOUN,NN,ROOT,Xxxxx,0.0
"Chief Of Staff, Senior Director, Senior Director, Engineering",Chief,8,1,5,Chief,PROPN,NNP,ROOT,Xxxxx,0.0
"Chief Of Staff, Senior Director, Senior Director, Engineering",Of,8,1,2,of,ADP,IN,prep,Xx,0.0
"Chief Of Staff, Senior Director, Senior Director, Engineering",Staff,8,1,5,Staff,PROPN,NNP,pobj,Xxxxx,0.0
"Chief Of Staff, Senior Director, Senior Director, Engineering",",",8,1,1,",",PUNCT,",",punct,",",0.0
"Chief Of Staff, Senior Director, Senior Director, Engineering",Senior,8,1,6,Senior,PROPN,NNP,compound,Xxxxx,0.0
"Chief Of Staff, Senior Director, Senior Director, Engineering",Director,8,1,8,Director,PROPN,NNP,conj,Xxxxx,0.0
"Chief Of Staff, Senior Director, Senior Director, Engineering",Engineering,8,1,11,Engineering,PROPN,NNP,appos,Xxxxx,0.0
"VP, VP, Government Affairs",VP,4,3,2,VP,PROPN,NNP,ROOT,XX,0.0
"VP, VP, Government Affairs",",",4,3,1,",",PUNCT,",",punct,",",0.0
"VP, VP, Government Affairs",VP,4,3,2,VP,PROPN,NNP,appos,XX,0.0
