Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Nina Harding,Nina,2,1,4,Nina,PROPN,NNP,compound,Xxxx,0.0
Nina Harding,Harding,2,1,7,Harding,PROPN,NNP,ROOT,Xxxxx,0.0
Natalie Zmuda,Natalie,2,1,7,Natalie,PROPN,NNP,compound,Xxxxx,0.0
Natalie Zmuda,Zmuda,2,1,5,Zmuda,PROPN,NNP,ROOT,Xxxxx,0.0
Nico Dizon,Nico,2,1,4,Nico,PROPN,NNP,compound,Xxxx,0.0
Nico Dizon,Dizon,2,1,5,Dizon,PROPN,NNP,ROOT,Xxxxx,0.0
Jennifer Wang,Jennifer,2,1,8,Jennifer,PROPN,NNP,compound,Xxxxx,0.0
Jennifer Wang,Wang,2,1,4,Wang,PROPN,NNP,ROOT,Xxxx,0.0
Christine Olson,Christine,2,1,9,Christine,PROPN,NNP,compound,Xxxxx,0.0
Christine Olson,Olson,2,1,5,Olson,PROPN,NNP,ROOT,Xxxxx,0.0
Haley Wilson,Haley,2,1,5,Haley,PROPN,NNP,compound,Xxxxx,0.0
Haley Wilson,Wilson,2,1,6,Wilson,PROPN,NNP,ROOT,Xxxxx,0.0
Lorraine Twohill,Lorraine,2,1,8,Lorraine,PROPN,NNP,compound,Xxxxx,0.0
Lorraine Twohill,Twohill,2,1,7,Twohill,PROPN,NNP,ROOT,Xxxxx,0.0
Saket Kumar,Saket,2,1,5,Saket,PROPN,NNP,compound,Xxxxx,0.0
Saket Kumar,Kumar,2,1,5,Kumar,PROPN,NNP,ROOT,Xxxxx,0.0
Thomas Kurian,Thomas,2,1,6,Thomas,PROPN,NNP,compound,Xxxxx,0.0
Thomas Kurian,Kurian,2,1,6,Kurian,PROPN,NNP,ROOT,Xxxxx,0.0
Kunal Bahl,Kunal,2,1,5,Kunal,PROPN,NNP,compound,Xxxxx,0.0
Kunal Bahl,Bahl,2,1,4,Bahl,PROPN,NNP,ROOT,Xxxx,0.0
Controversÿ Shádÿ,Controversÿ,2,1,11,Controversÿ,PROPN,NNP,compound,Xxxxx,0.0
Controversÿ Shádÿ,Shádÿ,2,1,5,Shádÿ,PROPN,NNP,ROOT,Xxxxx,0.0
Anne Heppberger,Anne,2,1,4,Anne,PROPN,NNP,compound,Xxxx,0.0
Anne Heppberger,Heppberger,2,1,10,Heppberger,PROPN,NNP,ROOT,Xxxxx,0.0
Carlos Prizzi,Carlos,2,1,6,Carlos,PROPN,NNP,compound,Xxxxx,0.0
Carlos Prizzi,Prizzi,2,1,6,Prizzi,PROPN,NNP,ROOT,Xxxxx,0.0
Summer Burglass,Summer,2,1,6,summer,NOUN,NN,compound,Xxxxx,0.0
Summer Burglass,Burglass,2,1,8,Burglass,PROPN,NNP,ROOT,Xxxxx,0.0
Marissa Johnson,Marissa,2,1,7,Marissa,PROPN,NNP,compound,Xxxxx,0.0
Marissa Johnson,Johnson,2,1,7,Johnson,PROPN,NNP,ROOT,Xxxxx,0.0
Neel Rao,Neel,2,1,4,Neel,PROPN,NNP,compound,Xxxx,0.0
Neel Rao,Rao,2,1,3,Rao,PROPN,NNP,ROOT,Xxx,0.0
Luke Leonhard,Luke,2,1,4,Luke,PROPN,NNP,compound,Xxxx,0.0
Luke Leonhard,Leonhard,2,1,8,Leonhard,PROPN,NNP,ROOT,Xxxxx,0.0
Jennifer O'Connnor,Jennifer,2,1,8,Jennifer,PROPN,NNP,compound,Xxxxx,0.0
Jennifer O'Connnor,O'Connnor,2,1,9,O'Connnor,PROPN,NNP,ROOT,X'Xxxxx,0.0
Just Myself,Just,2,1,4,just,ADV,RB,advmod,Xxxx,0.0
Just Myself,Myself,2,1,6,myself,PRON,PRP,ROOT,Xxxxx,0.0
Corey Johnson,Corey,2,1,5,Corey,PROPN,NNP,compound,Xxxxx,0.0
Corey Johnson,Johnson,2,1,7,Johnson,PROPN,NNP,ROOT,Xxxxx,0.0
Drew Calcagno,Drew,2,1,4,Drew,PROPN,NNP,ROOT,Xxxx,0.0
