Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
1998,1998,1,912,4,1998,NUM,CD,ROOT,dddd,0.0
"Jul 18, 1968",Jul,3,69,3,Jul,PROPN,NNP,ROOT,Xxx,0.0
"Jul 18, 1968",18,3,69,2,18,NUM,CD,nummod,dd,0.0
"Jul 18, 1968",",",3,69,1,",",PUNCT,",",punct,",",0.0
"Jul 18, 1968",1968,3,69,4,1968,NUM,CD,nummod,dddd,0.0
"Feb 4, 2004",Feb,3,17,3,Feb,PROPN,NNP,ROOT,Xxx,0.0
"Feb 4, 2004",4,3,17,1,4,NUM,CD,nummod,d,0.0
"Feb 4, 2004",",",3,17,1,",",PUNCT,",",punct,",",0.0
"Feb 4, 2004",2004,3,17,4,2004,NUM,CD,nummod,dddd,0.0
1993,1993,1,2,4,1993,NUM,CD,ROOT,dddd,0.0
