Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
