Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"Jun 1, 2022",Jun,3,912,3,Jun,PROPN,NNP,ROOT,Xxx,0.0
"Jun 1, 2022",1,3,912,1,1,NUM,CD,nummod,d,0.0
"Jun 1, 2022",",",3,912,1,",",PUNCT,",",punct,",",0.0
"Jun 1, 2022",2022,3,912,4,2022,NUM,CD,nummod,dddd,0.0
"Feb 22, 2021",Feb,3,69,3,Feb,PROPN,NNP,ROOT,Xxx,0.0
"Feb 22, 2021",22,3,69,2,22,NUM,CD,nummod,dd,0.0
"Feb 22, 2021",",",3,69,1,",",PUNCT,",",punct,",",0.0
"Feb 22, 2021",2021,3,69,4,2021,NUM,CD,nummod,dddd,0.0
"Aug 4, 2022",Aug,3,17,3,Aug,PROPN,NNP,ROOT,Xxx,0.0
"Aug 4, 2022",4,3,17,1,4,NUM,CD,nummod,d,0.0
"Aug 4, 2022",",",3,17,1,",",PUNCT,",",punct,",",0.0
"Aug 4, 2022",2022,3,17,4,2022,NUM,CD,nummod,dddd,0.0
"Aug 9, 2022",Aug,3,2,3,Aug,PROPN,NNP,ROOT,Xxx,0.0
"Aug 9, 2022",9,3,2,1,9,NUM,CD,nummod,d,0.0
"Aug 9, 2022",",",3,2,1,",",PUNCT,",",punct,",",0.0
"Aug 9, 2022",2022,3,2,4,2022,NUM,CD,nummod,dddd,0.0
