Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Other,Other,1,64,5,other,ADJ,JJ,ROOT,Xxxxx,0.0
"Conference, Expo, Networking, Seminar",Conference,4,2,10,conference,NOUN,NN,ROOT,Xxxxx,0.0
"Conference, Expo, Networking, Seminar",",",4,2,1,",",PUNCT,",",punct,",",0.0
"Conference, Expo, Networking, Seminar",Expo,4,2,4,Expo,PROPN,NNP,conj,Xxxx,0.0
"Conference, Expo, Networking, Seminar",Networking,4,2,10,Networking,PROPN,NNP,conj,Xxxxx,0.0
"Conference, Expo, Networking, Seminar",Seminar,4,2,7,Seminar,PROPN,NNP,appos,Xxxxx,0.0
Conference,Conference,1,329,10,conference,NOUN,NN,ROOT,Xxxxx,0.0
Seminar,Seminar,1,10,7,seminar,NOUN,NN,ROOT,Xxxxx,0.0
Virtual,Virtual,1,29,7,virtual,ADJ,JJ,ROOT,Xxxxx,0.0
Competition,Competition,1,24,11,competition,NOUN,NN,ROOT,Xxxxx,0.0
Meetup,Meetup,1,17,6,meetup,NOUN,NN,ROOT,Xxxxx,0.0
"Other, Seminar",Other,2,1,5,other,ADJ,JJ,amod,Xxxxx,0.0
"Other, Seminar",",",2,1,1,",",PUNCT,",",punct,",",0.0
"Other, Seminar",Seminar,2,1,7,Seminar,PROPN,NNP,ROOT,Xxxxx,0.0
Networking,Networking,1,26,10,network,VERB,VBG,ROOT,Xxxxx,0.0
"Conference, Networking, Other",Conference,3,2,10,conference,NOUN,NN,ROOT,Xxxxx,0.0
"Conference, Networking, Other",",",3,2,1,",",PUNCT,",",punct,",",0.0
"Conference, Networking, Other",Networking,3,2,10,Networking,PROPN,NNP,appos,Xxxxx,0.0
"Conference, Networking, Other",Other,3,2,5,other,ADJ,JJ,appos,Xxxxx,0.0
"Conference, Meetup",Conference,2,5,10,conference,NOUN,NN,ROOT,Xxxxx,0.0
"Conference, Meetup",",",2,5,1,",",PUNCT,",",punct,",",0.0
"Conference, Meetup",Meetup,2,5,6,meetup,NOUN,NN,appos,Xxxxx,0.0
"Conference, Meetup, Networking",Conference,3,6,10,conference,NOUN,NN,ROOT,Xxxxx,0.0
"Conference, Meetup, Networking",",",3,6,1,",",PUNCT,",",punct,",",0.0
"Conference, Meetup, Networking",Meetup,3,6,6,Meetup,PROPN,NNP,appos,Xxxxx,0.0
"Conference, Meetup, Networking",Networking,3,6,10,networking,NOUN,NN,appos,Xxxxx,0.0
"Conference, Networking",Conference,2,24,10,conference,NOUN,NN,ROOT,Xxxxx,0.0
"Conference, Networking",",",2,24,1,",",PUNCT,",",punct,",",0.0
"Conference, Networking",Networking,2,24,10,networking,NOUN,NN,appos,Xxxxx,0.0
"Meetup, Networking",Meetup,2,3,6,Meetup,PROPN,NNP,ROOT,Xxxxx,0.0
"Meetup, Networking",",",2,3,1,",",PUNCT,",",punct,",",0.0
"Meetup, Networking",Networking,2,3,10,networking,NOUN,NN,appos,Xxxxx,0.0
Webinar,Webinar,1,76,7,Webinar,PROPN,NNP,ROOT,Xxxxx,0.0
"Conference, Virtual",Conference,2,16,10,conference,NOUN,NN,ROOT,Xxxxx,0.0
"Conference, Virtual",",",2,16,1,",",PUNCT,",",punct,",",0.0
