Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
—,[],0,[],0,[],0
"Automotive, Autonomous Vehicles, Delivery, Electric Vehicle, Hardware, Industrial, Manufacturing, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"E-Learning, EdTech, Venture Capital","[E, -]",2,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Information Technology, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Business Development, Events, Information Technology",[Events],1,[],0,[],0
—,[],0,[],0,[],0
"Business Development, Business Information Systems, Business Intelligence",[],0,[],0,[],0
"Finance, FinTech, Professional Networking, Social",[Finance],1,[],0,[],0
Education,[Education],1,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Information Technology, Software, Web Development",[Web],1,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Banking, Cryptocurrency, Financial Services, FinTech, Online Portals, Payments","[Banking, Payments]",2,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Apps, E-Commerce, Education, Financial Services, Information Technology, Internet, Mobile, Software, Web Development",[Web],1,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Artificial Intelligence, Events, Information Technology",[],0,[],0,[],0
"Financial Services, Payments",[Payments],1,[],0,[],0
—,[],0,[],0,[],0
Non Profit,[],0,[],0,[],0
—,[],0,[],0,[],0
"AgTech, Food and Beverage, Food Processing, Organic Food, Sustainability",[Sustainability],1,[],0,[],0
"Cryptocurrency, Finance, Stock Exchanges",[Exchanges],1,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Advertising, Blockchain, Health Care, Robotics, Sports","[Advertising, Sports]",2,[],0,[],0
"Information Technology, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
"Blockchain, Cryptocurrency, Information Technology",[],0,[],0,[],0
"Bioinformatics, Biotechnology, Life Science, Pharmaceutical",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Blockchain, Cryptocurrency, Virtual Currency",[],0,[],0,[],0
"Blockchain, Cryptocurrency, Finance",[Finance],1,[],0,[],0
"Augmented Reality, Business Development, Information Technology, Software, Virtual Reality",[Reality],1,[],0,[Virtual],1
—,[],0,[],0,[],0
"Consulting, Education, Health Care, Medical",[],0,[],0,[],0
—,[],0,[],0,[],0
