Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
—,[],0,[],0,[],0
"Administrative Services, Hardware, Manufacturing, Software, Transportation",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Education, Financial Services, Lending and Investments, Software",[Education],1,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Information Technology, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Events, Information Technology, Media and Entertainment, Professional Services",[Events],1,[],0,[],0
—,[],0,[],0,[],0
"Data and Analytics, Information Technology, Professional Services",[Data],1,[],0,[],0
"Community and Lifestyle, Financial Services, Professional Services",[Community],1,[],0,[],0
Education,[Education],1,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Information Technology, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Financial Services, Internet Services, Lending and Investments, Payments, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Apps, Commerce and Shopping, Education, Financial Services, Information Technology, Internet Services, Mobile, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Events, Information Technology, Media and Entertainment, Science and Engineering, Software",[Events],1,[],0,[],0
"Financial Services, Payments",[Payments],1,[],0,[],0
—,[],0,[],0,[],0
Other,[],0,[],0,[Other],1
—,[],0,[],0,[],0
"Agriculture and Farming, Food and Beverage, Sustainability","[Agriculture, Sustainability]",2,[],0,[],0
"Financial Services, Lending and Investments, Payments, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Advertising, Hardware, Health Care, Other, Sales and Marketing, Science and Engineering, Software, Sports","[Advertising, Sales, Sports]",3,[],0,[Other],1
"Information Technology, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
"Financial Services, Information Technology, Other, Payments, Software",[],0,[],0,[Other],1
"Biotechnology, Data and Analytics, Health Care, Science and Engineering",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Financial Services, Other, Payments, Software",[],0,[],0,[Other],1
"Financial Services, Other, Payments, Software",[],0,[],0,[Other],1
"Hardware, Information Technology, Professional Services, Software",[Hardware],1,[],0,[],0
—,[],0,[],0,[],0
"Education, Health Care, Professional Services",[Education],1,[],0,[],0
—,[],0,[],0,[],0
"Hardware, Information Technology, Internet Services, Privacy and Security, Software",[Hardware],1,[],0,[],0
—,[],0,[],0,[],0
"Data and Analytics, Information Technology, Professional Services",[Data],1,[],0,[],0
"Events, Media and Entertainment, Professional Services, Software","[Events, Media]",2,[],0,[],0
—,[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
—,[],0,[],0,[],0
"Artificial Intelligence, Biotechnology, Data and Analytics, Events, Information Technology, Media and Entertainment, Science and Engineering, Software",[Events],1,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Community and Lifestyle, Professional Services",[Community],1,[],0,[],0
—,[],0,[],0,[],0
"Information Technology, Privacy and Security, Software",[],0,[],0,[],0
Sales and Marketing,"[Sales, Marketing]",2,[],0,[],0
"Community and Lifestyle, Events, Media and Entertainment, Professional Services","[Community, Events, Media]",3,[],0,[],0
Health Care,[],0,[],0,[],0
"Financial Services, Information Technology, Lending and Investments, Manufacturing, Science and Engineering, Software",[],0,[],0,[],0
"Advertising, Commerce and Shopping, Information Technology, Internet Services, Sales and Marketing, Software","[Advertising, Sales]",2,[],0,[],0
"Financial Services, Other, Payments, Software",[],0,[],0,[Other],1
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
Software,[Software],1,[],0,[],0
Real Estate,[Estate],1,[],0,[Real],1
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Consumer Electronics, Consumer Goods, Events, Hardware, Media and Entertainment, Science and Engineering, Software","[Consumer, Events]",2,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
Health Care,[],0,[],0,[],0
"Navigation and Mapping, Sports","[Navigation, Sports]",2,[],0,[],0
Real Estate,[Estate],1,[],0,[Real],1
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Administrative Services, Commerce and Shopping, Financial Services, Health Care, Lending and Investments, Transportation",[],0,[],0,[],0
Community and Lifestyle,[Community],1,[],0,[],0
"Hardware, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Community and Lifestyle, Consumer Goods, Education, Government and Military, Media and Entertainment, Music and Audio, Sales and Marketing","[Community, Sales, Marketing]",3,[],0,[],0
Information Technology,[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Other, Privacy and Security, Science and Engineering, Software",[],0,[],0,[Other],1
Sustainability,[Sustainability],1,[],0,[],0
"Artificial Intelligence, Biotechnology, Data and Analytics, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Sales and Marketing, Software",[Sales],1,[],0,[],0
"Design, Events, Information Technology, Media and Entertainment","[Design, Events]",2,[],0,[],0
—,[],0,[],0,[],0
"Information Technology, Software",[],0,[],0,[],0
"Health Care, Science and Engineering, Transportation",[],0,[],0,[],0
"Commerce and Shopping, Financial Services, Other",[],0,[],0,[Other],1
"Advertising, Professional Services, Sales and Marketing","[Advertising, Sales, Marketing]",3,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Information Technology, Privacy and Security, Software",[],0,[],0,[],0
"Financial Services, Hardware, Internet Services, Lending and Investments, Messaging and Telecommunications, Mobile",[],0,[],0,[],0
Food and Beverage,[Food],1,[],0,[],0
"Community and Lifestyle, Professional Services, Science and Engineering",[Community],1,[],0,[],0
"Consumer Electronics, Financial Services, Hardware, Information Technology, Internet Services, Mobile, Payments, Software",[Consumer],1,[],0,[],0
Software,[Software],1,[],0,[],0
"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software, Sustainability",[Sustainability],1,[],0,[],0
—,[],0,[],0,[],0
"Apps, Financial Services, Mobile, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
"Apps, Commerce and Shopping, Internet Services, Media and Entertainment, Music and Audio, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
"Financial Services, Information Technology, Lending and Investments",[Investments],1,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Information Technology, Software",[],0,[],0,[],0
"Commerce and Shopping, Financial Services, Food and Beverage, Health Care, Information Technology, Internet Services, Mobile, Other, Professional Services, Software",[],0,[],0,[Other],1
"Artificial Intelligence, Data and Analytics, Government and Military, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
Information Technology,[],0,[],0,[],0
"Events, Media and Entertainment","[Events, Media]",2,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
Software,[Software],1,[],0,[],0
"Events, Media and Entertainment, Professional Services","[Events, Media]",2,[],0,[],0
"Artificial Intelligence, Data and Analytics, Education, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Financial Services, Food and Beverage, Information Technology, Other, Professional Services, Real Estate",[],0,[],0,"[Other, Real]",2
"Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software","[Advertising, Sales]",2,[],0,[],0
"Information Technology, Privacy and Security, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
"Apps, Commerce and Shopping, Design, Financial Services, Information Technology, Internet Services, Mobile, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
"Financial Services, Information Technology, Internet Services, Lending and Investments, Real Estate, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Financial Services, Information Technology, Lending and Investments",[Investments],1,[],0,[],0
"Education, Financial Services, Health Care, Lending and Investments, Software",[Education],1,[],0,[],0
"Data and Analytics, Design, Sales and Marketing, Software","[Data, Sales]",2,[],0,[],0
"Commerce and Shopping, Financial Services, Health Care, Manufacturing, Sales and Marketing, Software",[Sales],1,[],0,[],0
"Commerce and Shopping, Financial Services, Information Technology, Lending and Investments, Other, Sales and Marketing, Software",[Sales],1,[],0,[Other],1
—,[],0,[],0,[],0
Other,[],0,[],0,[Other],1
"Community and Lifestyle, Education, Financial Services, Food and Beverage, Health Care, Information Technology, Lending and Investments, Manufacturing, Other, Professional Services, Real Estate, Science and Engineering",[Community],1,[],0,[Other],1
—,[],0,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Financial Services, Information Technology, Payments, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Education, Financial Services, Health Care, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Education, Other, Professional Services, Software",[Education],1,[],0,[Other],1
—,[],0,[],0,[],0
"Apps, Health Care, Information Technology, Mobile, Software",[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Government and Military, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software",[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
"Commerce and Shopping, Health Care, Information Technology, Internet Services, Mobile, Professional Services, Software",[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
Hardware,[Hardware],1,[],0,[],0
—,[],0,[],0,[],0
"Apps, Commerce and Shopping, Education, Information Technology, Internet Services, Other, Professional Services, Software",[],0,[],0,[Other],1
—,[],0,[],0,[],0
"Agriculture and Farming, Financial Services, Lending and Investments, Natural Resources, Sustainability","[Agriculture, Sustainability]",2,[],0,[],0
"Information Technology, Internet Services, Software",[],0,[],0,[],0
"Administrative Services, Artificial Intelligence, Data and Analytics, Education, Information Technology, Other, Science and Engineering, Software",[],0,[],0,[Other],1
"Administrative Services, Artificial Intelligence, Data and Analytics, Education, Information Technology, Other, Science and Engineering, Software",[],0,[],0,[Other],1
"Biotechnology, Data and Analytics, Financial Services, Health Care, Information Technology, Lending and Investments, Professional Services, Science and Engineering, Software",[],0,[],0,[],0
"Events, Media and Entertainment, Other","[Events, Media]",2,[],0,[Other],1
"Commerce and Shopping, Design, Financial Services, Information Technology, Internet Services, Sales and Marketing, Software",[Sales],1,[],0,[],0
—,[],0,[],0,[],0
"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","[Clothing, Design]",2,[],0,[],0
"Community and Lifestyle, Financial Services, Lending and Investments, Professional Services",[Community],1,[],0,[],0
—,[],0,[],0,[],0
"Apps, Professional Services, Real Estate, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
"Commerce and Shopping, Financial Services, Information Technology, Lending and Investments, Software",[],0,[],0,[],0
"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Education, Hardware, Information Technology, Internet Services, Media and Entertainment, Music and Audio, Science and Engineering, Software",[],0,[],0,[],0
"Administrative Services, Artificial Intelligence, Data and Analytics, Education, Information Technology, Other, Science and Engineering, Software",[],0,[],0,[Other],1
"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Information Technology, Privacy and Security, Software",[],0,[],0,[],0
"Apps, Commerce and Shopping, Education, Food and Beverage, Health Care, Information Technology, Software",[],0,[],0,[],0
"Commerce and Shopping, Financial Services, Health Care, Media and Entertainment, Music and Audio, Transportation",[Transportation],1,[],0,[],0
"Community and Lifestyle, Financial Services, Health Care, Other, Sales and Marketing, Software","[Community, Sales]",2,[],0,[Other],1
"Energy, Financial Services, Manufacturing, Real Estate, Science and Engineering, Sustainability","[Energy, Sustainability]",2,[],0,[],0
"Biotechnology, Clothing and Apparel, Design, Education, Gaming, Information Technology, Media and Entertainment, Music and Audio, Sales and Marketing, Science and Engineering, Sports","[Biotechnology, Sales, Sports]",3,[],0,[],0
"Consumer Electronics, Energy, Financial Services, Lending and Investments, Professional Services, Real Estate, Sustainability",[Sustainability],1,[],0,[],0
"Advertising, Apps, Education, Information Technology, Professional Services, Sales and Marketing, Software","[Advertising, Sales]",2,[],0,[],0
—,[],0,[],0,[],0
Financial Services,[],0,[],0,[],0
"Administrative Services, Financial Services, Lending and Investments, Payments, Professional Services, Software",[],0,[],0,[],0
"Agriculture and Farming, Artificial Intelligence, Biotechnology, Commerce and Shopping, Community and Lifestyle, Consumer Electronics, Data and Analytics, Energy, Financial Services, Government and Military, Hardware, Information Technology, Internet Services, Manufacturing, Natural Resources, Real Estate, Science and Engineering, Software, Sustainability, Travel and Tourism","[Agriculture, Sustainability, Tourism]",3,[],0,[],0
"Commerce and Shopping, Consumer Goods, Food and Beverage, Gaming, Health Care, Internet Services, Media and Entertainment, Other, Sales and Marketing, Software",[Sales],1,[],0,[Other],1
"Health Care, Other",[],0,[],0,[Other],1
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
Other,[],0,[],0,[Other],1
"Apps, Consumer Electronics, Hardware, Information Technology, Internet Services, Mobile, Software",[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Apps, Information Technology, Other, Professional Services, Software",[],0,[],0,[Other],1
Manufacturing,[Manufacturing],1,[],0,[],0
Agriculture and Farming,"[Agriculture, Farming]",2,[],0,[],0
"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software",[],0,[],0,[Other],1
—,[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Education, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
Software,[Software],1,[],0,[],0
"Information Technology, Manufacturing, Other, Software",[],0,[],0,[Other],1
"Agriculture and Farming, Biotechnology, Commerce and Shopping, Education, Financial Services, Health Care, Information Technology, Mobile, Real Estate, Science and Engineering, Software, Sports, Sustainability","[Agriculture, Sustainability]",2,[],0,[],0
"Information Technology, Software",[],0,[],0,[],0
"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Internet Services",[Clothing],1,[],0,[],0
"Artificial Intelligence, Data and Analytics, Government and Military, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Advertising, Professional Services, Sales and Marketing, Software","[Advertising, Sales]",2,[],0,[],0
—,[],0,[],0,[],0
—,[],0,[],0,[],0
"Administrative Services, Apps, Data and Analytics, Financial Services, Information Technology, Other, Real Estate, Software",[],0,[],0,[Other],1
"Administrative Services, Artificial Intelligence, Data and Analytics, Information Technology, Other, Science and Engineering, Software",[],0,[],0,[Other],1
"Software, Transportation",[],0,[],0,[],0
"Information Technology, Sales and Marketing, Software",[],0,[],0,[],0
Health Care,[],0,[],0,[],0
"Media and Entertainment, Music and Audio",[Media],1,[],0,[],0
"Artificial Intelligence, Data and Analytics, Education, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Internet Services, Professional Services, Sales and Marketing","[Sales, Marketing]",2,[],0,[],0
"Financial Services, Real Estate",[],0,[],0,[Real],1
"Community and Lifestyle, Education, Financial Services",[Community],1,[],0,[],0
Health Care,[],0,[],0,[],0
"Biotechnology, Financial Services, Health Care, Lending and Investments, Professional Services, Science and Engineering",[],0,[],0,[],0
—,[],0,[],0,[],0
"Financial Services, Lending and Investments, Professional Services, Real Estate",[],0,[],0,[Real],1
"Internet Services, Sales and Marketing","[Sales, Marketing]",2,[],0,[],0
—,[],0,[],0,[],0
"Information Technology, Privacy and Security",[Security],1,[],0,[],0
"Commerce and Shopping, Education, Financial Services, Food and Beverage, Health Care, Information Technology, Internet Services, Manufacturing, Other, Software",[],0,[],0,[Other],1
"Education, Other, Professional Services, Science and Engineering",[Education],1,[],0,[Other],1
"Education, Other, Professional Services",[Education],1,[],0,[Other],1
"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",[],0,[],0,[],0
"Information Technology, Privacy and Security, Software",[],0,[],0,[],0
—,[],0,[],0,[],0
Financial Services,[],0,[],0,[],0
"Clothing and Apparel, Commerce and Shopping, Design, Internet Services",[Clothing],1,[],0,[],0
"Advertising, Commerce and Shopping, Financial Services, Health Care, Information Technology, Internet Services, Manufacturing, Other, Professional Services, Sales and Marketing, Software","[Advertising, Sales]",2,[],0,[Other],1
"Financial Services, Gaming, Internet Services, Other, Payments, Software",[],0,[],0,[Other],1
"Community and Lifestyle, Professional Services, Sales and Marketing","[Community, Sales, Marketing]",3,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Data and Analytics, Software",[Data],1,[],0,[],0
"Commerce and Shopping, Financial Services, Health Care, Transportation, Travel and Tourism",[Tourism],1,[],0,[],0
"Commerce and Shopping, Financial Services, Health Care, Transportation, Travel and Tourism",[Tourism],1,[],0,[],0
"Financial Services, Information Technology",[],0,[],0,[],0
"Health Care, Other",[],0,[],0,[Other],1
—,[],0,[],0,[],0
"Financial Services, Gaming, Other, Payments, Software",[],0,[],0,[Other],1
—,[],0,[],0,[],0
"Information Technology, Media and Entertainment, Other, Sustainability",[Sustainability],1,[],0,[Other],1
Sales and Marketing,"[Sales, Marketing]",2,[],0,[],0
—,[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Education, Other, Professional Services",[Education],1,[],0,[Other],1
"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",[],0,[],0,[],0
"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software, Sports","[Hardware, Sports]",2,[],0,[Other],1
"Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",[],0,[],0,[],0
"Financial Services, Information Technology, Software",[],0,[],0,[],0
"Advertising, Financial Services, Health Care, Information Technology, Real Estate, Sales and Marketing, Sustainability, Transportation","[Advertising, Sustainability, Transportation]",3,[],0,[],0
