Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
—,—,1,475,1,—,PUNCT,:,ROOT,—,0.0
"Detroit, Michigan, United States",Detroit,4,1,7,Detroit,PROPN,NNP,ROOT,Xxxxx,0.0
"Detroit, Michigan, United States",",",4,1,1,",",PUNCT,",",punct,",",0.0
"Detroit, Michigan, United States",Michigan,4,1,8,Michigan,PROPN,NNP,conj,Xxxxx,0.0
"Detroit, Michigan, United States",United,4,1,6,United,PROPN,NNP,compound,Xxxxx,0.0
"Detroit, Michigan, United States",States,4,1,6,States,PROPN,NNP,appos,Xxxxx,0.0
"San Diego, California, United States",San,5,6,3,San,PROPN,NNP,compound,Xxx,0.0
"San Diego, California, United States",Diego,5,6,5,Diego,PROPN,NNP,ROOT,Xxxxx,0.0
"San Diego, California, United States",",",5,6,1,",",PUNCT,",",punct,",",0.0
"San Diego, California, United States",California,5,6,10,California,PROPN,NNP,appos,Xxxxx,0.0
"San Diego, California, United States",United,5,6,6,United,PROPN,NNP,compound,Xxxxx,0.0
"San Diego, California, United States",States,5,6,6,States,PROPN,NNP,appos,Xxxxx,0.0
"Labin, Istarska, Croatia",Labin,3,1,5,Labin,PROPN,NNP,ROOT,Xxxxx,0.0
"Labin, Istarska, Croatia",",",3,1,1,",",PUNCT,",",punct,",",0.0
"Labin, Istarska, Croatia",Istarska,3,1,8,Istarska,PROPN,NNP,conj,Xxxxx,0.0
"Labin, Istarska, Croatia",Croatia,3,1,7,Croatia,PROPN,NNP,appos,Xxxxx,0.0
"Miami, Florida, United States",Miami,4,4,5,Miami,PROPN,NNP,ROOT,Xxxxx,0.0
"Miami, Florida, United States",",",4,4,1,",",PUNCT,",",punct,",",0.0
"Miami, Florida, United States",Florida,4,4,7,Florida,PROPN,NNP,appos,Xxxxx,0.0
"Miami, Florida, United States",United,4,4,6,United,PROPN,NNP,compound,Xxxxx,0.0
"Miami, Florida, United States",States,4,4,6,States,PROPN,NNP,appos,Xxxxx,0.0
"Dubai, Dubai, United Arab Emirates",Dubai,5,27,5,Dubai,PROPN,NNP,ROOT,Xxxxx,0.0
"Dubai, Dubai, United Arab Emirates",",",5,27,1,",",PUNCT,",",punct,",",0.0
"Dubai, Dubai, United Arab Emirates",Dubai,5,27,5,Dubai,PROPN,NNP,appos,Xxxxx,0.0
"Dubai, Dubai, United Arab Emirates",United,5,27,6,United,PROPN,NNP,compound,Xxxxx,0.0
"Dubai, Dubai, United Arab Emirates",Arab,5,27,4,Arab,PROPN,NNP,compound,Xxxx,0.0
"Dubai, Dubai, United Arab Emirates",Emirates,5,27,8,Emirates,PROPN,NNPS,appos,Xxxxx,0.0
"Singapore, Central Region, Singapore",Singapore,4,7,9,Singapore,PROPN,NNP,ROOT,Xxxxx,0.0
"Singapore, Central Region, Singapore",",",4,7,1,",",PUNCT,",",punct,",",0.0
"Singapore, Central Region, Singapore",Central,4,7,7,Central,PROPN,NNP,compound,Xxxxx,0.0
"Singapore, Central Region, Singapore",Region,4,7,6,Region,PROPN,NNP,conj,Xxxxx,0.0
"Singapore, Central Region, Singapore",Singapore,4,7,9,Singapore,PROPN,NNP,appos,Xxxxx,0.0
"Bridgetown, Saint Michael, Barbados",Bridgetown,4,1,10,Bridgetown,PROPN,NNP,ROOT,Xxxxx,0.0
"Bridgetown, Saint Michael, Barbados",",",4,1,1,",",PUNCT,",",punct,",",0.0
"Bridgetown, Saint Michael, Barbados",Saint,4,1,5,Saint,PROPN,NNP,compound,Xxxxx,0.0
"Bridgetown, Saint Michael, Barbados",Michael,4,1,7,Michael,PROPN,NNP,appos,Xxxxx,0.0
"Bridgetown, Saint Michael, Barbados",Barbados,4,1,8,Barbados,PROPN,NNP,conj,Xxxxx,0.0
"Las Vegas, Nevada, United States",Las,5,28,3,Las,PROPN,NNP,compound,Xxx,0.0
"Las Vegas, Nevada, United States",Vegas,5,28,5,Vegas,PROPN,NNP,ROOT,Xxxxx,0.0
"Las Vegas, Nevada, United States",",",5,28,1,",",PUNCT,",",punct,",",0.0
"Las Vegas, Nevada, United States",Nevada,5,28,6,Nevada,PROPN,NNP,appos,Xxxxx,0.0
"Las Vegas, Nevada, United States",United,5,28,6,United,PROPN,NNP,compound,Xxxxx,0.0
"Las Vegas, Nevada, United States",States,5,28,6,States,PROPN,NNP,appos,Xxxxx,0.0
"Zadar, Zadarska, Croatia",Zadar,3,1,5,Zadar,PROPN,NNP,ROOT,Xxxxx,0.0
"Zadar, Zadarska, Croatia",",",3,1,1,",",PUNCT,",",punct,",",0.0
"Zadar, Zadarska, Croatia",Zadarska,3,1,8,Zadarska,PROPN,NNP,appos,Xxxxx,0.0
"Zadar, Zadarska, Croatia",Croatia,3,1,7,Croatia,PROPN,NNP,appos,Xxxxx,0.0
"London, England, United Kingdom",London,4,28,6,London,PROPN,NNP,ROOT,Xxxxx,0.0
"London, England, United Kingdom",",",4,28,1,",",PUNCT,",",punct,",",0.0
"London, England, United Kingdom",England,4,28,7,England,PROPN,NNP,conj,Xxxxx,0.0
"London, England, United Kingdom",United,4,28,6,United,PROPN,NNP,compound,Xxxxx,0.0
"London, England, United Kingdom",Kingdom,4,28,7,Kingdom,PROPN,NNP,appos,Xxxxx,0.0
"Washington, District of Columbia, United States",Washington,6,9,10,Washington,PROPN,NNP,ROOT,Xxxxx,0.0
"Washington, District of Columbia, United States",",",6,9,1,",",PUNCT,",",punct,",",0.0
"Washington, District of Columbia, United States",District,6,9,8,District,PROPN,NNP,appos,Xxxxx,0.0
"Washington, District of Columbia, United States",of,6,9,2,of,ADP,IN,prep,xx,0.0
"Washington, District of Columbia, United States",Columbia,6,9,8,Columbia,PROPN,NNP,pobj,Xxxxx,0.0
"Washington, District of Columbia, United States",United,6,9,6,United,PROPN,NNP,compound,Xxxxx,0.0
"Washington, District of Columbia, United States",States,6,9,6,States,PROPN,NNP,appos,Xxxxx,0.0
"Mumbai, Maharashtra, India",Mumbai,3,2,6,mumbai,NOUN,NN,ROOT,Xxxxx,0.0
"Mumbai, Maharashtra, India",",",3,2,1,",",PUNCT,",",punct,",",0.0
"Mumbai, Maharashtra, India",Maharashtra,3,2,11,Maharashtra,PROPN,NNP,conj,Xxxxx,0.0
"Mumbai, Maharashtra, India",India,3,2,5,India,PROPN,NNP,conj,Xxxxx,0.0
"Astana, Astana, Kazakhstan",Astana,3,1,6,Astana,PROPN,NNP,ROOT,Xxxxx,0.0
"Astana, Astana, Kazakhstan",",",3,1,1,",",PUNCT,",",punct,",",0.0
"Astana, Astana, Kazakhstan",Astana,3,1,6,Astana,PROPN,NNP,appos,Xxxxx,0.0
"Astana, Astana, Kazakhstan",Kazakhstan,3,1,10,Kazakhstan,PROPN,NNP,conj,Xxxxx,0.0
"Los Angeles, California, United States",Los,5,11,3,Los,PROPN,NNP,compound,Xxx,0.0
"Los Angeles, California, United States",Angeles,5,11,7,Angeles,PROPN,NNP,ROOT,Xxxxx,0.0
"Los Angeles, California, United States",",",5,11,1,",",PUNCT,",",punct,",",0.0
"Los Angeles, California, United States",California,5,11,10,California,PROPN,NNP,appos,Xxxxx,0.0
"Los Angeles, California, United States",United,5,11,6,United,PROPN,NNP,compound,Xxxxx,0.0
"Los Angeles, California, United States",States,5,11,6,States,PROPN,NNP,appos,Xxxxx,0.0
"Salt Lake City, Utah, United States",Salt,6,1,4,Salt,PROPN,NNP,compound,Xxxx,0.0
"Salt Lake City, Utah, United States",Lake,6,1,4,Lake,PROPN,NNP,compound,Xxxx,0.0
"Salt Lake City, Utah, United States",City,6,1,4,City,PROPN,NNP,ROOT,Xxxx,0.0
"Salt Lake City, Utah, United States",",",6,1,1,",",PUNCT,",",punct,",",0.0
"Salt Lake City, Utah, United States",Utah,6,1,4,Utah,PROPN,NNP,appos,Xxxx,0.0
"Salt Lake City, Utah, United States",United,6,1,6,United,PROPN,NNP,compound,Xxxxx,0.0
"Salt Lake City, Utah, United States",States,6,1,6,States,PROPN,NNP,appos,Xxxxx,0.0
"New York, New York, United States",New,6,21,3,New,PROPN,NNP,compound,Xxx,0.0
"New York, New York, United States",York,6,21,4,York,PROPN,NNP,ROOT,Xxxx,0.0
"New York, New York, United States",",",6,21,1,",",PUNCT,",",punct,",",0.0
"New York, New York, United States",York,6,21,4,York,PROPN,NNP,conj,Xxxx,0.0
"New York, New York, United States",United,6,21,6,United,PROPN,NNP,compound,Xxxxx,0.0
"New York, New York, United States",States,6,21,6,States,PROPN,NNP,appos,Xxxxx,0.0
"Bali, Jawa Barat, Indonesia",Bali,4,2,4,Bali,PROPN,NNP,ROOT,Xxxx,0.0
"Bali, Jawa Barat, Indonesia",",",4,2,1,",",PUNCT,",",punct,",",0.0
