Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
—,—,1,553,1,—,PUNCT,:,ROOT,—,0.0
"Greater Detroit Area, Great Lakes, Midwestern US",Greater,7,1,7,Greater,PROPN,NNP,compound,Xxxxx,0.0
"Greater Detroit Area, Great Lakes, Midwestern US",Detroit,7,1,7,Detroit,PROPN,NNP,compound,Xxxxx,0.0
"Greater Detroit Area, Great Lakes, Midwestern US",Area,7,1,4,Area,PROPN,NNP,ROOT,Xxxx,0.0
"Greater Detroit Area, Great Lakes, Midwestern US",",",7,1,1,",",PUNCT,",",punct,",",0.0
"Greater Detroit Area, Great Lakes, Midwestern US",Great,7,1,5,Great,PROPN,NNP,compound,Xxxxx,0.0
"Greater Detroit Area, Great Lakes, Midwestern US",Lakes,7,1,5,Lakes,PROPN,NNP,appos,Xxxxx,0.0
"Greater Detroit Area, Great Lakes, Midwestern US",Midwestern,7,1,10,Midwestern,PROPN,NNP,compound,Xxxxx,0.0
"Greater Detroit Area, Great Lakes, Midwestern US",US,7,1,2,US,PROPN,NNP,appos,XX,0.0
"Greater San Diego Area, West Coast, Western US",Greater,8,6,7,Greater,PROPN,NNP,compound,Xxxxx,0.0
"Greater San Diego Area, West Coast, Western US",San,8,6,3,San,PROPN,NNP,compound,Xxx,0.0
"Greater San Diego Area, West Coast, Western US",Diego,8,6,5,Diego,PROPN,NNP,compound,Xxxxx,0.0
"Greater San Diego Area, West Coast, Western US",Area,8,6,4,Area,PROPN,NNP,ROOT,Xxxx,0.0
"Greater San Diego Area, West Coast, Western US",",",8,6,1,",",PUNCT,",",punct,",",0.0
"Greater San Diego Area, West Coast, Western US",West,8,6,4,West,PROPN,NNP,compound,Xxxx,0.0
"Greater San Diego Area, West Coast, Western US",Coast,8,6,5,Coast,PROPN,NNP,appos,Xxxxx,0.0
"Greater San Diego Area, West Coast, Western US",Western,8,6,7,Western,PROPN,NNP,compound,Xxxxx,0.0
"Greater San Diego Area, West Coast, Western US",US,8,6,2,US,PROPN,NNP,appos,XX,0.0
European Union (EU),European,3,90,8,European,PROPN,NNP,compound,Xxxxx,0.0
European Union (EU),Union,3,90,5,Union,PROPN,NNP,ROOT,Xxxxx,0.0
European Union (EU),(,3,90,1,(,PUNCT,-LRB-,punct,(,0.0
European Union (EU),EU,3,90,2,EU,PROPN,NNP,appos,XX,0.0
European Union (EU),),3,90,1,),PUNCT,-RRB-,punct,),0.0
"Greater Miami Area, East Coast, Southern US",Greater,7,8,7,Greater,PROPN,NNP,compound,Xxxxx,0.0
"Greater Miami Area, East Coast, Southern US",Miami,7,8,5,Miami,PROPN,NNP,compound,Xxxxx,0.0
"Greater Miami Area, East Coast, Southern US",Area,7,8,4,Area,PROPN,NNP,ROOT,Xxxx,0.0
"Greater Miami Area, East Coast, Southern US",",",7,8,1,",",PUNCT,",",punct,",",0.0
"Greater Miami Area, East Coast, Southern US",East,7,8,4,East,PROPN,NNP,compound,Xxxx,0.0
"Greater Miami Area, East Coast, Southern US",Coast,7,8,5,Coast,PROPN,NNP,appos,Xxxxx,0.0
"Greater Miami Area, East Coast, Southern US",Southern,7,8,8,Southern,PROPN,NNP,compound,Xxxxx,0.0
"Greater Miami Area, East Coast, Southern US",US,7,8,2,US,PROPN,NNP,appos,XX,0.0
Gulf Cooperation Council (GCC),Gulf,4,30,4,Gulf,PROPN,NNP,compound,Xxxx,0.0
Gulf Cooperation Council (GCC),Cooperation,4,30,11,Cooperation,PROPN,NNP,compound,Xxxxx,0.0
Gulf Cooperation Council (GCC),Council,4,30,7,Council,PROPN,NNP,ROOT,Xxxxx,0.0
Gulf Cooperation Council (GCC),(,4,30,1,(,PUNCT,-LRB-,punct,(,0.0
Gulf Cooperation Council (GCC),GCC,4,30,3,GCC,PROPN,NNP,appos,XXX,0.0
Gulf Cooperation Council (GCC),),4,30,1,),PUNCT,-RRB-,punct,),0.0
