Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
—,—,1,610,1,—,PUNCT,:,ROOT,—,0.0
Huntington Place,Huntington,2,1,10,Huntington,PROPN,NNP,compound,Xxxxx,0.0
Huntington Place,Place,2,1,5,Place,PROPN,NNP,ROOT,Xxxxx,0.0
Rudarska ulica 2,Rudarska,3,1,8,Rudarska,PROPN,NNP,nsubj,Xxxxx,0.0
Rudarska ulica 2,ulica,3,1,5,ulica,VERB,VBP,ROOT,xxxx,0.0
Rudarska ulica 2,2,3,1,1,2,NUM,CD,nummod,d,0.0
Event Location,Event,2,4,5,event,NOUN,NN,compound,Xxxxx,0.0
Event Location,Location,2,4,8,location,NOUN,NN,ROOT,Xxxxx,0.0
Venue,Venue,1,6,5,venue,NOUN,NN,ROOT,Xxxxx,0.0
Hilton Hotel in Needham’s Point,Hilton,5,1,6,Hilton,PROPN,NNP,compound,Xxxxx,0.0
Hilton Hotel in Needham’s Point,Hotel,5,1,5,Hotel,PROPN,NNP,ROOT,Xxxxx,0.0
Hilton Hotel in Needham’s Point,in,5,1,2,in,ADP,IN,prep,xx,0.0
Hilton Hotel in Needham’s Point,Needham,5,1,7,Needham,PROPN,NNP,poss,Xxxxx,0.0
Hilton Hotel in Needham’s Point,’s,5,1,2,’s,PART,POS,case,’x,0.0
Hilton Hotel in Needham’s Point,Point,5,1,5,Point,PROPN,NNP,pobj,Xxxxx,0.0
"Mandalay Bay, Las Vegas, USA",Mandalay,5,3,8,Mandalay,PROPN,NNP,compound,Xxxxx,0.0
"Mandalay Bay, Las Vegas, USA",Bay,5,3,3,Bay,PROPN,NNP,ROOT,Xxx,0.0
"Mandalay Bay, Las Vegas, USA",",",5,3,1,",",PUNCT,",",punct,",",0.0
"Mandalay Bay, Las Vegas, USA",Las,5,3,3,Las,PROPN,NNP,compound,Xxx,0.0
"Mandalay Bay, Las Vegas, USA",Vegas,5,3,5,Vegas,PROPN,NNP,npadvmod,Xxxxx,0.0
"Mandalay Bay, Las Vegas, USA",USA,5,3,3,USA,PROPN,NNP,appos,XXX,0.0
Splitska ulica 3,Splitska,3,1,8,Splitska,PROPN,NNP,nsubj,Xxxxx,0.0
Splitska ulica 3,ulica,3,1,5,ulica,VERB,VBP,ROOT,xxxx,0.0
Splitska ulica 3,3,3,1,1,3,NUM,CD,nummod,d,0.0
"Old Billingsgate, London, United Kingdom",Old,5,1,3,old,ADJ,JJ,amod,Xxx,0.0
"Old Billingsgate, London, United Kingdom",Billingsgate,5,1,12,Billingsgate,PROPN,NNP,ROOT,Xxxxx,0.0
