Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
Women Founded,[],0,[Founded],1,[],0
Women Founded,[],0,[Founded],1,[],0
Women Founded,[],0,[Founded],1,[],0
"Black / African American Founded, Black / African American Led, Women Founded, Women Led",[],0,[Led],1,"[Black, African]",2
"Women Founded, Women Led",[],0,[Led],1,[],0
Women Led,[],0,[Led],1,[],0
Women Founded,[],0,[Founded],1,[],0
"South Asian Founded, Southeast Asian Led",[],0,[Led],1,"[South, Asian]",2
"Hispanic / Latine Founded, Hispanic / Latine Led",[],0,[Led],1,[Hispanic],1
"South Asian Founded, Women Founded",[],0,[Founded],1,"[South, Asian]",2
"Women Founded, Women Led",[],0,[Led],1,[],0
Women Led,[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
Women Founded,[],0,[Founded],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
Women Led,[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Black / African American Founded, Black / African American Led, Women Led",[],0,[Led],1,"[Black, African]",2
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
Women Founded,[],0,[Founded],1,[],0
"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led",[],0,[Led],1,[Hispanic],1
Women Founded,[],0,[Founded],1,[],0
Women Founded,[],0,[Founded],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"East Asian Founded, East Asian Led, Women Founded, Women Led",[],0,[Led],1,[East],1
Women Led,[],0,[Led],1,[],0
"South Asian Founded, South Asian Led, Southeast Asian Led",[],0,[Led],1,"[South, Asian]",2
"Women Founded, Women Led",[],0,[Led],1,[],0
East Asian Led,[],0,[Led],1,[East],1
"East Asian Founded, Women Founded, Women Led",[],0,[Led],1,[East],1
Women Founded,[],0,[Founded],1,[],0
Women Founded,[],0,[Founded],1,[],0
East Asian Founded,[],0,[],0,"[East, Asian]",2
"Women Founded, Women Led",[],0,[Led],1,[],0
"South Asian Founded, South Asian Led",[],0,[Led],1,"[South, Asian]",2
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
Women Led,[],0,[Led],1,[],0
Hispanic / Latine Founded,[],0,[Founded],1,[Hispanic],1
Women Led,[],0,[Led],1,[],0
Women Founded,[],0,[Founded],1,[],0
"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded",[],0,[Founded],1,[Hispanic],1
"Hispanic / Latine Founded, Hispanic / Latine Led",[],0,[Led],1,[Hispanic],1
"Women Founded, Women Led",[],0,[Led],1,[],0
Women Led,[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
Women Founded,[],0,[Founded],1,[],0
"Women Founded, Women Led",[],0,[Led],1,[],0
Hispanic / Latine Led,[],0,[Led],1,[Hispanic],1
Women Founded,[],0,[Founded],1,[],0
Women Founded,[],0,[Founded],1,[],0
