Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
IPO,IPO,1,31,3,ipo,NOUN,NN,ROOT,XXX,0.0
Early Stage Venture,Early,3,329,5,early,ADJ,JJ,amod,Xxxxx,0.0
Early Stage Venture,Stage,3,329,5,Stage,PROPN,NNP,compound,Xxxxx,0.0
Early Stage Venture,Venture,3,329,7,Venture,PROPN,NNP,ROOT,Xxxxx,0.0
Late Stage Venture,Late,3,100,4,late,ADJ,JJ,amod,Xxxx,0.0
Late Stage Venture,Stage,3,100,5,Stage,PROPN,NNP,compound,Xxxxx,0.0
Late Stage Venture,Venture,3,100,7,Venture,PROPN,NNP,ROOT,Xxxxx,0.0
Seed,Seed,1,333,4,seed,NOUN,NN,ROOT,Xxxx,0.0
Private Equity,Private,2,28,7,Private,PROPN,NNP,compound,Xxxxx,0.0
Private Equity,Equity,2,28,6,Equity,PROPN,NNP,ROOT,Xxxxx,0.0
M&amp;A,M&amp;A,1,15,7,m&amp;a,NOUN,NN,ROOT,X&xxx;X,0.0
