Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Boyu Capital,0,12,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",GGV Capital,14,25,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Mirae Asset Venture Investment,27,57,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Temasek Holdings,59,75,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",TGV,99,102,ORG,
"Battery Ventures, PSG",Battery Ventures,0,16,ORG,
"Battery Ventures, PSG",PSG,18,21,ORG,
"Collab+Currency, ETFS Capital, Marshall Wace, Quiet Ventures, Valor Equity Partners",ETFS Capital,17,29,ORG,
"Collab+Currency, ETFS Capital, Marshall Wace, Quiet Ventures, Valor Equity Partners",Marshall Wace,31,44,PERSON,
"Collab+Currency, ETFS Capital, Marshall Wace, Quiet Ventures, Valor Equity Partners",Quiet Ventures,46,60,GPE,
"Collab+Currency, ETFS Capital, Marshall Wace, Quiet Ventures, Valor Equity Partners",Valor Equity Partners,62,83,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",9Yards Capital,0,14,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Apollo,29,35,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Binance Labs,37,49,PERSON,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Circle Ventures,51,66,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Coinbase Ventures,68,85,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Dentsu Ventures,87,102,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Franklin Templeton Investments,104,134,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",FTX Ventures,136,148,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Greenoaks Capital,150,167,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Jump Crypto,169,180,PERSON,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Lightspeed Venture Partners,182,209,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",O'Leary Ventures,211,227,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Sino Global Capital,229,248,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Boyu Capital,0,12,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",GGV Capital,14,25,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Mirae Asset Venture Investment,27,57,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Temasek Holdings,59,75,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",TGV,99,102,ORG,
"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify, Shrug Capital",Coinbase Ventures,0,17,ORG,
"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify, Shrug Capital",Haun Ventures,19,32,ORG,
"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify, Shrug Capital",Joseph Lacob,34,46,PERSON,
