Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"Boyu Capital, GGV Capital, Temasek Holdings",Boyu,6,1,4,Boyu,PROPN,NNP,compound,Xxxx,0.0
"Boyu Capital, GGV Capital, Temasek Holdings",Capital,6,1,7,Capital,PROPN,NNP,ROOT,Xxxxx,0.0
"Boyu Capital, GGV Capital, Temasek Holdings",",",6,1,1,",",PUNCT,",",punct,",",0.0
"Boyu Capital, GGV Capital, Temasek Holdings",GGV,6,1,3,GGV,PROPN,NNP,compound,XXX,0.0
"Boyu Capital, GGV Capital, Temasek Holdings",Capital,6,1,7,Capital,PROPN,NNP,appos,Xxxxx,0.0
"Boyu Capital, GGV Capital, Temasek Holdings",Temasek,6,1,7,Temasek,PROPN,NNP,compound,Xxxxx,0.0
"Boyu Capital, GGV Capital, Temasek Holdings",Holdings,6,1,8,Holdings,PROPN,NNPS,appos,Xxxxx,0.0
PSG,PSG,1,2,3,PSG,PROPN,NNP,ROOT,XXX,0.0
Marshall Wace,Marshall,2,1,8,Marshall,PROPN,NNP,compound,Xxxxx,0.0
Marshall Wace,Wace,2,1,4,Wace,PROPN,NNP,ROOT,Xxxx,0.0
FTX Ventures,FTX,2,3,3,FTX,PROPN,NNP,compound,XXX,0.0
FTX Ventures,Ventures,2,3,8,Ventures,PROPN,NNPS,ROOT,Xxxxx,0.0
Haun Ventures,Haun,2,1,4,haun,VERB,VB,ROOT,Xxxx,0.0
Haun Ventures,Ventures,2,1,8,venture,NOUN,NNS,dobj,Xxxxx,0.0
SIG China (SIG Asia Investments),SIG,5,1,3,SIG,PROPN,NNP,compound,XXX,0.0
SIG China (SIG Asia Investments),China,5,1,5,China,PROPN,NNP,ROOT,Xxxxx,0.0
SIG China (SIG Asia Investments),(,5,1,1,(,PUNCT,-LRB-,punct,(,0.0
SIG China (SIG Asia Investments),Asia,5,1,4,Asia,PROPN,NNP,compound,Xxxx,0.0
SIG China (SIG Asia Investments),Investments,5,1,11,Investments,PROPN,NNP,appos,Xxxxx,0.0
SIG China (SIG Asia Investments),),5,1,1,),PUNCT,-RRB-,punct,),0.0
"Avenir Growth Capital, Lightspeed Venture Partners",Avenir,6,1,6,Avenir,PROPN,NNP,compound,Xxxxx,0.0
"Avenir Growth Capital, Lightspeed Venture Partners",Growth,6,1,6,Growth,PROPN,NNP,compound,Xxxxx,0.0
"Avenir Growth Capital, Lightspeed Venture Partners",Capital,6,1,7,Capital,PROPN,NNP,ROOT,Xxxxx,0.0
"Avenir Growth Capital, Lightspeed Venture Partners",",",6,1,1,",",PUNCT,",",punct,",",0.0
"Avenir Growth Capital, Lightspeed Venture Partners",Lightspeed,6,1,10,Lightspeed,PROPN,NNP,compound,Xxxxx,0.0
"Avenir Growth Capital, Lightspeed Venture Partners",Venture,6,1,7,Venture,PROPN,NNP,compound,Xxxxx,0.0
"Avenir Growth Capital, Lightspeed Venture Partners",Partners,6,1,8,Partners,PROPN,NNPS,appos,Xxxxx,0.0
General Catalyst,General,2,4,7,General,PROPN,NNP,compound,Xxxxx,0.0
General Catalyst,Catalyst,2,4,8,Catalyst,PROPN,NNP,ROOT,Xxxxx,0.0
Matrix Partners India,Matrix,3,1,6,Matrix,PROPN,NNP,compound,Xxxxx,0.0
Matrix Partners India,Partners,3,1,8,Partners,PROPN,NNPS,compound,Xxxxx,0.0
Matrix Partners India,India,3,1,5,India,PROPN,NNP,ROOT,Xxxxx,0.0
One Peak Partners,One,3,1,3,one,NUM,CD,nummod,Xxx,0.0
One Peak Partners,Peak,3,1,4,Peak,PROPN,NNP,compound,Xxxx,0.0
One Peak Partners,Partners,3,1,8,Partners,PROPN,NNPS,ROOT,Xxxxx,0.0
