Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Apps, Blockchain, Casual Games, Developer Platform, Video Games",[],0,[],0,[],0
"Cyber Security, Enterprise Software, Identity Management, Privacy, Software",[],0,[],0,[],0
"Blockchain, Cryptocurrency, Internet, Software, Web Apps",[Web],1,[],0,[],0
"Apps, Blockchain, Casual Games, Developer Platform, Video Games",[],0,[],0,[],0
"Blockchain, Marketplace, Software, Web Apps",[Web],1,[],0,[],0
"Financial Services, FinTech, Insurance, InsurTech",[],0,[],0,[],0
"Compliance, FinTech, Fraud Detection, Identity Management, SaaS","[Compliance, SaaS]",2,[],0,[],0
"Finance, Financial Services, Small and Medium Businesses, Supply Chain Management",[Finance],1,[],0,[Small],1
"Construction, Productivity Tools, SaaS, Supply Chain Management",[Construction],1,[],0,[],0
"Computer, Cyber Security, Information Services, Information Technology, SaaS","[Computer, SaaS]",2,[],0,[],0
"Agriculture, AgTech, Artificial Intelligence, Farming",[Farming],1,[],0,[],0
"E-Commerce, FinTech, Payments, Retail, Shopping",[Shopping],1,[],0,[],0
"Aerospace, Commercial, Space Travel, Transportation",[],0,[],0,[],0
"Finance, Financial Services, FinTech, Marketplace",[Finance],1,[],0,[],0
"Education, Health Care, Information Technology, Medical, mHealth",[Education],1,[],0,[],0
"Financial Services, FinTech",[],0,[],0,[],0
"Biotechnology, Genetics, Health Care, Health Diagnostics, Medical",[],0,[],0,[],0
"Health Care, Medical, Wellness",[],0,[],0,[],0
"Delivery, E-Commerce, Health Care, Internet, Medical, Pharmaceutical",[Delivery],1,[],0,[],0
"Hedge Funds, Venture Capital, Wealth Management",[],0,[],0,[],0
Food and Beverage,[Food],1,[],0,[],0
"Analytics, Brand Marketing, SaaS","[Analytics, SaaS]",2,[],0,[],0
"Food and Beverage, Food Processing, Organic Food, Personal Health",[Food],1,[],0,[],0
"Ediscovery, Events, Search Engine, Sports, Ticketing",[Events],1,[Ticketing],1,[],0
"Analytics, Marketing Automation, Mobile, Real Time, SaaS","[Analytics, SaaS]",2,[],0,[Real],1
"Real Estate, Rental, Rental Property, Residential",[],0,[],0,"[Real, Residential]",2
Biotechnology,[Biotechnology],1,[],0,[],0
"Artificial Intelligence, Blockchain, Cloud Data Services, Developer Platform, Machine Learning, Software",[],0,[],0,[],0
"Internet of Things, Semiconductor, Wireless",[Internet],1,[],0,[],0
"Biotechnology, Health Care, Life Science",[],0,[],0,[],0
Construction,[Construction],1,[],0,[],0
"Analytics, Big Data, Business Intelligence, SaaS","[Analytics, SaaS]",2,[],0,[],0
"Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning, Medical Device",[],0,[],0,[],0
"B2B, Finance, FinTech, Payments",[Payments],1,[],0,[],0
"Analytics, Artificial Intelligence, Database, Machine Learning, Open Source, Software",[],0,[],0,[],0
"Cloud Data Services, Cloud Infrastructure, Network Hardware, Software",[],0,[],0,[],0
"Consumer Applications, Consumer Electronics, Consumer Software, Enterprise Software",[Consumer],1,[],0,[],0
"Freight Service, Logistics, Supply Chain Management, Transportation",[],0,[],0,[],0
"Health Care, Medical, Pet, Veterinary",[],0,[],0,[],0
"Big Data, Geospatial",[],0,[],0,[],0
"Health Care, Health Diagnostics, mHealth, Online Games, Psychology, Serious Games, Wellness",[],0,[],0,[],0
"FinTech, Retail, Retail Technology",[],0,[],0,[],0
"Consumer Goods, Food and Beverage, Information Services, Logistics, Software, Supply Chain Management",[Consumer],1,[],0,[],0
"Biotechnology, Health Care, Nutrition, Pet",[Pet],1,[],0,[],0
"Blockchain, Gamification, Gaming, MMO Games, PC Games",[],0,[],0,[],0
"Automotive, Autonomous Vehicles, Health Care, Service Industry",[],0,[],0,[],0
"Apps, Financial Services, FinTech",[],0,[],0,[],0
"Information Services, Journalism, Media and Entertainment, Public Relations, SaaS, Software",[],0,[],0,[],0
"Artificial Intelligence, Computer, Financial Services, FinTech, Information Technology, Software",[],0,[],0,[],0
"Electronics, SaaS, Software",[Electronics],1,[],0,[],0
"Consumer Electronics, Hardware, Medical, Medical Device, Military, Therapeutics",[Therapeutics],1,[],0,[],0
"Elderly, Health Care, Health Insurance, Wellness",[],0,[],0,[],0
"Health Care, Hospital, Human Resources, Medical, Recruiting",[],0,[],0,[],0
"Financial Services, FinTech, Payments",[Payments],1,[],0,[],0
E-Commerce,[Commerce],1,[],0,[],0
"Crowdfunding, FinTech, Real Estate, Real Estate Investment, Residential",[],0,[],0,[],0
"E-Commerce, Internet, Price Comparison",[],0,[],0,[],0
"Health Care, Health Diagnostics, Medical",[],0,[],0,[],0
"Big Data, CleanTech, Collaboration, Project Management",[],0,[],0,[],0
"Biopharma, Biotechnology, Health Care",[],0,[],0,[],0
"Biotechnology, Health Care, Health Diagnostics, Hospital, Medical, mHealth, Wellness",[],0,[],0,[],0
"Building Maintenance, Commercial Real Estate, Property Development, Property Management, Real Estate",[],0,[],0,[],0
"Health Care, Software",[],0,[],0,[],0
"Developer Platform, Gaming",[Gaming],1,[],0,[],0
"Human Resources, Information Technology, SaaS, Software",[],0,[],0,[],0
"Environmental Consulting, Renewable Energy, Software",[],0,[],0,[],0
"Biotechnology, Therapeutics","[Biotechnology, Therapeutics]",2,[],0,[],0
"Air Transportation, Leisure, Tourism, Travel",[Travel],1,[],0,[],0
"Automotive, Electric Vehicle, Electronics, Energy, Industrial Manufacturing",[],0,[],0,[],0
"Artificial Intelligence, Call Center, Customer Service, Enterprise Software, Machine Learning, Software",[],0,[],0,[],0
"Biotechnology, Cloud Computing, Life Science",[Biotechnology],1,[],0,[],0
"Data Visualization, Enterprise Software, Financial Services, Internet, Software",[],0,[],0,[],0
"Artificial Intelligence, Information Technology, Machine Learning, Software",[],0,[],0,[],0
"Artificial Intelligence, Health Care, Machine Learning, Medical, SaaS",[SaaS],1,[],0,[],0
"EdTech, Education, Higher Education",[],0,[],0,[],0
"Clinical Trials, Health Care, Manufacturing, Pharmaceutical",[Pharmaceutical],1,[],0,[],0
Financial Services,[],0,[],0,[],0
"Analytics, GreenTech, Information Technology, Internet of Things, Software, Telecommunications",[Internet],1,[],0,[],0
"Payments, Real Estate, Rental Property, Software",[Payments],1,[],0,[],0
"Auto Insurance, Financial Services, Insurance",[Insurance],1,[],0,[],0
"Enterprise Software, Product Design, Product Management, SaaS, UX Design",[],0,[],0,[],0
Blockchain,[Blockchain],1,[],0,[],0
"Artificial Intelligence, Health Care, Machine Learning",[],0,[],0,[],0
"Biotechnology, Health Diagnostics, Life Science, Medical",[],0,[],0,[],0
"Cyber Security, Information Technology, Software",[],0,[],0,[],0
"Analytics, E-Commerce, Finance, Marketing","[Analytics, Marketing]",2,[],0,[],0
"Health Care, Medical, Neuroscience",[Neuroscience],1,[],0,[],0
Cryptocurrency,[Cryptocurrency],1,[],0,[],0
"Artificial Intelligence, Fertility, Health Care",[],0,[],0,[],0
"Commercial Real Estate, Property Development, Real Estate",[],0,[],0,[Commercial],1
"CleanTech, GreenTech, Industrial Manufacturing",[],0,[],0,[],0
"CleanTech, Home Services, Laundry and Dry-cleaning, Logistics","[cleaning, Logistics]",2,[],0,[],0
"Developer Platform, SaaS, Software",[],0,[],0,[],0
"Artificial Intelligence, Gaming, Machine Learning, Virtual Reality",[Reality],1,[],0,[Virtual],1
"Employment, Human Resources, Online Portals, Recruiting",[Employment],1,[],0,[],0
"Health Care, Manufacturing, Medical Device",[],0,[],0,[],0
"Finance, Financial Services, FinTech, Payments","[Finance, Payments]",2,[],0,[],0
"Biotechnology, Medical, Pharmaceutical, Therapeutics",[Therapeutics],1,[],0,[],0
"Asset Management, Commercial Real Estate, Enterprise Software, Leasing, Professional Services, Real Estate, SaaS, Software",[],0,[],0,[],0
"Banking, Financial Services, FinTech",[Banking],1,[],0,[],0
"Cloud Security, Cyber Security, Data Integration, Enterprise Software, Information Technology, Open Source, Security, Software",[],0,[],0,[],0
"Artificial Intelligence, Clinical Trials, Health Care, Machine Learning, Medical",[],0,[],0,[],0
"Automotive, Autonomous Vehicles, Delivery, Electric Vehicle, Hardware, Industrial Manufacturing",[],0,[],0,[],0
"Biotechnology, Medical, Therapeutics",[Therapeutics],1,[],0,[],0
"Health Care, Home Health Care, Software",[],0,[],0,[],0
"Analytics, PaaS, Software",[],0,[],0,[],0
"E-Commerce, E-Commerce Platforms, Retail Technology, Software",[],0,[],0,[],0
"Information Technology, Management Consulting, Payments, SaaS, Software, Subscription Service",[],0,[],0,[],0
Health Care,[],0,[],0,[],0
"Energy Management, Energy Storage, Internet of Things","[Internet, Things]",2,[],0,[],0
"Information Services, Payments",[Payments],1,[],0,[],0
"Network Security, Security, Software",[],0,[],0,[],0
"Clean Energy, CleanTech, Electrical Distribution, Energy Management, Renewable Energy",[],0,[],0,[],0
"Financial Services, FinTech, Payments, Software",[],0,[],0,[],0
"B2B, FinTech, Hardware, Subscription Service",[],0,[],0,[],0
"Artificial Intelligence, Machine Learning, Marketing, Sales, Software, Web Development",[Web],1,[],0,[],0
"Blockchain, Gamification, Gaming, MMO Games, PC Games",[],0,[],0,[],0
Blockchain,[Blockchain],1,[],0,[],0
"Artificial Intelligence, Education, Information Technology, Professional Services, Recruiting",[],0,[],0,[],0
"Cyber Security, Information Technology, Security, Smart Home",[],0,[],0,[],0
Food and Beverage,[Food],1,[],0,[],0
"Environmental Consulting, Environmental Engineering, Sustainability",[Sustainability],1,[],0,[],0
"Biotechnology, Health Care",[],0,[],0,[],0
"Analytics, Big Data, Business Intelligence, SaaS","[Analytics, SaaS]",2,[],0,[],0
"Aerospace, Geospatial, Information Technology, Satellite Communication",[],0,[],0,[],0
"B2B, Consumer, Mobile, Real Estate, Rental",[Rental],1,[],0,[],0
"Biotechnology, Clinical Trials, Health Care, Pharmaceutical",[],0,[],0,[],0
"Biotechnology, Machine Learning",[Biotechnology],1,[],0,[],0
"Animal Feed, Biotechnology, Farming, Pet, Waste Management",[],0,[],0,[],0
"Health Care, Medical, Medical Device, Virtual Reality",[Reality],1,[],0,[Virtual],1
"Information Technology, Software",[],0,[],0,[],0
"Energy, Renewable Energy",[Energy],1,[],0,[],0
Office Administration,[],0,[],0,[],0
"Developer Tools, Enterprise Software, Information Services, Information Technology, SaaS, Software Engineering",[],0,[],0,[],0
"Computer, Enterprise Software, Information Technology, Procurement, SaaS, Software",[Computer],1,[],0,[],0
"Banking, Developer APIs, Finance, Financial Services, FinTech","[Banking, Developer, APIs]",3,[],0,[],0
"E-Commerce, Logistics, Shipping, Supply Chain Management",[],0,[],0,[],0
"Cloud Computing, Cloud Management, Developer Platform, Developer Tools, Software",[],0,[],0,[],0
"Financial Services, FinTech, Funding Platform, SaaS",[SaaS],1,[],0,[],0
"Health Care, Health Diagnostics, Medical, mHealth, Mobile Apps",[],0,[],0,[],0
"Blockchain, Financial Services, FinTech",[],0,[],0,[],0
"Clean Energy, CleanTech, Energy",[Energy],1,[],0,[],0
"Artificial Intelligence, Health Care, Machine Learning, Medical Device, Software, Therapeutics",[Therapeutics],1,[],0,[],0
"Agriculture, AgTech, E-Commerce, Trading Platform",[Trading],1,[],0,[],0
"Electronics, Energy, Solar",[Electronics],1,[],0,[],0
"Health Care, Medical, Wellness",[],0,[],0,[],0
"Banking, Credit, Financial Services, FinTech, Payments","[Banking, Payments]",2,[],0,[],0
"Information Technology, Internet, Software",[],0,[],0,[],0
"Enterprise Software, Procurement, Productivity Tools, Software, Supply Chain Management",[],0,[],0,[],0
"FinTech, Payments, Sustainability, Transportation","[Sustainability, Transportation]",2,[],0,[],0
"Artificial Intelligence, Information Technology, Machine Learning, Psychology",[Psychology],1,[],0,[],0
"Clinical Trials, Medical",[],0,[],0,[],0
"Developer APIs, Location Based Services, SaaS","[Developer, APIs, SaaS]",3,[],0,[],0
"E-Commerce, Logistics, Service Industry",[],0,[],0,[],0
"Artificial Intelligence, Information Technology, Machine Learning",[],0,[],0,[],0
"Finance, Financial Services, FinTech, SaaS, Small and Medium Businesses",[Finance],1,[],0,[Small],1
"Augmented Reality, Hardware, Software, Virtual Reality, Virtualization",[Virtualization],1,[],0,[Virtual],1
"Cloud Infrastructure, Developer Platform, Enterprise Software, Information Technology, SaaS",[SaaS],1,[],0,[],0
