Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Animoca Brands,Animoca,2,2,7,Animoca,PROPN,NNP,compound,Xxxxx,0.0
Animoca Brands,Brands,2,2,6,Brands,PROPN,NNPS,ROOT,Xxxxx,0.0
Bitwarden,Bitwarden,1,1,9,bitwarden,VERB,VB,ROOT,Xxxxx,0.0
21.co,21.co,1,1,5,21.co,NUM,CD,ROOT,dd.xx,0.0
Mysten Labs,Mysten,2,1,6,Mysten,PROPN,NNP,compound,Xxxxx,0.0
Mysten Labs,Labs,2,1,4,Labs,PROPN,NNPS,ROOT,Xxxx,0.0
thirdweb,thirdweb,1,1,8,thirdweb,PROPN,NNP,ROOT,xxxx,0.0
GroMo,GroMo,1,1,5,gromo,NOUN,NN,ROOT,XxxXx,0.0
Alloy,Alloy,1,1,5,alloy,NOUN,NN,ROOT,Xxxxx,0.0
Cashflo,Cashflo,1,1,7,cashflo,NOUN,NN,ROOT,Xxxxx,0.0
ZippMat,ZippMat,1,2,7,ZippMat,PROPN,NNP,ROOT,XxxxXxx,0.0
Cymulate,Cymulate,1,1,8,cymulate,NOUN,NN,ROOT,Xxxxx,0.0
Taranis,Taranis,1,1,7,Taranis,PROPN,NNP,ROOT,Xxxxx,0.0
Tamara,Tamara,1,1,6,Tamara,PROPN,NNP,ROOT,Xxxxx,0.0
Skyroot Aerospace,Skyroot,2,1,7,Skyroot,PROPN,NNP,compound,Xxxxx,0.0
Skyroot Aerospace,Aerospace,2,1,9,Aerospace,PROPN,NNP,ROOT,Xxxxx,0.0
Pezesha,Pezesha,1,1,7,pezesha,VERB,VB,ROOT,Xxxxx,0.0
Docquity,Docquity,1,1,8,docquity,NOUN,NN,ROOT,Xxxxx,0.0
Credix,Credix,1,1,6,Credix,PROPN,NNP,ROOT,Xxxxx,0.0
MedGenome,MedGenome,1,1,9,medgenome,NOUN,NN,ROOT,XxxXxxxx,0.0
Alma,Alma,1,1,4,alma,NOUN,NN,ROOT,Xxxx,0.0
1mg,1,1,1,1,1,NUM,CD,ROOT,d,0.0
1mg,mg,1,1,2,mg,NOUN,NN,punct,xx,0.0
SkyBridge Capital,SkyBridge,2,1,9,SkyBridge,PROPN,NNP,compound,XxxXxxxx,0.0
SkyBridge Capital,Capital,2,1,7,capital,NOUN,NN,ROOT,Xxxxx,0.0
Suite42,Suite42,1,1,7,suite42,NOUN,NN,ROOT,Xxxxxdd,0.0
Latana Brand Tracking,Latana,3,1,6,Latana,PROPN,NNP,compound,Xxxxx,0.0
Latana Brand Tracking,Brand,3,1,5,Brand,PROPN,NNP,compound,Xxxxx,0.0
Latana Brand Tracking,Tracking,3,1,8,tracking,NOUN,NN,ROOT,Xxxxx,0.0
Planted Foods,Planted,2,1,7,Planted,PROPN,NNP,compound,Xxxxx,0.0
Planted Foods,Foods,2,1,5,Foods,PROPN,NNPS,ROOT,Xxxxx,0.0
SeatGeek,SeatGeek,1,1,8,seatgeek,NOUN,NN,ROOT,XxxxXxxx,0.0
CleverTap,CleverTap,1,1,9,CleverTap,NOUN,NNS,ROOT,XxxxxXxx,0.0
Landing,Landing,1,2,7,land,VERB,VBG,ROOT,Xxxxx,0.0
Photys Therapeutics,Photys,2,1,6,Photys,PROPN,NNP,compound,Xxxxx,0.0
Photys Therapeutics,Therapeutics,2,1,12,Therapeutics,PROPN,NNP,ROOT,Xxxxx,0.0
Spice AI,Spice,2,1,5,Spice,PROPN,NNP,compound,Xxxxx,0.0
Spice AI,AI,2,1,2,AI,PROPN,NNP,ROOT,XX,0.0
Morse Micro,Morse,2,1,5,Morse,PROPN,NNP,compound,Xxxxx,0.0
Morse Micro,Micro,2,1,5,Micro,PROPN,NNP,ROOT,Xxxxx,0.0
Aktis Oncology,Aktis,2,1,5,Aktis,PROPN,NNP,compound,Xxxxx,0.0
Aktis Oncology,Oncology,2,1,8,Oncology,PROPN,NNP,ROOT,Xxxxx,0.0
Powerplay,Powerplay,1,1,9,powerplay,NOUN,NN,ROOT,Xxxxx,0.0
Celonis,Celonis,1,2,7,celoni,NOUN,NNS,ROOT,Xxxxx,0.0
Digital Diagnostics,Digital,2,1,7,Digital,PROPN,NNP,compound,Xxxxx,0.0
Digital Diagnostics,Diagnostics,2,1,11,Diagnostics,PROPN,NNPS,ROOT,Xxxxx,0.0
Duplo,Duplo,1,1,5,duplo,NOUN,NN,ROOT,Xxxxx,0.0
FinAGG,FinAGG,1,1,6,FinAGG,VERB,VBZ,ROOT,XxxXXX,0.0
Zilliz,Zilliz,1,1,6,Zilliz,PROPN,NNP,ROOT,Xxxxx,0.0
DriveNets,DriveNets,1,1,9,drivenet,NOUN,NNS,ROOT,XxxxxXxxx,0.0
Servify,Servify,1,1,7,servify,VERB,VB,ROOT,Xxxxx,0.0
TruKKer,TruKKer,1,1,7,trukker,X,LS,ROOT,XxxXXxx,0.0
Petfolk,Petfolk,1,1,7,Petfolk,PROPN,NNP,ROOT,Xxxxx,0.0
Albedo,Albedo,1,1,6,albedo,NOUN,NN,ROOT,Xxxxx,0.0
PsycApps,PsycApps,1,1,8,PsycApps,PROPN,NNP,ROOT,XxxxXxxx,0.0
SnappRetail,SnappRetail,1,1,11,snappretail,NOUN,NN,ROOT,XxxxxXxxxx,0.0
Lumachain,Lumachain,1,1,9,lumachain,NOUN,NN,ROOT,Xxxxx,0.0
Bond Pet Foods,Bond,3,1,4,bond,NOUN,NN,compound,Xxxx,0.0
Bond Pet Foods,Pet,3,1,3,Pet,PROPN,NNP,compound,Xxx,0.0
Bond Pet Foods,Foods,3,1,5,Foods,PROPN,NNPS,ROOT,Xxxxx,0.0
Revolving Games,Revolving,2,2,9,Revolving,PROPN,NNP,compound,Xxxxx,0.0
Revolving Games,Games,2,2,5,Games,PROPN,NNPS,ROOT,Xxxxx,0.0
Neurofenix,Neurofenix,1,1,10,Neurofenix,PROPN,NNP,ROOT,Xxxxx,0.0
Jar,Jar,1,1,3,Jar,PROPN,NNP,ROOT,Xxx,0.0
Muck Rack,Muck,2,1,4,Muck,PROPN,NNP,compound,Xxxx,0.0
Muck Rack,Rack,2,1,4,Rack,PROPN,NNP,ROOT,Xxxx,0.0
Kasisto,Kasisto,1,1,7,kasisto,VERB,VB,ROOT,Xxxxx,0.0
Luminovo,Luminovo,1,1,8,Luminovo,PROPN,NNP,ROOT,Xxxxx,0.0
Otolith Labs,Otolith,2,1,7,Otolith,PROPN,NNP,compound,Xxxxx,0.0
Otolith Labs,Labs,2,1,4,Labs,PROPN,NNPS,ROOT,Xxxx,0.0
Fair Square Medicare,Fair,3,1,4,Fair,PROPN,NNP,compound,Xxxx,0.0
Fair Square Medicare,Square,3,1,6,Square,PROPN,NNP,compound,Xxxxx,0.0
Fair Square Medicare,Medicare,3,1,8,Medicare,PROPN,NNP,ROOT,Xxxxx,0.0
Incredible Health,Incredible,2,1,10,Incredible,PROPN,NNP,compound,Xxxxx,0.0
Incredible Health,Health,2,1,6,Health,PROPN,NNP,ROOT,Xxxxx,0.0
Highline Technologies,Highline,2,1,8,Highline,PROPN,NNP,compound,Xxxxx,0.0
Highline Technologies,Technologies,2,1,12,Technologies,PROPN,NNPS,ROOT,Xxxxx,0.0
Graas,Graas,1,1,5,graas,NOUN,NN,ROOT,Xxxxx,0.0
Stake,Stake,1,1,5,stake,NOUN,NN,ROOT,Xxxxx,0.0
PriceOye,PriceOye,1,1,8,priceoye,NOUN,NN,ROOT,XxxxxXxx,0.0
Hexarad,Hexarad,1,1,7,hexarad,ADV,RB,ROOT,Xxxxx,0.0
Ceezer,Ceezer,1,1,6,Ceezer,PROPN,NNP,ROOT,Xxxxx,0.0
3T Biosciences,3,2,1,1,3,NUM,CD,nummod,d,0.0
3T Biosciences,T,2,1,1,t,NOUN,NN,compound,X,0.0
3T Biosciences,Biosciences,2,1,11,Biosciences,PROPN,NNPS,ROOT,Xxxxx,0.0
LetsGetChecked,LetsGetChecked,1,1,14,letsgetchecke,VERB,VBN,ROOT,XxxxXxxXxxxx,0.0
Propseller,Propseller,1,1,10,propseller,NOUN,NN,ROOT,Xxxxx,0.0
Thalamos,Thalamos,1,1,8,Thalamos,PROPN,NNP,ROOT,Xxxxx,0.0
Xterio,Xterio,1,1,6,Xterio,PROPN,NNP,ROOT,Xxxxx,0.0
HiBob,HiBob,1,1,5,HiBob,PROPN,NNP,ROOT,XxXxx,0.0
Odyssey Energy Solutions,Odyssey,3,1,7,Odyssey,PROPN,NNP,compound,Xxxxx,0.0
Odyssey Energy Solutions,Energy,3,1,6,Energy,PROPN,NNP,compound,Xxxxx,0.0
Odyssey Energy Solutions,Solutions,3,1,9,Solutions,PROPN,NNPS,ROOT,Xxxxx,0.0
Harmonic Discovery,Harmonic,2,1,8,Harmonic,PROPN,NNP,compound,Xxxxx,0.0
Harmonic Discovery,Discovery,2,1,9,Discovery,PROPN,NNP,ROOT,Xxxxx,0.0
Aero,Aero,1,2,4,aero,VERB,VB,ROOT,Xxxx,0.0
Exponent Energy,Exponent,2,1,8,Exponent,PROPN,NNP,compound,Xxxxx,0.0
Exponent Energy,Energy,2,1,6,Energy,PROPN,NNP,ROOT,Xxxxx,0.0
PolyAI,PolyAI,1,1,6,polyai,NOUN,NN,ROOT,XxxxXX,0.0
ArsenalBio,ArsenalBio,1,1,10,arsenalbio,NOUN,NN,ROOT,XxxxxXxx,0.0
Edda,Edda,1,1,4,edda,VERB,VB,ROOT,Xxxx,0.0
Arize AI,Arize,2,1,5,Arize,PROPN,NNP,compound,Xxxxx,0.0
Arize AI,AI,2,1,2,AI,PROPN,NNP,ROOT,XX,0.0
Ubie,Ubie,1,1,4,Ubie,PROPN,NNP,ROOT,Xxxx,0.0
