Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
www.animocabrands.com,www.animocabrands.com,1,2,21,www.animocabrands.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
bitwarden.com,bitwarden.com,1,1,13,bitwarden.com,X,ADD,ROOT,xxxx.xxx,0.0
21.co,21.co,1,1,5,21.co,NUM,CD,ROOT,dd.xx,0.0
mystenlabs.com,mystenlabs.com,1,1,14,mystenlabs.com,X,ADD,ROOT,xxxx.xxx,0.0
thirdweb.com,thirdweb.com,1,1,12,thirdweb.com,X,ADD,ROOT,xxxx.xxx,0.0
gromo.in/,gromo.in/,1,1,9,gromo.in/,NOUN,NN,ROOT,xxxx.xx/,0.0
www.alloy.com,www.alloy.com,1,1,13,www.alloy.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
www.cashflo.io,www.cashflo.io,1,1,14,www.cashflo.io,SPACE,_SP,ROOT,xxx.xxxx.xx,0.0
zippmat.com,zippmat.com,1,2,11,zippmat.com,X,ADD,ROOT,xxxx.xxx,0.0
www.cymulate.com,www.cymulate.com,1,1,16,www.cymulate.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
taranis.ag,taranis.ag,1,1,10,taranis.ag,X,ADD,ROOT,xxxx.xx,0.0
tamara.com,tamara.com,1,1,10,tamara.com,X,ADD,ROOT,xxxx.xxx,0.0
skyroot.in,skyroot.in,1,1,10,skyroot.in,X,ADD,ROOT,xxxx.xx,0.0
pezesha.com,pezesha.com,1,1,11,pezesha.com,X,ADD,ROOT,xxxx.xxx,0.0
www.docquity.com,www.docquity.com,1,1,16,www.docquity.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
credix.finance,credix.finance,1,1,14,credix.finance,NOUN,NN,ROOT,xxxx.xxxx,0.0
www.medgenome.com,www.medgenome.com,1,1,17,www.medgenome.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
helloalma.com,helloalma.com,1,1,13,helloalma.com,X,ADD,ROOT,xxxx.xxx,0.0
www.1mg.com/,www.1mg.com/,1,1,12,www.1mg.com/,NOUN,NN,ROOT,xxx.dxx.xxx/,0.0
www.skybridgecapital.com/,www.skybridgecapital.com/,1,1,25,www.skybridgecapital.com/,NOUN,NN,ROOT,xxx.xxxx.xxx/,0.0
www.suite42.in/,www.suite42.in/,1,1,15,www.suite42.in/,NOUN,NN,ROOT,xxx.xxxxdd.xx/,0.0
www.latana.com/,www.latana.com/,1,1,15,www.latana.com/,NOUN,NN,ROOT,xxx.xxxx.xxx/,0.0
www.eatplanted.com,www.eatplanted.com,1,1,18,www.eatplanted.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
seatgeek.com,seatgeek.com,1,1,12,seatgeek.com,X,ADD,ROOT,xxxx.xxx,0.0
clevertap.com,clevertap.com,1,1,13,clevertap.com,X,ADD,ROOT,xxxx.xxx,0.0
www.hellolanding.com,www.hellolanding.com,1,2,20,www.hellolanding.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
www.photys.com/,www.photys.com/,1,1,15,www.photys.com/,VERB,VB,ROOT,xxx.xxxx.xxx/,0.0
spice.ai,spice.ai,1,1,8,spice.ai,X,ADD,ROOT,xxxx.xx,0.0
www.morsemicro.com,www.morsemicro.com,1,1,18,www.morsemicro.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
www.aktisoncology.com/,www.aktisoncology.com/,1,1,22,www.aktisoncology.com/,NOUN,NN,ROOT,xxx.xxxx.xxx/,0.0
www.getpowerplay.in/,www.getpowerplay.in/,1,1,20,www.getpowerplay.in/,NOUN,NN,ROOT,xxx.xxxx.xx/,0.0
www.celonis.com,www.celonis.com,1,2,15,www.celonis.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
digitaldiagnostics.com,digitaldiagnostics.com,1,1,22,digitaldiagnostics.com,X,ADD,ROOT,xxxx.xxx,0.0
www.tryduplo.com/,www.tryduplo.com/,1,1,17,www.tryduplo.com/,ADJ,JJ,ROOT,xxx.xxxx.xxx/,0.0
finagg.in/,finagg.in/,1,1,10,finagg.in/,NOUN,NN,ROOT,xxxx.xx/,0.0
