Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
Convertible Note - Animoca Brands,[],0,[],0,[],0
Series B - Bitwarden,[],0,[],0,[],0
Venture Round - 21.co,[],0,[],0,[],0
Series B - Mysten Labs,[],0,[],0,[],0
Debt Financing - Animoca Brands,[],0,[],0,[],0
Series A - thirdweb,[thirdweb],1,[],0,[],0
Series A - GroMo,[],0,[],0,[],0
Series C - Alloy,[Alloy],1,[],0,[],0
Series B - Cashflo,[],0,[],0,[],0
Seed Round - ZippMat,[],0,[],0,[],0
Series D - Cymulate,[],0,[],0,[],0
Series D - Taranis,[],0,[],0,[],0
Series E - Tamara,[],0,[],0,[],0
Private Equity Round - Skyroot Aerospace,[],0,[],0,[],0
Seed Round - Pezesha,[],0,[],0,[],0
Series C - Docquity,[],0,[],0,[],0
Series A - Credix,[],0,[],0,[],0
Venture Round - MedGenome,[],0,[],0,[],0
Series D - Alma,[],0,[],0,[],0
Funding Round - 1mg,[mg],1,[],0,[],0
Venture Round - SkyBridge Capital,[Capital],1,[],0,[],0
Seed Round - Suite42,[],0,[],0,[],0
Series B - Latana Brand Tracking,[Tracking],1,[],0,[],0
Series B - Planted Foods,[],0,[Planted],1,[],0
Series E - SeatGeek,[],0,[],0,[],0
Series D - CleverTap,[],0,[],0,[],0
Series C - Landing,[Landing],1,[],0,[],0
Series A - Photys Therapeutics,[Therapeutics],1,[],0,[],0
Seed Round - Spice AI,[],0,[],0,[],0
Series B - Morse Micro,[],0,[],0,[],0
Series A - Aktis Oncology,[Oncology],1,[],0,[],0
Series A - Powerplay,[Powerplay],1,[],0,[],0
Series D - Celonis,[],0,[],0,[],0
Series B - Digital Diagnostics,[],0,[],0,[],0
Seed Round - Duplo,[],0,[],0,[],0
Seed Round - FinAGG,[FinAGG],1,[],0,[],0
Series B - Zilliz,[],0,[],0,[],0
Series C - DriveNets,[],0,[],0,[],0
Series D - Servify,[],0,[Servify],1,[],0
Series C - TruKKer,[],0,[],0,[],0
Series A - Petfolk,[],0,[],0,[],0
Series A - Albedo,[],0,[],0,[],0
Seed Round - PsycApps,[],0,[],0,[],0
Pre Seed Round - SnappRetail,[],0,[],0,[],0
Series A - Lumachain,[Lumachain],1,[],0,[],0
Series A - Bond Pet Foods,[],0,[],0,[],0
Seed Round - Revolving Games,[],0,[],0,[],0
Series A - Neurofenix,[],0,[],0,[],0
Series B - Jar,[],0,[],0,[],0
Series A - Muck Rack,[],0,[],0,[],0
Series C - Kasisto,[],0,[],0,[],0
Seed Round - Luminovo,[],0,[],0,[],0
Series A - Otolith Labs,[],0,[],0,[],0
Series A - Fair Square Medicare,[],0,[],0,[],0
Series B - Incredible Health,[],0,[],0,[],0
Series A - Highline Technologies,[],0,[],0,[],0
Series A - Graas,[],0,[],0,[],0
Seed Round - Stake,[Stake],1,[],0,[],0
Seed Round - PriceOye,[],0,[],0,[],0
Series A - Hexarad,[],0,[],0,[],0
Seed Round - Ceezer,[],0,[],0,[],0
Series A - 3T Biosciences,[T],1,[],0,[],0
Series D - LetsGetChecked,[],0,[LetsGetChecked],1,[],0
Series A - Propseller,[Propseller],1,[],0,[],0
Seed Round - Thalamos,[],0,[],0,[],0
Series A - Xterio,[],0,[],0,[],0
Series D - HiBob,[],0,[],0,[],0
Venture Round - Odyssey Energy Solutions,[],0,[],0,[],0
Seed Round - Harmonic Discovery,[],0,[],0,[],0
Series B - Aero,[],0,[],0,[],0
Series A - Exponent Energy,[],0,[],0,[],0
Series B - PolyAI,[PolyAI],1,[],0,[],0
Series B - ArsenalBio,[],0,[],0,[],0
Venture Round - Edda,[],0,[],0,[],0
Series B - Arize AI,[],0,[],0,[],0
Series C - Ubie,[],0,[],0,[],0
Convertible Note - Emonovo,[],0,[],0,[],0
Series A - Pleco Therapeutics,[],0,[],0,[],0
Seed Round - Nitra,[],0,[],0,[],0
Series A - Dryad Networks,[],0,[],0,[],0
Series B - RentSpree,[],0,[],0,[],0
Series A - Fairmatic,[Fairmatic],1,[],0,[],0
Seed Round - Userpilot,[Userpilot],1,[],0,[],0
Seed Round - tokenproof,[tokenproof],1,[],0,[],0
Seed Round - xWave Technologies,[],0,[],0,[],0
Series A - Vilya,[Vilya],1,[],0,[],0
Debt Financing - Huntress,[],0,[],0,[],0
Debt Financing - Wayflyer,[],0,[],0,[],0
Series A - Innervace,[Innervace],1,[],0,[],0
Series A - PROOF,[],0,[],0,[],0
Series B - Apricity,[Apricity],1,[],0,[],0
Venture Round - Flow,[Flow],1,[],0,[],0
Series B - H2 Green Steel,[],0,[],0,[],0
Series A - Oxwash,[],0,[],0,[],0
Seed Round - RevSure,[],0,[],0,[],0
Series A - Inworld AI,[],0,[],0,[],0
Series D - Glints,[Glints],1,[],0,[],0
Series C - JenaValve Technology,[],0,[],0,[],0
Series B - Finix Payments,[Payments],1,[],0,[],0
Series B - Orna Therapeutics,[],0,[],0,[],0
Series E - VTS,[],0,[],0,[],0
Seed Round - Grey,[],0,[],0,[],0
Series B - CodeNotary,[],0,[],0,[],0
Series A - Abridge,[],0,[],0,[],0
Seed Round - Harbinger,[],0,[],0,[],0
Series A - VerifyVASP,[],0,[],0,[],0
Series C - Theranica,[],0,[],0,[],0
Seed Round - marta,[],0,[],0,[],0
Series B - StarTree,[],0,[],0,[],0
Pre Seed Round - El-Dokan,[],0,[],0,[],0
Seed Round - SubsBase,[],0,[],0,[],0
Seed Round - Healee,[],0,[],0,[],0
Series A - Flair,[Flair],1,[],0,[],0
Seed Round - International Payments Identity(IPiD),[],0,[],0,[],0
Seed Round - Silence laboratories,[laboratories],1,[],0,[],0
Venture Round - Lunar Energy,[],0,[],0,[],0
Seed Round - Hello Clever,[],0,[],0,[],0
Venture Round - topi,[],0,[],0,[],0
Series A - Falkon AI,[],0,[],0,[],0
Seed Round - Revolving Games,[],0,[],0,[],0
Series A - Animoca Brands KK,[],0,[],0,[],0
Series A - Jobbatical,[],0,[],0,[Jobbatical],1
Post-IPO Equity - ADT,[],0,[],0,[],0
Venture Round - Delli,[],0,[],0,[],0
Venture Round - Carbon Direct,[],0,[],0,[],0
Grant - Bactolife,[],0,[],0,[],0
Debt Financing - Celonis,[],0,[],0,[],0
Venture Round - Pixxel,[],0,[],0,[],0
Series D - Zumper,[],0,[],0,[],0
Series D - ILiAD Biotechnologies,[Biotechnologies],1,[],0,[],0
Series A - Arpeggio Bio,[],0,[],0,[],0
Seed Round - Loopworm,[],0,[],0,[],0
Series B - FundamentalVR,[],0,[],0,[],0
Series A - ELISE,[],0,[ELISE],1,[],0
Venture Round - Tesseract,[],0,[],0,[],0
Seed Round - Ronspot,[Ronspot],1,[],0,[],0
Series B - Rookout,[],0,[],0,[],0
Series A - CertifyOS,[CertifyOS],1,[],0,[],0
Series A - Procol,[],0,[],0,[],0
Venture Round - Belvo,[],0,[],0,[],0
Series E - Shiprocket,[],0,[],0,[],0
Seed Round - Zeet,[],0,[],0,[],0
Series A - Arc Technologies,[],0,[],0,[],0
Convertible Note - 98point6,[],0,[],0,[],0
Series A - Unstoppable Finance,[Finance],1,[],0,[],0
Series A - Zero Emission Industries,[],0,[],0,[],0
Series B - Avenda Health,[],0,[],0,[],0
Series D - Tridge,[],0,[],0,[],0
Debt Financing - Qcells,[],0,[],0,[],0
Seed Round - Wondermind,[],0,[],0,[],0
Series A - Klavi,[],0,[],0,[],0
Series A - Skribble,[],0,[],0,[Skribble],1
Series C - Fairmarkit,[Fairmarkit],1,[],0,[],0
Series B - AtoB,[],0,[],0,[],0
Series B - Solsten,[],0,[],0,[],0
Seed Round - AstriVax,[],0,[],0,[],0
Series A - HyperTrack,[],0,[],0,[],0
Series D - Dian Xiaomi,[],0,[],0,[],0
Series A - Diveplane,[Diveplane],1,[],0,[],0
Debt Financing - Xepelin,[],0,[],0,[],0
Series D - Varjo,[],0,[],0,[],0
Series E - BigPanda,[],0,[],0,[],0
Seed Round - Lucidity,[],0,[],0,[],0
Debt Financing - topi,[],0,[],0,[],0
Seed Round - Produze,[],0,[],0,[],0
Series D - EarlySalary,[],0,[],0,[],0
Series A - Superblocks,[],0,[],0,[],0
Series C - Fervo Energy,[],0,[],0,[],0
Private Equity Round - Drawbridge,[],0,[],0,[],0
Seed Round - Power Life Science,[],0,[],0,[],0
Series A - Happy Health,[],0,[],0,[],0
Seed Round - JusticeText,[],0,[],0,[],0
Series B - TeamApt,[],0,[],0,[],0
Seed Round - Convertedin,[],0,[],0,[],0
Series C - OneSignal,[],0,[],0,[],0
Debt Financing - Muse Finance,[],0,[],0,[],0
Series B - Elephas,[],0,[],0,[],0
Series B - AdvanCell,[],0,[],0,[],0
Series A - Protex AI,[],0,[],0,[],0
Series B - Awign Enterprises,[],0,[],0,[],0
Seed Round - Remento,[],0,[],0,[],0
Series D - Xeneta,[],0,[],0,[],0
Seed Round - Koolboks,[],0,[],0,[],0
Seed Round - Zywa (YC W22),[],0,[],0,[],0
Seed Round - Sprocket Games,[],0,[],0,[],0
Seed Round - NowNow,[],0,[],0,[],0
Seed Round - Tortoise,[],0,[],0,[],0
Seed Round - Trek Health,[],0,[],0,[],0
Pre Seed Round - Carzami,[],0,[],0,[],0
Venture Round - True Food Kitchen,[],0,[],0,[],0
Series A - PeakData,[],0,[],0,[],0
Series A - Jungle AI,[],0,[],0,[],0
Seed Round - RedStone,[],0,[],0,[],0
Post-IPO Secondary - Yoox Net-a-Porter Group,[],0,[],0,[Post],1
Series A - Gokomodo,[],0,[],0,[],0
