Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"The top 10,000 companies and startups in United States with more than $1m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, more]",2
"The top 10,000 companies and startups with more than $1m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, more]",2
"The top 10,000 companies and startups with more than 10 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, more]",2
"The top 10,000 companies and startups in United States with more than 10 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, more]",2
"The top 10,000 companies and startups in United States with less than $1b in revenue, by Crunchbase rank.","[companies, startups, revenue, rank]",4,[],0,"[top, less]",2
"The top 10,000 companies and startups in United States with less than $500m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, less]",2
"The top 10,000 private companies and startups in United States, by Crunchbase rank.","[companies, startups, rank]",3,[],0,"[top, private]",2
"The top 10,000 companies and startups in United States, by Crunchbase rank.","[companies, startups, rank]",3,[],0,[top],1
"The top 10,000 companies and startups in United States with fewer than 1000 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, fewer]",2
"The top 10,000 companies and startups with fewer than 1000 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, fewer]",2
"The top 10,000 companies and startups in United States with less than $50m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, less]",2
"The top 10,000 companies and startups with less than $1b in revenue, by Crunchbase rank.","[companies, startups, revenue, rank]",4,[],0,"[top, less]",2
"The top 10,000 companies and startups with less than $500m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, less]",2
"The top 10,000 companies and startups in the manufacturing space with more than $1m in revenue, by Crunchbase rank.","[companies, startups, manufacturing, space, m, revenue, rank]",7,[],0,"[top, more]",2
"The top 10,000 companies and startups with less than $50m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, less]",2
"The top 10,000 companies and startups in the manufacturing space with less than $1b in revenue, by Crunchbase rank.","[companies, startups, manufacturing, space, revenue, rank]",6,[],0,"[top, less]",2
"The top 10,000 companies and startups in the manufacturing space with less than $500m in revenue, by Crunchbase rank.","[companies, startups, manufacturing, space, m, revenue, rank]",7,[],0,"[top, less]",2
"The top 10,000 companies and startups in United States with fewer than 100 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, fewer]",2
"The top 10,000 companies and startups with fewer than 100 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, fewer]",2
"The top 10,000 companies and startups in the manufacturing space with less than $50m in revenue, by Crunchbase rank.","[companies, startups, manufacturing, space, m, revenue, rank]",7,[],0,"[top, less]",2
"The top 10,000 companies and startups with more than 50 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, more]",2
"The top 10,000 companies and startups in United States with less than $10m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, less]",2
"The top 10,000 companies and startups in Southern US with more than $1m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, Southern, more]",3
"The top 10,000 companies and startups in United States with fewer than 50 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, fewer]",2
"The top 10,000 companies and startups in the manufacturing space with more than 10 employees, by Crunchbase rank.","[companies, startups, manufacturing, space, employees, rank]",6,[],0,"[top, more]",2
"The top 10,000 companies and startups with fewer than 50 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, fewer]",2
"The top 10,000 companies and startups in United States in the manufacturing space, by Crunchbase rank.","[companies, startups, manufacturing, space, rank]",5,[],0,[top],1
"The top 10,000 companies and startups with less than $10m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, less]",2
"The top 10,000 companies and startups in the manufacturing space with fewer than 1000 employees, by Crunchbase rank.","[companies, startups, manufacturing, space, employees, rank]",6,[],0,"[top, fewer]",2
"The top 10,000 companies and startups with more than $10m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, more]",2
"The top 10,000 companies and startups in United States with more than 50 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, more]",2
"The top 10,000 companies and startups in the manufacturing space, by Crunchbase rank.","[companies, startups, manufacturing, space, rank]",5,[],0,[top],1
"The top 10,000 companies and startups in Southern US with more than 10 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, Southern, more]",3
"The top 10,000 companies and startups in East Coast with more than $1m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, more]",2
"The top 10,000 companies and startups with more than 100 employees, by Crunchbase rank.","[companies, startups, employees, rank]",4,[],0,"[top, more]",2
"The top 10,000 companies and startups in Southern US with less than $1b in revenue, by Crunchbase rank.","[companies, startups, revenue, rank]",4,[],0,"[top, Southern, less]",3
"The top 10,000 companies and startups in Southern US with less than $500m in revenue, by Crunchbase rank.","[companies, startups, m, revenue, rank]",5,[],0,"[top, Southern, less]",3
"The top 10,000 private companies and startups in Southern US, by Crunchbase rank.","[companies, startups, rank]",3,[],0,"[top, private]",2
