Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
$1M to $10M,$,3,128,1,$,SYM,$,nmod,$,0.0
$1M to $10M,1,3,128,1,1,NUM,CD,ROOT,d,0.0
$1M to $10M,M,3,128,1,M,PROPN,NNP,npadvmod,X,0.0
$1M to $10M,to,3,128,2,to,ADP,IN,prep,xx,0.0
$1M to $10M,$,3,128,1,$,SYM,$,quantmod,$,0.0
$1M to $10M,10,3,128,2,10,NUM,CD,pobj,dd,0.0
$1M to $10M,M,3,128,1,m,NUM,CD,pobj,X,0.0
$500M to $1B,$,3,67,1,$,SYM,$,nmod,$,0.0
$500M to $1B,500,3,67,3,500,NUM,CD,nsubj,ddd,0.0
$500M to $1B,M,3,67,1,M,PROPN,NNP,npadvmod,X,0.0
$500M to $1B,to,3,67,2,to,PART,TO,aux,xx,0.0
$500M to $1B,1B,3,67,2,1b,VERB,VB,ROOT,dX,0.0
$100M to $500M,$,3,67,1,$,SYM,$,nmod,$,0.0
$100M to $500M,100,3,67,3,100,NUM,CD,ROOT,ddd,0.0
$100M to $500M,M,3,67,1,M,PROPN,NNP,nmod,X,0.0
$100M to $500M,to,3,67,2,to,ADP,IN,prep,xx,0.0
$100M to $500M,$,3,67,1,$,SYM,$,quantmod,$,0.0
$100M to $500M,500,3,67,3,500,NUM,CD,pobj,ddd,0.0
$100M to $500M,M,3,67,1,m,NOUN,NN,intj,X,0.0
$10M to $50M,$,3,80,1,$,SYM,$,nmod,$,0.0
$10M to $50M,10,3,80,2,10,NUM,CD,ROOT,dd,0.0
$10M to $50M,M,3,80,1,m,NUM,CD,nmod,X,0.0
$10M to $50M,to,3,80,2,to,ADP,IN,prep,xx,0.0
$10M to $50M,50,3,80,2,50,NUM,CD,pobj,dd,0.0
$10M to $50M,M,3,80,1,m,NUM,CD,intj,X,0.0
$50M to $100M,$,3,3,1,$,SYM,$,nmod,$,0.0
$50M to $100M,50,3,3,2,50,NUM,CD,ROOT,dd,0.0
$50M to $100M,M,3,3,1,M,PROPN,NNP,nmod,X,0.0
$50M to $100M,to,3,3,2,to,ADP,IN,nmod,xx,0.0
$50M to $100M,100,3,3,3,100,NUM,CD,pobj,ddd,0.0
$50M to $100M,M,3,3,1,m,NUM,CD,intj,X,0.0
Less than $1M,Less,3,2,4,Less,ADJ,JJR,amod,Xxxx,0.0
Less than $1M,than,3,2,4,than,ADP,IN,quantmod,xxxx,0.0
Less than $1M,$,3,2,1,$,SYM,$,quantmod,$,0.0
Less than $1M,1,3,2,1,1,NUM,CD,nummod,d,0.0
Less than $1M,M,3,2,1,m,NUM,CD,ROOT,X,0.0
