Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
United States Companies With More Than $1M in Revenue (Top 10K),[],0,[],0,[More],1
Companies With More Than $1M in Revenue (Top 10K),[Companies],1,[],0,[More],1
Companies With More Than 10 Employees (Top 10K),"[Companies, Employees]",2,[],0,[More],1
United States Companies With More Than 10 Employees (Top 10K),[Employees],1,[],0,[More],1
United States Companies With Less Than $1B in Revenue (Top 10K),[1B],1,[],0,[Less],1
United States Companies With Less Than $500M in Revenue (Top 10K),[],0,[],0,[Less],1
Private United States Companies (Top 10K),[],0,[],0,[Private],1
United States Companies (Top 10K),[],0,[],0,[],0
United States Companies With Fewer Than 1000 Employees (Top 10K),[Employees],1,[],0,[Fewer],1
Companies With Fewer Than 1000 Employees (Top 10K),"[Companies, Employees]",2,[],0,[Fewer],1
United States Companies With Less Than $50M in Revenue (Top 10K),[],0,[],0,[Less],1
Companies With Less Than $1B in Revenue (Top 10K),"[Companies, 1B]",2,[],0,[Less],1
Companies With Less Than $500M in Revenue (Top 10K),[Companies],1,[],0,[Less],1
Manufacturing Companies With More Than $1M in Revenue (Top 10K),[Companies],1,[Manufacturing],1,[More],1
Companies With Less Than $50M in Revenue (Top 10K),[Companies],1,[],0,[Less],1
Manufacturing Companies With Less Than $1B in Revenue (Top 10K),"[Companies, 1B]",2,[Manufacturing],1,[Less],1
Manufacturing Companies With Less Than $500M in Revenue (Top 10K),[Companies],1,[Manufacturing],1,[Less],1
United States Companies With Fewer Than 100 Employees (Top 10K),[Employees],1,[],0,[Fewer],1
Companies With Fewer Than 100 Employees (Top 10K),"[Companies, Employees]",2,[],0,[Fewer],1
Manufacturing Companies With Less Than $50M in Revenue (Top 10K),[Companies],1,[Manufacturing],1,[Less],1
Companies With More Than 50 Employees (Top 10K),"[Companies, Employees]",2,[],0,[More],1
United States Companies With Less Than $10M in Revenue (Top 10K),[],0,[],0,[Less],1
Southern US Companies With More Than $1M in Revenue (Top 10K),[Companies],1,[],0,"[Southern, More]",2
United States Companies With Fewer Than 50 Employees (Top 10K),[Employees],1,[],0,[Fewer],1
Manufacturing Companies With More Than 10 Employees (Top 10K),"[Companies, Employees]",2,[Manufacturing],1,[More],1
Companies With Fewer Than 50 Employees (Top 10K),"[Companies, Employees]",2,[],0,[Fewer],1
United States Manufacturing Companies (Top 10K),[],0,[],0,[],0
Companies With Less Than $10M in Revenue (Top 10K),[Companies],1,[],0,[Less],1
Manufacturing Companies With Fewer Than 1000 Employees (Top 10K),"[Companies, Employees]",2,[Manufacturing],1,[Fewer],1
Companies With More Than $10M in Revenue (Top 10K),[Companies],1,[],0,[More],1
United States Companies With More Than 50 Employees (Top 10K),[Employees],1,[],0,[More],1
Manufacturing Companies (Top 10K),"[Manufacturing, Companies]",2,[],0,[],0
Southern US Companies With More Than 10 Employees (Top 10K),"[Companies, Employees]",2,[],0,"[Southern, More]",2
East Coast Companies With More Than $1M in Revenue (Top 10K),[],0,[],0,[More],1
Companies With More Than 100 Employees (Top 10K),"[Companies, Employees]",2,[],0,[More],1
Southern US Companies With Less Than $1B in Revenue (Top 10K),"[Companies, 1B]",2,[],0,"[Southern, Less]",2
Southern US Companies With Less Than $500M in Revenue (Top 10K),[Companies],1,[],0,"[Southern, Less]",2
Private Southern US Companies (Top 10K),[],0,[],0,"[Private, Southern]",2
Southern US Companies (Top 10K),[],0,[],0,[Southern],1
