Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Manufacturing,Manufacturing,1,34,13,manufacturing,NOUN,NN,ROOT,Xxxxx,0.0
Dental,Dental,1,12,6,dental,ADJ,JJ,ROOT,Xxxxx,0.0
Real Estate,Real,2,21,4,real,ADJ,JJ,amod,Xxxx,0.0
Real Estate,Estate,2,21,6,estate,NOUN,NN,ROOT,Xxxxx,0.0
Industrial,Industrial,1,20,10,Industrial,PROPN,NNP,ROOT,Xxxxx,0.0
Health Care,Health,2,22,6,Health,PROPN,NNP,compound,Xxxxx,0.0
Health Care,Care,2,22,4,Care,PROPN,NNP,ROOT,Xxxx,0.0
Property Management,Property,2,17,8,Property,PROPN,NNP,compound,Xxxxx,0.0
Property Management,Management,2,17,10,Management,PROPN,NNP,ROOT,Xxxxx,0.0
Medical,Medical,1,17,7,medical,ADJ,JJ,ROOT,Xxxxx,0.0
Consulting,Consulting,1,16,10,consulting,NOUN,NN,ROOT,Xxxxx,0.0
Residential,Residential,1,13,11,residential,ADJ,JJ,ROOT,Xxxxx,0.0
Web Apps,Web,2,6,3,web,NOUN,NN,compound,Xxx,0.0
Web Apps,Apps,2,6,4,app,NOUN,NNS,ROOT,Xxxx,0.0
Commercial,Commercial,1,12,10,commercial,NOUN,NN,ROOT,Xxxxx,0.0
Machinery Manufacturing,Machinery,2,13,9,machinery,NOUN,NN,compound,Xxxxx,0.0
Machinery Manufacturing,Manufacturing,2,13,13,manufacturing,NOUN,NN,ROOT,Xxxxx,0.0
Product Design,Product,2,12,7,product,NOUN,NN,compound,Xxxxx,0.0
Product Design,Design,2,12,6,Design,PROPN,NNP,ROOT,Xxxxx,0.0
Construction,Construction,1,17,12,construction,NOUN,NN,ROOT,Xxxxx,0.0
Wellness,Wellness,1,12,8,wellness,NOUN,NN,ROOT,Xxxxx,0.0
Wholesale,Wholesale,1,12,9,Wholesale,PROPN,NNP,ROOT,Xxxxx,0.0
Therapeutics,Therapeutics,1,11,12,therapeutic,NOUN,NNS,ROOT,Xxxxx,0.0
Information Technology,Information,2,12,11,Information,PROPN,NNP,compound,Xxxxx,0.0
Information Technology,Technology,2,12,10,Technology,PROPN,NNP,ROOT,Xxxxx,0.0
Software,Software,1,11,8,software,NOUN,NN,ROOT,Xxxxx,0.0
Retail,Retail,1,10,6,retail,NOUN,NN,ROOT,Xxxxx,0.0
Financial Services,Financial,2,11,9,Financial,PROPN,NNP,compound,Xxxxx,0.0
Financial Services,Services,2,11,8,Services,PROPN,NNPS,ROOT,Xxxxx,0.0
Commercial Real Estate,Commercial,3,11,10,commercial,ADJ,JJ,amod,Xxxxx,0.0
