Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Manufacturing,Manufacturing,1,76,13,manufacturing,NOUN,NN,ROOT,Xxxxx,0.0
Health Care,Health,2,84,6,Health,PROPN,NNP,compound,Xxxxx,0.0
Health Care,Care,2,84,4,Care,PROPN,NNP,ROOT,Xxxx,0.0
Real Estate,Real,2,96,4,real,ADJ,JJ,amod,Xxxx,0.0
Real Estate,Estate,2,96,6,estate,NOUN,NN,ROOT,Xxxxx,0.0
Professional Services,Professional,2,16,12,Professional,PROPN,NNP,compound,Xxxxx,0.0
Professional Services,Services,2,16,8,Services,PROPN,NNPS,ROOT,Xxxxx,0.0
"Apps, Software",Apps,2,6,4,Apps,PROPN,NNP,ROOT,Xxxx,0.0
"Apps, Software",",",2,6,1,",",PUNCT,",",punct,",",0.0
"Apps, Software",Software,2,6,8,Software,PROPN,NNP,appos,Xxxxx,0.0
Other,Other,1,25,5,other,ADJ,JJ,ROOT,Xxxxx,0.0
Design,Design,1,12,6,design,NOUN,NN,ROOT,Xxxxx,0.0
Commerce and Shopping,Commerce,3,30,8,Commerce,PROPN,NNP,ROOT,Xxxxx,0.0
Commerce and Shopping,and,3,30,3,and,CCONJ,CC,cc,xxx,0.0
Commerce and Shopping,Shopping,3,30,8,Shopping,PROPN,NNP,conj,Xxxxx,0.0
Information Technology,Information,2,12,11,Information,PROPN,NNP,compound,Xxxxx,0.0
Information Technology,Technology,2,12,10,Technology,PROPN,NNP,ROOT,Xxxxx,0.0
Software,Software,1,11,8,software,NOUN,NN,ROOT,Xxxxx,0.0
Financial Services,Financial,2,30,9,Financial,PROPN,NNP,compound,Xxxxx,0.0
Financial Services,Services,2,30,8,Services,PROPN,NNPS,ROOT,Xxxxx,0.0
Food and Beverage,Food,3,8,4,food,NOUN,NN,ROOT,Xxxx,0.0
Food and Beverage,and,3,8,3,and,CCONJ,CC,cc,xxx,0.0
Food and Beverage,Beverage,3,8,8,Beverage,PROPN,NNP,conj,Xxxxx,0.0
"Consumer Electronics, Hardware",Consumer,3,7,8,Consumer,PROPN,NNP,compound,Xxxxx,0.0
"Consumer Electronics, Hardware",Electronics,3,7,11,Electronics,PROPN,NNP,ROOT,Xxxxx,0.0
"Consumer Electronics, Hardware",",",3,7,1,",",PUNCT,",",punct,",",0.0
"Consumer Electronics, Hardware",Hardware,3,7,8,hardware,NOUN,NN,appos,Xxxxx,0.0
Education,Education,1,10,9,education,NOUN,NN,ROOT,Xxxxx,0.0
"Financial Services, Real Estate",Financial,4,3,9,Financial,PROPN,NNP,compound,Xxxxx,0.0
"Financial Services, Real Estate",Services,4,3,8,Services,PROPN,NNPS,ROOT,Xxxxx,0.0
"Financial Services, Real Estate",",",4,3,1,",",PUNCT,",",punct,",",0.0
"Financial Services, Real Estate",Real,4,3,4,real,ADJ,JJ,compound,Xxxx,0.0
"Financial Services, Real Estate",Estate,4,3,6,Estate,PROPN,NNP,appos,Xxxxx,0.0
"Advertising, Sales and Marketing",Advertising,4,4,11,advertising,NOUN,NN,ROOT,Xxxxx,0.0
"Advertising, Sales and Marketing",",",4,4,1,",",PUNCT,",",punct,",",0.0
"Advertising, Sales and Marketing",Sales,4,4,5,sale,NOUN,NNS,conj,Xxxxx,0.0
"Advertising, Sales and Marketing",and,4,4,3,and,CCONJ,CC,cc,xxx,0.0
"Advertising, Sales and Marketing",Marketing,4,4,9,marketing,NOUN,NN,conj,Xxxxx,0.0
Science and Engineering,Science,3,4,7,Science,PROPN,NNP,ROOT,Xxxxx,0.0
Science and Engineering,and,3,4,3,and,CCONJ,CC,cc,xxx,0.0
Science and Engineering,Engineering,3,4,11,Engineering,PROPN,NNP,conj,Xxxxx,0.0
Sales and Marketing,Sales,3,6,5,sale,NOUN,NNS,ROOT,Xxxxx,0.0
Sales and Marketing,and,3,6,3,and,CCONJ,CC,cc,xxx,0.0
Sales and Marketing,Marketing,3,6,9,marketing,NOUN,NN,conj,Xxxxx,0.0
"Manufacturing, Science and Engineering",Manufacturing,4,1,13,manufacturing,NOUN,NN,ROOT,Xxxxx,0.0
"Manufacturing, Science and Engineering",",",4,1,1,",",PUNCT,",",punct,",",0.0
"Manufacturing, Science and Engineering",Science,4,1,7,Science,PROPN,NNP,conj,Xxxxx,0.0
"Manufacturing, Science and Engineering",and,4,1,3,and,CCONJ,CC,cc,xxx,0.0
"Manufacturing, Science and Engineering",Engineering,4,1,11,Engineering,PROPN,NNP,conj,Xxxxx,0.0
Transportation,Transportation,1,1,14,transportation,NOUN,NN,ROOT,Xxxxx,0.0
