Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
2022-09-15 10:13:00,2022,2,6,4,2022,NUM,CD,ROOT,dddd,0.0
2022-09-15 10:13:00,-,2,6,1,-,SYM,SYM,punct,-,0.0
2022-09-15 10:13:00,09,2,6,2,09,NUM,CD,prep,dd,0.0
2022-09-15 10:13:00,-,2,6,1,-,PUNCT,HYPH,punct,-,0.0
2022-09-15 10:13:00,15,2,6,2,15,NUM,CD,prep,dd,0.0
2022-09-15 10:13:00,10:13:00,2,6,8,10:13:00,NUM,CD,nummod,dd:dd:dd,0.0
2022-09-15 09:34:00,2022,2,3,4,2022,NUM,CD,ROOT,dddd,0.0
2022-09-15 09:34:00,-,2,3,1,-,SYM,SYM,punct,-,0.0
2022-09-15 09:34:00,09,2,3,2,09,NUM,CD,prep,dd,0.0
2022-09-15 09:34:00,-,2,3,1,-,PUNCT,HYPH,punct,-,0.0
2022-09-15 09:34:00,15,2,3,2,15,NUM,CD,prep,dd,0.0
2022-09-15 09:34:00,09:34:00,2,3,8,09:34:00,NUM,CD,npadvmod,dd:dd:dd,0.0
2022-09-15 10:21:00,2022,2,4,4,2022,NUM,CD,ROOT,dddd,0.0
2022-09-15 10:21:00,-,2,4,1,-,SYM,SYM,punct,-,0.0
2022-09-15 10:21:00,09,2,4,2,09,NUM,CD,prep,dd,0.0
2022-09-15 10:21:00,-,2,4,1,-,PUNCT,HYPH,punct,-,0.0
2022-09-15 10:21:00,15,2,4,2,15,NUM,CD,prep,dd,0.0
2022-09-15 10:21:00,10:21:00,2,4,8,10:21:00,NUM,CD,nummod,dd:dd:dd,0.0
2022-09-15 10:08:00,2022,2,6,4,2022,NUM,CD,ROOT,dddd,0.0
2022-09-15 10:08:00,-,2,6,1,-,SYM,SYM,punct,-,0.0
2022-09-15 10:08:00,09,2,6,2,09,NUM,CD,prep,dd,0.0
2022-09-15 10:08:00,-,2,6,1,-,PUNCT,HYPH,punct,-,0.0
2022-09-15 10:08:00,15,2,6,2,15,NUM,CD,prep,dd,0.0
