Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"East Coast, United States, North America",[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"Southern US, United States, North America",[],0,[],0,[Southern],1
"Southern US, United States, North America",[],0,[],0,[Southern],1
"Southern US, United States, North America",[],0,[],0,[Southern],1
"Southern US, United States, North America",[],0,[],0,[Southern],1
"United States, North America",[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"East Coast, United States, North America",[],0,[],0,[],0
Europe,[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"Great Lakes, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"Northeastern US, United States, North America",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"Midwestern US, United States, North America",[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"Southern US, United States, North America",[],0,[],0,[Southern],1
"Western US, United States, North America",[],0,[],0,[Western],1
"United States, North America",[],0,[],0,[],0
"Midwestern US, United States, North America",[],0,[],0,[],0
"Great Lakes, North America",[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"Great Lakes, North America",[],0,[],0,[],0
"Great Lakes, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"Western US, United States, North America",[],0,[],0,[Western],1
"West Coast, United States, North America",[],0,[],0,[],0
"Western US, United States, North America",[],0,[],0,[Western],1
"Western US, United States, North America",[],0,[],0,[Western],1
"Midwestern US, United States, North America",[],0,[],0,[],0
"California, United States, North America",[],0,[],0,[],0
"Midwestern US, United States, North America",[],0,[],0,[],0
"Midwestern US, United States, North America",[],0,[],0,[],0
"Midwestern US, United States, North America",[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"Midwestern US, United States, North America",[],0,[],0,[],0
"Great Lakes, North America",[],0,[],0,[],0
"Great Lakes, North America",[],0,[],0,[],0
"Massachusetts, United States, North America",[],0,[],0,[],0
"Great Lakes, North America",[],0,[],0,[],0
"Great Lakes, North America",[],0,[],0,[],0
"Western US, United States, North America",[],0,[],0,[Western],1
"Western US, United States, North America",[],0,[],0,[Western],1
"Greater New York Area, United States, North America",[],0,[],0,[],0
"New England, United States, North America",[],0,[],0,[],0
"Midwestern US, United States, North America",[],0,[],0,[],0
"Western US, United States, North America",[],0,[],0,[Western],1
"United Kingdom, Europe",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"Western US, United States, North America",[],0,[],0,[Western],1
"United States, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"Western US, United States, North America",[],0,[],0,[Western],1
"European Union (EU), Europe",[],0,[],0,[],0
"United States, North America",[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"United States, North America",[],0,[],0,[],0
"San Francisco Bay Area, California, United States",[],0,[],0,[],0
"Greater Boston Area, United States, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"Georgia, United States, North America",[],0,[],0,[],0
"Northeastern US, United States, North America",[],0,[],0,[],0
"Massachusetts, United States, North America",[],0,[],0,[],0
"New York, United States, North America",[],0,[],0,[],0
"Western US, United States, North America",[],0,[],0,[Western],1
Europe,[],0,[],0,[],0
"New England, United States, North America",[],0,[],0,[],0
"Silicon Valley, California, United States",[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"Northeastern US, United States, North America",[],0,[],0,[],0
Europe,[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"Northeastern US, United States, North America",[],0,[],0,[],0
"Northeastern US, United States, North America",[],0,[],0,[],0
"West Coast, United States, North America",[],0,[],0,[],0
"Midwestern US, United States, North America",[],0,[],0,[],0
"Greater Los Angeles Area, California, United States",[],0,[],0,[],0
Europe,[],0,[],0,[],0
"Greater Boston Area, United States, North America",[],0,[],0,[],0
Europe,[],0,[],0,[],0
"Great Lakes, North America",[],0,[],0,[],0
"Northeastern US, United States, North America",[],0,[],0,[],0
"Northeastern US, United States, North America",[],0,[],0,[],0
"West Coast, United States, North America",[],0,[],0,[],0
"West Coast, United States, North America",[],0,[],0,[],0
"Western US, United States, North America",[],0,[],0,[Western],1
"East Coast, United States, North America",[],0,[],0,[],0
"Western US, United States, North America",[],0,[],0,[Western],1
"Great Lakes, North America",[],0,[],0,[],0
Europe,[],0,[],0,[],0
"Northeastern US, United States, North America",[],0,[],0,[],0
"Northeastern US, United States, North America",[],0,[],0,[],0
"West Coast, United States, North America",[],0,[],0,[],0
"Southern US, United States, North America",[],0,[],0,[Southern],1
"United States, North America",[],0,[],0,[],0
"West Coast, United States, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
"Midwestern US, United States, North America",[],0,[],0,[],0
"Great Lakes, North America",[],0,[],0,[],0
"West Coast, United States, North America",[],0,[],0,[],0
"Northeastern US, United States, North America",[],0,[],0,[],0
"West Coast, United States, North America",[],0,[],0,[],0
"Boston, Massachusetts, United States",[],0,[],0,[],0
"Canada, North America",[],0,[],0,[],0
"Midwestern US, United States, North America",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Great Lakes, North America",[],0,[],0,[],0
"Canada, North America",[],0,[],0,[],0
Europe,[],0,[],0,[],0
"West Coast, United States, North America",[],0,[],0,[],0
"California, United States, North America",[],0,[],0,[],0
"East Coast, United States, North America",[],0,[],0,[],0
