Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
19%,19,1,16,2,19,NUM,CD,nummod,dd,0.0
19%,%,1,16,1,%,NOUN,NN,ROOT,%,0.0
18%,18,1,21,2,18,NUM,CD,nummod,dd,0.0
18%,%,1,21,1,%,NOUN,NN,ROOT,%,0.0
11%,11,1,48,2,11,NUM,CD,nummod,dd,0.0
11%,%,1,48,1,%,NOUN,NN,ROOT,%,0.0
14%,14,1,40,2,14,NUM,CD,nummod,dd,0.0
14%,%,1,40,1,%,NOUN,NN,ROOT,%,0.0
13%,13,1,58,2,13,NUM,CD,nummod,dd,0.0
13%,%,1,58,1,%,NOUN,NN,ROOT,%,0.0
12%,12,1,36,2,12,NUM,CD,nummod,dd,0.0
12%,%,1,36,1,%,NOUN,NN,ROOT,%,0.0
9%,9,1,48,1,9,NUM,CD,nummod,d,0.0
9%,%,1,48,1,%,NOUN,NN,ROOT,%,0.0
16%,16,1,17,2,16,NUM,CD,nummod,dd,0.0
16%,%,1,17,1,%,NOUN,NN,ROOT,%,0.0
17%,17,1,20,2,17,NUM,CD,nummod,dd,0.0
17%,%,1,20,1,%,NOUN,NN,ROOT,%,0.0
15%,15,1,18,2,15,NUM,CD,nummod,dd,0.0
15%,%,1,18,1,%,NOUN,NN,ROOT,%,0.0
8%,8,1,41,1,8,NUM,CD,nummod,d,0.0
8%,%,1,41,1,%,NOUN,NN,ROOT,%,0.0
10%,10,1,38,2,10,NUM,CD,nummod,dd,0.0
10%,%,1,38,1,%,NOUN,NN,ROOT,%,0.0
6%,6,1,55,1,6,NUM,CD,nummod,d,0.0
6%,%,1,55,1,%,NOUN,NN,ROOT,%,0.0
23%,23,1,13,2,23,NUM,CD,nummod,dd,0.0
23%,%,1,13,1,%,NOUN,NN,ROOT,%,0.0
27%,27,1,4,2,27,NUM,CD,nummod,dd,0.0
27%,%,1,4,1,%,NOUN,NN,ROOT,%,0.0
22%,22,1,6,2,22,NUM,CD,nummod,dd,0.0
22%,%,1,6,1,%,NOUN,NN,ROOT,%,0.0
20%,20,1,5,2,20,NUM,CD,nummod,dd,0.0
20%,%,1,5,1,%,NOUN,NN,ROOT,%,0.0
29%,29,1,2,2,29,NUM,CD,nummod,dd,0.0
29%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
1%,1,1,156,1,1,NUM,CD,nummod,d,0.0
1%,%,1,156,1,%,NOUN,NN,ROOT,%,0.0
24%,24,1,3,2,24,NUM,CD,nummod,dd,0.0
24%,%,1,3,1,%,NOUN,NN,ROOT,%,0.0
5%,5,1,49,1,5,NUM,CD,nummod,d,0.0
5%,%,1,49,1,%,NOUN,NN,ROOT,%,0.0
3%,3,1,67,1,3,NUM,CD,nummod,d,0.0
3%,%,1,67,1,%,NOUN,NN,ROOT,%,0.0
7%,7,1,42,1,7,NUM,CD,nummod,d,0.0
7%,%,1,42,1,%,NOUN,NN,ROOT,%,0.0
4%,4,1,42,1,4,NUM,CD,nummod,d,0.0
4%,%,1,42,1,%,NOUN,NN,ROOT,%,0.0
2%,2,1,96,1,2,NUM,CD,nummod,d,0.0
2%,%,1,96,1,%,NOUN,NN,ROOT,%,0.0
0%,0,1,40,1,0,NUM,CD,nummod,d,0.0
0%,%,1,40,1,%,NOUN,NN,ROOT,%,0.0
26%,26,1,6,2,26,NUM,CD,nummod,dd,0.0
26%,%,1,6,1,%,NOUN,NN,ROOT,%,0.0
21%,21,1,3,2,21,NUM,CD,nummod,dd,0.0
21%,%,1,3,1,%,NOUN,NN,ROOT,%,0.0
30%,30,1,1,2,30,NUM,CD,nummod,dd,0.0
30%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
25%,25,1,2,2,25,NUM,CD,nummod,dd,0.0
25%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
28%,28,1,1,2,28,NUM,CD,nummod,dd,0.0
28%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
32%,32,1,1,2,32,NUM,CD,nummod,dd,0.0
32%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
