Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
16%,16,1,5,2,16,NUM,CD,nummod,dd,0.0
16%,%,1,5,1,%,NOUN,NN,ROOT,%,0.0
21%,21,1,2,2,21,NUM,CD,nummod,dd,0.0
21%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
15%,15,1,3,2,15,NUM,CD,nummod,dd,0.0
15%,%,1,3,1,%,NOUN,NN,ROOT,%,0.0
14%,14,1,5,2,14,NUM,CD,nummod,dd,0.0
14%,%,1,5,1,%,NOUN,NN,ROOT,%,0.0
13%,13,1,5,2,13,NUM,CD,nummod,dd,0.0
13%,%,1,5,1,%,NOUN,NN,ROOT,%,0.0
10%,10,1,20,2,10,NUM,CD,nummod,dd,0.0
10%,%,1,20,1,%,NOUN,NN,ROOT,%,0.0
9%,9,1,25,1,9,NUM,CD,nummod,d,0.0
9%,%,1,25,1,%,NOUN,NN,ROOT,%,0.0
17%,17,1,3,2,17,NUM,CD,nummod,dd,0.0
17%,%,1,3,1,%,NOUN,NN,ROOT,%,0.0
11%,11,1,12,2,11,NUM,CD,nummod,dd,0.0
11%,%,1,12,1,%,NOUN,NN,ROOT,%,0.0
8%,8,1,36,1,8,NUM,CD,nummod,d,0.0
8%,%,1,36,1,%,NOUN,NN,ROOT,%,0.0
7%,7,1,52,1,7,NUM,CD,nummod,d,0.0
7%,%,1,52,1,%,NOUN,NN,ROOT,%,0.0
5%,5,1,81,1,5,NUM,CD,nummod,d,0.0
5%,%,1,81,1,%,NOUN,NN,ROOT,%,0.0
4%,4,1,81,1,4,NUM,CD,nummod,d,0.0
4%,%,1,81,1,%,NOUN,NN,ROOT,%,0.0
20%,20,1,3,2,20,NUM,CD,nummod,dd,0.0
20%,%,1,3,1,%,NOUN,NN,ROOT,%,0.0
6%,6,1,54,1,6,NUM,CD,nummod,d,0.0
6%,%,1,54,1,%,NOUN,NN,ROOT,%,0.0
28%,28,1,2,2,28,NUM,CD,nummod,dd,0.0
28%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
18%,18,1,2,2,18,NUM,CD,nummod,dd,0.0
18%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
23%,23,1,2,2,23,NUM,CD,nummod,dd,0.0
23%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
3%,3,1,103,1,3,NUM,CD,nummod,d,0.0
3%,%,1,103,1,%,NOUN,NN,ROOT,%,0.0
22%,22,1,1,2,22,NUM,CD,nummod,dd,0.0
22%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
2%,2,1,168,1,2,NUM,CD,nummod,d,0.0
2%,%,1,168,1,%,NOUN,NN,ROOT,%,0.0
0%,0,1,70,1,0,NUM,CD,nummod,d,0.0
0%,%,1,70,1,%,NOUN,NN,ROOT,%,0.0
1%,1,1,202,1,1,NUM,CD,nummod,d,0.0
1%,%,1,202,1,%,NOUN,NN,ROOT,%,0.0
12%,12,1,8,2,12,NUM,CD,nummod,dd,0.0
12%,%,1,8,1,%,NOUN,NN,ROOT,%,0.0
19%,19,1,2,2,19,NUM,CD,nummod,dd,0.0
19%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
36%,36,1,1,2,36,NUM,CD,nummod,dd,0.0
36%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
34%,34,1,1,2,34,NUM,CD,nummod,dd,0.0
34%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
35%,35,1,2,2,35,NUM,CD,nummod,dd,0.0
35%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
24%,24,1,2,2,24,NUM,CD,nummod,dd,0.0
24%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
25%,25,1,1,2,25,NUM,CD,nummod,dd,0.0
25%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
26%,26,1,1,2,26,NUM,CD,nummod,dd,0.0
26%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
