Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Investment Bank","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Investment Bank",0,96,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Corporate Venture Capital",Venture Capital,95,110,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Accelerator,&nbsp;Micro VC","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Accelerator,&nbsp;Micro VC","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital",Venture Capital,91,106,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Incubator","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital",Venture Capital,91,106,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Investment Bank","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Venture Debt","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Venture Debt","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Incubator","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital","Venture Capital,&nbsp;Private Equity",0,36,ORG,
"Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Corporate Venture Capital",Venture Capital,91,106,ORG,
