Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
08-Sep-21,08,1,1,2,08,NUM,CD,ROOT,dd,0.0
08-Sep-21,-,1,1,1,-,SYM,SYM,punct,-,0.0
08-Sep-21,Sep-21,1,1,6,sep-21,NOUN,NN,advmod,Xxx-dd,0.0
19-Jan-21,19,1,1,2,19,NUM,CD,nummod,dd,0.0
19-Jan-21,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
19-Jan-21,Jan-21,1,1,6,jan-21,NOUN,NN,ROOT,Xxx-dd,0.0
04-Oct-19,04,1,1,2,04,NUM,CD,nummod,dd,0.0
04-Oct-19,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
04-Oct-19,Oct-19,1,1,6,oct-19,NOUN,NN,ROOT,Xxx-dd,0.0
22-Jan-19,22,1,1,2,22,NUM,CD,nummod,dd,0.0
22-Jan-19,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
22-Jan-19,Jan-19,1,1,6,jan-19,NOUN,NN,ROOT,Xxx-dd,0.0
30-Jul-21,30,1,1,2,30,NUM,CD,nummod,dd,0.0
30-Jul-21,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
30-Jul-21,Jul-21,1,1,6,jul-21,NOUN,NN,ROOT,Xxx-dd,0.0
01-Jan-95,01,1,1,2,01,NUM,CD,ROOT,dd,0.0
01-Jan-95,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
01-Jan-95,Jan-95,1,1,6,jan-95,NOUN,NN,prep,Xxx-dd,0.0
30-Sep-22,30,1,2,2,30,NUM,CD,nummod,dd,0.0
30-Sep-22,-,1,2,1,-,PUNCT,HYPH,punct,-,0.0
30-Sep-22,Sep-22,1,2,6,sep-22,NOUN,NN,ROOT,Xxx-dd,0.0
28-Mar-20,28,1,1,2,28,NUM,CD,ROOT,dd,0.0
28-Mar-20,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
28-Mar-20,Mar-20,1,1,6,mar-20,NOUN,NN,advmod,Xxx-dd,0.0
30-Jun-21,30,1,1,2,30,NUM,CD,nummod,dd,0.0
30-Jun-21,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
30-Jun-21,Jun-21,1,1,6,jun-21,NOUN,NN,ROOT,Xxx-dd,0.0
31-Aug-22,31,1,1,2,31,NUM,CD,nummod,dd,0.0
31-Aug-22,-,1,1,1,-,SYM,SYM,punct,-,0.0
31-Aug-22,Aug-22,1,1,6,aug-22,NOUN,NN,ROOT,Xxx-dd,0.0
01-Mar-19,01,1,1,2,01,NUM,CD,nummod,dd,0.0
01-Mar-19,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
01-Mar-19,Mar-19,1,1,6,mar-19,NOUN,NN,ROOT,Xxx-dd,0.0
15-Feb-17,15,1,1,2,15,NUM,CD,nummod,dd,0.0
15-Feb-17,-,1,1,1,-,SYM,SYM,punct,-,0.0
