Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
55.17%,55.17,1,1,5,55.17,NUM,CD,nummod,dd.dd,0.0
55.17%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
66.48%,66.48,1,1,5,66.48,NUM,CD,nummod,dd.dd,0.0
66.48%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
60.15%,60.15,1,1,5,60.15,NUM,CD,nummod,dd.dd,0.0
60.15%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
83.78%,83.78,1,1,5,83.78,NUM,CD,nummod,dd.dd,0.0
83.78%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
69.17%,69.17,1,2,5,69.17,NUM,CD,nummod,dd.dd,0.0
69.17%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
52.17%,52.17,1,1,5,52.17,NUM,CD,nummod,dd.dd,0.0
52.17%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
51.42%,51.42,1,1,5,51.42,NUM,CD,nummod,dd.dd,0.0
51.42%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
50.27%,50.27,1,1,5,50.27,NUM,CD,nummod,dd.dd,0.0
50.27%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
63.22%,63.22,1,1,5,63.22,NUM,CD,nummod,dd.dd,0.0
63.22%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
65.76%,65.76,1,2,5,65.76,NUM,CD,nummod,dd.dd,0.0
65.76%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
33.49%,33.49,1,1,5,33.49,NUM,CD,nummod,dd.dd,0.0
33.49%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
76.20%,76.20,1,1,5,76.20,NUM,CD,nummod,dd.dd,0.0
76.20%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
74.62%,74.62,1,1,5,74.62,NUM,CD,nummod,dd.dd,0.0
74.62%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
65.16%,65.16,1,1,5,65.16,NUM,CD,nummod,dd.dd,0.0
65.16%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
72.26%,72.26,1,1,5,72.26,NUM,CD,nummod,dd.dd,0.0
72.26%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
75.52%,75.52,1,1,5,75.52,NUM,CD,nummod,dd.dd,0.0
75.52%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
71.45%,71.45,1,1,5,71.45,NUM,CD,nummod,dd.dd,0.0
71.45%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
77.13%,77.13,1,1,5,77.13,NUM,CD,nummod,dd.dd,0.0
77.13%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
100%,100,1,122,3,100,NUM,CD,nummod,ddd,0.0
100%,%,1,122,1,%,NOUN,NN,ROOT,%,0.0
65.49%,65.49,1,1,5,65.49,NUM,CD,nummod,dd.dd,0.0
65.49%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
43.60%,43.60,1,1,5,43.60,NUM,CD,nummod,dd.dd,0.0
43.60%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
50%,50,1,14,2,50,NUM,CD,nummod,dd,0.0
50%,%,1,14,1,%,NOUN,NN,ROOT,%,0.0
41.11%,41.11,1,1,5,41.11,NUM,CD,nummod,dd.dd,0.0
41.11%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
42.79%,42.79,1,1,5,42.79,NUM,CD,nummod,dd.dd,0.0
42.79%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
54.60%,54.60,1,2,5,54.60,NUM,CD,nummod,dd.dd,0.0
54.60%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
69.67%,69.67,1,1,5,69.67,NUM,CD,nummod,dd.dd,0.0
69.67%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
60.12%,60.12,1,1,5,60.12,NUM,CD,nummod,dd.dd,0.0
60.12%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
57.19%,57.19,1,1,5,57.19,NUM,CD,nummod,dd.dd,0.0
57.19%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
43.77%,43.77,1,1,5,43.77,NUM,CD,nummod,dd.dd,0.0
43.77%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
54.28%,54.28,1,1,5,54.28,NUM,CD,nummod,dd.dd,0.0
54.28%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
15.22%,15.22,1,1,5,15.22,NUM,CD,nummod,dd.dd,0.0
15.22%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
65.95%,65.95,1,1,5,65.95,NUM,CD,nummod,dd.dd,0.0
65.95%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
79.16%,79.16,1,1,5,79.16,NUM,CD,nummod,dd.dd,0.0
79.16%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
33.61%,33.61,1,1,5,33.61,NUM,CD,nummod,dd.dd,0.0
33.61%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
60.38%,60.38,1,1,5,60.38,NUM,CD,nummod,dd.dd,0.0
60.38%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
63.38%,63.38,1,1,5,63.38,NUM,CD,nummod,dd.dd,0.0
63.38%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
30.94%,30.94,1,1,5,30.94,NUM,CD,nummod,dd.dd,0.0
30.94%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
78.23%,78.23,1,1,5,78.23,NUM,CD,nummod,dd.dd,0.0
78.23%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
43.43%,43.43,1,2,5,43.43,NUM,CD,nummod,dd.dd,0.0
43.43%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
31.87%,31.87,1,1,5,31.87,NUM,CD,nummod,dd.dd,0.0
31.87%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
10.55%,10.55,1,1,5,10.55,NUM,CD,nummod,dd.dd,0.0
10.55%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
52.85%,52.85,1,1,5,52.85,NUM,CD,nummod,dd.dd,0.0
52.85%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
59.97%,59.97,1,1,5,59.97,NUM,CD,nummod,dd.dd,0.0
