Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
3.72%,3.72,1,1,4,3.72,NUM,CD,nummod,d.dd,0.0
3.72%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
11.23%,11.23,1,1,5,11.23,NUM,CD,nummod,dd.dd,0.0
11.23%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
2.42%,2.42,1,2,4,2.42,NUM,CD,nummod,d.dd,0.0
2.42%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
8.45%,8.45,1,1,4,8.45,NUM,CD,nummod,d.dd,0.0
8.45%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-10.23%,-10.23,1,1,6,-10.23,PUNCT,NFP,ROOT,-dd.dd,0.0
-10.23%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-19.32%,-19.32,1,1,6,-19.32,NOUN,NNS,ROOT,-dd.dd,0.0
-19.32%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-21%,-21,1,2,3,-21,SPACE,_SP,ROOT,-dd,0.0
-21%,%,1,2,1,%,NOUN,NN,intj,%,0.0
-22.04%,-22.04,1,1,6,-22.04,VERB,VBP,ROOT,-dd.dd,0.0
-22.04%,%,1,1,1,%,INTJ,UH,intj,%,0.0
0.57%,0.57,1,1,4,0.57,NUM,CD,nummod,d.dd,0.0
0.57%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
4.76%,4.76,1,1,4,4.76,NUM,CD,nummod,d.dd,0.0
4.76%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-33.23%,-33.23,1,1,6,-33.23,VERB,VBP,ROOT,-dd.dd,0.0
-33.23%,%,1,1,1,%,NOUN,NN,intj,%,0.0
9.86%,9.86,1,1,4,9.86,NUM,CD,nummod,d.dd,0.0
9.86%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
12.36%,12.36,1,1,5,12.36,NUM,CD,nummod,dd.dd,0.0
12.36%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
51.96%,51.96,1,1,5,51.96,NUM,CD,nummod,dd.dd,0.0
51.96%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
0.68%,0.68,1,1,4,0.68,NUM,CD,nummod,d.dd,0.0
0.68%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
137.34%,137.34,1,1,6,137.34,NUM,CD,nummod,ddd.dd,0.0
137.34%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
14.60%,14.60,1,1,5,14.60,NUM,CD,nummod,dd.dd,0.0
14.60%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-12.22%,-12.22,1,1,6,-12.22,PUNCT,.,ROOT,-dd.dd,0.0
-12.22%,%,1,1,1,%,INTJ,UH,intj,%,0.0
0%,0,1,44,1,0,NUM,CD,nummod,d,0.0
