Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
info@ycombinator.com,info@ycombinator.com,1,1,20,info@ycombinator.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
EASME-SME-HELPDESK@ec.europa.eu,EASME-SME-HELPDESK@ec.europa.eu,1,1,31,EASME-SME-HELPDESK@ec.europa.eu,NOUN,NNS,ROOT,XXXX-XXX-XXXX@xx.xxxx.xx,0.0
sbir@nsf.gov,sbir@nsf.gov,1,1,12,sbir@nsf.gov,ADJ,JJ,ROOT,xxxx@xxx.xxx,0.0
info@techstars.com,info@techstars.com,1,5,18,info@techstars.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
contact@masschallenge.org,contact@masschallenge.org,1,1,25,contact@masschallenge.org,VERB,VB,ROOT,xxxx@xxxx.xxx,0.0
info@500startups.com,info@500startups.com,1,1,20,info@500startups.com,X,ADD,ROOT,xxxx@dddxxxx.xxx,0.0
hello@sosv.com,hello@sosv.com,1,2,14,hello@sosv.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
kbarrett@nea.com,kbarrett@nea.com,1,1,16,kbarrett@nea.com,VERB,VB,ROOT,xxxx@xxx.xxx,0.0
acesso@bossainvest.com,acesso@bossainvest.com,1,1,22,acesso@bossainvest.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
Intel.Capital@intel.com,Intel.Capital@intel.com,1,1,23,Intel.Capital@intel.com,PROPN,NNP,ROOT,Xxxxx.Xxxxx@xxxx.xxx,0.0
investment@plugandplaytechcenter.com,investment@plugandplaytechcenter.com,1,1,36,investment@plugandplaytechcenter.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
cooperation@idgcapital.com,cooperation@idgcapital.com,1,1,26,cooperation@idgcapital.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
plans@kpcb.com,plans@kpcb.com,1,1,14,plans@kpcb.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
businessplans@a16z.com,businessplans@a16z.com,1,1,22,businessplans@a16z.com,X,FW,ROOT,xxxx@xddx.xxx,0.0
info@venturekick.ch,info@venturekick.ch,1,1,19,info@venturekick.ch,PROPN,NNP,ROOT,xxxx@xxxx.xx,0.0
businessplans@bvp.com,businessplans@bvp.com,1,1,21,businessplans@bvp.com,X,XX,ROOT,xxxx@xxx.xxx,0.0
info@avgfunds.com,info@avgfunds.com,1,1,17,info@avgfunds.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
Admin@rightsidecapital.com,Admin@rightsidecapital.com,1,1,26,admin@rightsidecapital.com,X,ADD,ROOT,Xxxxx@xxxx.xxx,0.0
wayra@wayra.org,wayra@wayra.org,1,1,15,wayra@wayra.org,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
info@lsvp.com,info@lsvp.com,1,1,13,info@lsvp.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@advantagecap.com,info@advantagecap.com,1,1,21,info@advantagecap.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
gcinfo@generalcatalyst.com,gcinfo@generalcatalyst.com,1,1,26,gcinfo@generalcatalyst.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
press@indexventures.com,press@indexventures.com,1,1,23,press@indexventures.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
kv@khoslaventures.com,kv@khoslaventures.com,1,1,21,kv@khoslaventures.com,X,ADD,ROOT,xx@xxxx.xxx,0.0
info@nyserda.ny.gov,info@nyserda.ny.gov,1,1,19,info@nyserda.ny.gov,PUNCT,``,ROOT,xxxx@xxxx.xx.xxx,0.0
press@insightpartners.com,press@insightpartners.com,1,1,25,press@insightpartners.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
gs-investor-relations@gs.com,gs-investor-relations@gs.com,1,1,28,gs-investor-relations@gs.com,PROPN,NNP,ROOT,xx-xxxx-xxxx@xx.xxx,0.0
contact@startupchile.org,contact@startupchile.org,1,1,24,contact@startupchile.org,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
F3A@bpifrance.fr,F3A@bpifrance.fr,1,1,16,f3a@bpifrance.fr,ADJ,JJ,ROOT,XdX@xxxx.xx,0.0
press@thresholdvc.com,press@thresholdvc.com,1,1,21,press@thresholdvc.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
contact@globalfounderscapital.com,contact@globalfounderscapital.com,1,1,33,contact@globalfounderscapital.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@firstround.com,info@firstround.com,1,1,19,info@firstround.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
businessplan@nvp.com,businessplan@nvp.com,1,1,20,businessplan@nvp.com,X,ADD,ROOT,xxxx@xxx.xxx,0.0
press@greylock.com,press@greylock.com,1,1,18,press@greylock.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
clientservice@svb.com,clientservice@svb.com,1,1,21,clientservice@svb.com,VERB,VB,ROOT,xxxx@xxx.xxx,0.0
contactus@qimingvc.com,contactus@qimingvc.com,1,1,22,contactus@qimingvc.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
publicrelations@venrock.com,publicrelations@venrock.com,1,1,27,publicrelations@venrock.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
media@zhenfund.com,media@zhenfund.com,1,1,18,media@zhenfund.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@htgf.de,info@htgf.de,1,1,12,info@htgf.de,ADJ,JJ,ROOT,xxxx@xxxx.xx,0.0
info@hiventures.hu,info@hiventures.hu,1,1,18,info@hiventures.hu,PROPN,NNP,ROOT,xxxx@xxxx.xx,0.0
info@creativedestructionlab.com,info@creativedestructionlab.com,1,1,31,info@creativedestructionlab.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@greycroft.com,info@greycroft.com,1,1,18,info@greycroft.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
lhahn@canaan.com,lhahn@canaan.com,1,1,16,lhahn@canaan.com,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
investors@menlovc.com,investors@menlovc.com,1,1,21,investors@menlovc.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
admin@sandhillangels.com,admin@sandhillangels.com,1,1,24,admin@sandhillangels.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
gc@tencent.com,gc@tencent.com,1,1,14,gc@tencent.com,X,ADD,ROOT,xx@xxxx.xxx,0.0
info@crowdcube.com,info@crowdcube.com,1,1,18,info@crowdcube.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@mainetechnology.org,info@mainetechnology.org,1,1,24,info@mainetechnology.org,VERB,VB,ROOT,xxxx@xxxx.xxx,0.0
rannis@rannis.is,rannis@rannis.is,1,1,16,rannis@rannis.is,X,FW,ROOT,xxxx@xxxx.xx,0.0
equitydept@enterprise-ireland.com,equitydept@enterprise-ireland.com,1,1,33,equitydept@enterprise-ireland.com,PROPN,NNP,ROOT,xxxx@xxxx-xxxx.xxx,0.0
info@foundationcapital.com,info@foundationcapital.com,1,1,26,info@foundationcapital.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@matrixpartners.com.cn,info@matrixpartners.com.cn,1,1,26,info@matrixpartners.com.cn,PROPN,NNP,ROOT,xxxx@xxxx.xxx.xx,0.0
partnership@polarispartners.com,partnership@polarispartners.com,1,1,31,partnership@polarispartners.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
careers@crv.com,careers@crv.com,1,1,15,careers@crv.com,VERB,VB,ROOT,xxxx@xxx.xxx,0.0
press@trueventures.com,press@trueventures.com,1,1,22,press@trueventures.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@mayfield.com,info@mayfield.com,1,1,17,info@mayfield.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
NIHinfo@od.nih.gov,NIHinfo@od.nih.gov,1,1,18,nihinfo@od.nih.gov,NOUN,NN,ROOT,XXXxxxx@xx.xxx.xxx,0.0
businessplan@dcm.com,businessplan@dcm.com,1,1,20,businessplan@dcm.com,SPACE,_SP,ROOT,xxxx@xxx.xxx,0.0
contact@lererhippeau.com,contact@lererhippeau.com,1,1,24,contact@lererhippeau.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
startindia@sequoiacap.com,startindia@sequoiacap.com,1,1,25,startindia@sequoiacap.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
sf@brandcapital.co.in,sf@brandcapital.co.in,1,1,21,sf@brandcapital.co.in,PROPN,NNP,ROOT,xx@xxxx.xx.xx,0.0
info@rre.com,info@rre.com,1,1,12,info@rre.com,X,XX,ROOT,xxxx@xxx.xxx,0.0
bcv@baincapitalventures.com,bcv@baincapitalventures.com,1,1,27,bcv@baincapitalventures.com,NOUN,NN,ROOT,xxx@xxxx.xxx,0.0
members@techcoastangels.com,members@techcoastangels.com,1,1,27,members@techcoastangels.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
hello@boxgroup.com,hello@boxgroup.com,1,1,18,hello@boxgroup.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
lifesciences@atlasventure.com,lifesciences@atlasventure.com,1,1,29,lifesciences@atlasventure.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
support@innovateuk.ukri.org,support@innovateuk.ukri.org,1,1,27,support@innovateuk.ukri.org,NUM,CD,ROOT,xxxx@xxxx.xxxx.xxx,0.0
info@orbimed.com,info@orbimed.com,1,1,16,info@orbimed.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
admissions@alchemistaccelerator.com,admissions@alchemistaccelerator.com,1,1,35,admissions@alchemistaccelerator.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@innovationworks.org,info@innovationworks.org,1,1,24,info@innovationworks.org,X,LS,ROOT,xxxx@xxxx.xxx,0.0
contact@usvp.com,contact@usvp.com,1,1,16,contact@usvp.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@startupbootcamp.org,info@startupbootcamp.org,1,1,24,info@startupbootcamp.org,X,LS,ROOT,xxxx@xxxx.xxx,0.0
info@east.vc,info@east.vc,1,1,12,info@east.vc,PROPN,NNP,ROOT,xxxx@xxxx.xx,0.0
contactus@sparkcapital.com,contactus@sparkcapital.com,1,1,26,contactus@sparkcapital.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
gBETA@gener8tor.com,gBETA@gener8tor.com,1,1,19,gbeta@gener8tor.com,NOUN,NN,ROOT,xXXXX@xxxxdxxx.xxx,0.0
