Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
Y Combinator is a startup accelerator that invests in a wide range of startups twice a year.,Y Combinator,0,12,PERSON,
"EASME is the European Union executive agency for SMEs in charge of Enterprise Europe Network, COSME, and other programs.",the European Union,9,27,ORG,
"EASME is the European Union executive agency for SMEs in charge of Enterprise Europe Network, COSME, and other programs.",COSME,94,99,ORG,
America’s Seed Fund at the National Science Foundation awards nearly $200 million annually to startups and small businesses.,the National Science Foundation,23,54,ORG,
America’s Seed Fund at the National Science Foundation awards nearly $200 million annually to startups and small businesses.,nearly $200 million,62,81,MONEY,
America’s Seed Fund at the National Science Foundation awards nearly $200 million annually to startups and small businesses.,annually,82,90,DATE,
Techstars is a global platform that provides investment and innovation.,Techstars,0,9,ORG,
"MassChallenge is a global non-profit startup accelerator and competition with a focus on high-impact, early-stage entrepreneurs.",MassChallenge,0,13,ORG,
"500 Startups is a global venture capital firm with a network of startup programs for founders, mentors, and investors.",500,0,3,CARDINAL,
"500 Startups is a global venture capital firm with a network of startup programs for founders, mentors, and investors.",Startups,4,12,ORG,
"SOSV is a multi-stage VC firm with $1.3B AUM focused on human and planetary health and operating HAX, IndieBio, Orbit Startups and dlab.",SOSV,0,4,PRODUCT,
"SOSV is a multi-stage VC firm with $1.3B AUM focused on human and planetary health and operating HAX, IndieBio, Orbit Startups and dlab.",VC,22,24,PERSON,
"SOSV is a multi-stage VC firm with $1.3B AUM focused on human and planetary health and operating HAX, IndieBio, Orbit Startups and dlab.",HAX,97,100,ORG,
"SOSV is a multi-stage VC firm with $1.3B AUM focused on human and planetary health and operating HAX, IndieBio, Orbit Startups and dlab.",IndieBio,102,110,ORG,
"SOSV is a multi-stage VC firm with $1.3B AUM focused on human and planetary health and operating HAX, IndieBio, Orbit Startups and dlab.",Orbit Startups,112,126,ORG,
New Enterprise Associates is a global venture capital firm investing in technology and healthcare.,New Enterprise Associates,0,25,ORG,
New Enterprise Associates is a global venture capital firm investing in technology and healthcare.,healthcare,87,97,ORG,
Accel is an early and growth-stage venture capital firm that helps a global community of entrepreneurs.,Accel,0,5,ORG,
"Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.",Sequoia Capital,0,15,ORG,
"Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.",VC,21,23,PERSON,
"Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.",healthcare,92,102,ORG,
Bossa nova investimentos is a brazilian Micro-VC focused on pre-seed stage technology companies.,Micro-VC,40,48,PERSON,
"Intel Capital invests in innovative startups targeting cloud and AI infrastructure, cybersecurity, and other disruptive technologies.",Intel Capital,0,13,ORG,
"Intel Capital invests in innovative startups targeting cloud and AI infrastructure, cybersecurity, and other disruptive technologies.",AI,65,67,ORG,
Plug and Play is an innovation platform bringing together startups and large corporations.,Play,9,13,PERSON,
IDG Capital is an investment firm that funds early- to growth-stage companies in the technology sector.,IDG Capital,0,11,ORG,
"Kleiner Perkins is a venture capital firm that specializes in investing in early-stage, incubation, and growth companies.",Kleiner Perkins,0,15,PERSON,
"SV Angel is an angel firm that helps startups with business development, financing, M&amp;A, and other strategic advice.",SV Angel,0,8,PERSON,
Andreessen Horowitz is a stage-agnostic venture capital firm with assets under management across multiple funds.,Andreessen Horowitz,0,19,PERSON,
"Venture Kick is a private, philanthropic initiative that provides pre-seed funding to entrepreneurs from Swiss universities.",Venture Kick,0,12,PERSON,
"Venture Kick is a private, philanthropic initiative that provides pre-seed funding to entrepreneurs from Swiss universities.",Swiss,105,110,NORP,
"Bessemer Venture Partners is a venture capital firm that invests in enterprise, consumer, and healthcare early-to-late stage startups.",Bessemer Venture Partners,0,25,ORG,
Alumni Ventures Group provides diversified venture portfolios to individual investors who previously haven't had access to VC.,Alumni Ventures Group,0,21,ORG,
Alumni Ventures Group provides diversified venture portfolios to individual investors who previously haven't had access to VC.,VC,123,125,PERSON,
Right Side Capital Management is a technology startup investment firm focused exclusively on the pre-seed stage.,Right Side Capital Management,0,29,ORG,
"Lightspeed Venture Partners is a venture capital firm that engages in consumer, enterprise, technology, and cleantech markets.",Lightspeed Venture Partners,0,27,ORG,
Advantage Capital has invested over $3.8 billion in more than 800 portfolio companies and projects nationwide since 1992.,Advantage Capital,0,17,ORG,
Advantage Capital has invested over $3.8 billion in more than 800 portfolio companies and projects nationwide since 1992.,$3.8 billion,36,48,MONEY,
Advantage Capital has invested over $3.8 billion in more than 800 portfolio companies and projects nationwide since 1992.,more than 800,52,65,CARDINAL,
Advantage Capital has invested over $3.8 billion in more than 800 portfolio companies and projects nationwide since 1992.,1992,116,120,DATE,
General Catalyst is a venture capital firm that provides early-stage and growth equity investments.,Catalyst,8,16,PERSON,
"Khosla Ventures is a venture capital firm that focuses on environmentally friendly tech, internet, computing, mobile, and silicon tech.",Khosla Ventures,0,15,PERSON,
"Launched as Google Ventures in 2009, GV supports innovative founders moving the world forward.",Google Ventures,12,27,ORG,
"Launched as Google Ventures in 2009, GV supports innovative founders moving the world forward.",2009,31,35,DATE,
Insight Partners is a private equity firm that invests in growth-stage technology and software companies.,Insight Partners,0,16,ORG,
"Sequoia Capital China is a VC firm focused on seed stage, mid stage, late stage, and growth investments in the fintech sector.",Sequoia Capital China,0,21,ORG,
"Sequoia Capital China is a VC firm focused on seed stage, mid stage, late stage, and growth investments in the fintech sector.",VC,27,29,PERSON,
"Goldman Sachs is a multinational financial services firm providing securities, investment banking, and management services.",Goldman Sachs,0,13,ORG,
Start-Up is a public startup accelerator created by the Chilean Government for global entrepreneurs to bootstrap their startups.,the Chilean Government,52,74,ORG,
First Round is a venture capital firm that specializes in providing seed-stage funding to technology companies.,First Round,0,11,ORG,
GGV Capital is a global venture capital firm that invests in local founders.,GGV Capital,0,11,ORG,
Greylock Partners invests in entrepreneurs that focus on consumer and enterprise software companies.,Greylock Partners,0,17,ORG,
"Battery Ventures finances technology sector companies with venture capital, private equity, and debt financing investments.",Battery Ventures,0,16,ORG,
"Silicon Valley Bank works with technology, life science, cleantech, venture capital, private equity, and premium wine businesses.",Silicon Valley Bank,0,19,ORG,
Founders Fund is a venture capital firm investing in companies building revolutionary technologies.,Founders Fund,0,13,ORG,
Qiming Venture Partners is a venture capital firm investing in Technology&amp;Consumer and Healthcare industries at the early and growth stages.,Qiming Venture Partners,0,23,ORG,
Qiming Venture Partners is a venture capital firm investing in Technology&amp;Consumer and Healthcare industries at the early and growth stages.,Healthcare,91,101,ORG,
"ZhenFund invests in TMT, healthcare, and education among other sectors.",TMT,20,23,ORG,
"ZhenFund invests in TMT, healthcare, and education among other sectors.",healthcare,25,35,ORG,
Venture Capital Fund Management Company,Venture Capital Fund Management Company,0,39,ORG,
Creative Destruction Lab (CDL) is a no-fee/no-equity mentoring program for the founders and executives of pre-seed stage ventures.,CDL,26,29,ORG,
Greycroft is a venture capital firm that focuses on technology start-ups and investments in the Internet and mobile markets.,Greycroft,0,9,ORG,
Canaan is an early-stage venture capital firm that invests in visionaries with transformative ideas.,Canaan,0,6,PERSON,
"Menlo Ventures provides capital for consumer, enterprise, and life science technologies from seed to growth stages.",Menlo Ventures,0,14,ORG,
Sand Hill Angels is a group of Silicon Valley angel investors passionate about helping entrepreneurs get to the next level.,Sand Hill Angels,0,16,ORG,
Sand Hill Angels is a group of Silicon Valley angel investors passionate about helping entrepreneurs get to the next level.,Silicon Valley,31,45,LOC,
"Redpoint Ventures partners with visionary founders to create new markets or redefine existing ones at the seed, early, and growth stages.",Redpoint Ventures,0,17,ORG,
Crowdcube enables individuals to invest in small companies in return for equity or an annual return.,annual,86,92,DATE,
Maine Technology Institute invests in promising technologies by funding research and development projects in the state's seven.,Maine Technology Institute,0,26,ORG,
Maine Technology Institute invests in promising technologies by funding research and development projects in the state's seven.,seven,121,126,CARDINAL,
The Technology Development Fund is Iceland’s most active early stage financier of research and development projects and startups.,The Technology Development Fund,0,31,ORG,
The Technology Development Fund is Iceland’s most active early stage financier of research and development projects and startups.,Iceland,35,42,GPE,
Foundation Capital is a venture capital firm made up of former entrepreneurs and helps companies and businesses grow.,Foundation Capital,0,18,ORG,
Salesforce Ventures invests in the next gen of enterprise tech to help companies connect with their customers in entirely new ways.,Salesforce Ventures,0,19,ORG,
Matrix Partners China builds long-term relationships with entrepreneurs and helps them build significant companies.,China,16,21,GPE,
Polaris Partners invests in healthcare and technology companies ​across all stages from founding to profitable growth.,Polaris Partners,0,16,ORG,
"Benchmark focuses on early-stage venture investing in mobile, marketplaces, social, infrastructure, and enterprise software.",Benchmark,0,9,PERSON,
"Kima Ventures promotes the growth of startups, supporting them in the fastest and most effective ways.",Kima Ventures,0,13,ORG,
CRV is a venture capital firm that invests in early-stage investments in technology companies.,CRV,0,3,ORG,
FJ Labs is a stage-agnostic investment firm that focuses on marketplaces and consumer facing startups.,FJ Labs,0,7,NORP,
True Ventures is a venture capital firm that invests in early-stage technology startups.,True Ventures,0,13,ORG,
"Mayfield is a global VC firm focusing on inception and early-stage investing in enterprise, consumer, and engineering biology companies.",Mayfield,0,8,ORG,
