Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Edward,Edward,1,1,6,Edward,PROPN,NNP,ROOT,Xxxxx,0.0
Fabrice,Fabrice,1,1,7,fabrice,NOUN,NN,ROOT,Xxxxx,0.0
Naval,Naval,1,1,5,Naval,PROPN,NNP,ROOT,Xxxxx,0.0
Mark,Mark,1,1,4,Mark,PROPN,NNP,ROOT,Xxxx,0.0
Kunal,Kunal,1,1,5,Kunal,PROPN,NNP,ROOT,Xxxxx,0.0
Daniel,Daniel,1,1,6,Daniel,PROPN,NNP,ROOT,Xxxxx,0.0
Charlie,Charlie,1,1,7,Charlie,PROPN,NNP,ROOT,Xxxxx,0.0
Scott,Scott,1,2,5,Scott,PROPN,NNP,ROOT,Xxxxx,0.0
Marc,Marc,1,1,4,marc,NOUN,NN,ROOT,Xxxx,0.0
Paul,Paul,1,1,4,Paul,PROPN,NNP,ROOT,Xxxx,0.0
Alexis,Alexis,1,1,6,alexis,VERB,VB,ROOT,Xxxxx,0.0
Gokul,Gokul,1,1,5,Gokul,PROPN,NNP,ROOT,Xxxxx,0.0
Shervin,Shervin,1,1,7,Shervin,PROPN,NNP,ROOT,Xxxxx,0.0
Elad,Elad,1,1,4,Elad,PROPN,NNP,ROOT,Xxxx,0.0
Wei,Wei,1,1,3,Wei,PROPN,NNP,ROOT,Xxx,0.0
Chris,Chris,1,1,5,Chris,PROPN,NNP,ROOT,Xxxxx,0.0
Nadav,Nadav,1,1,5,nadav,NOUN,NN,ROOT,Xxxxx,0.0
Justin,Justin,1,1,6,Justin,PROPN,NNP,ROOT,Xxxxx,0.0
Esther,Esther,1,1,6,esther,NOUN,NN,ROOT,Xxxxx,0.0
Tom,Tom,1,1,3,Tom,PROPN,NNP,ROOT,Xxx,0.0
Louis,Louis,1,1,5,Louis,PROPN,NNP,ROOT,Xxxxx,0.0
