Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Bec Chapin, Jessica Livingston, Lucas Thomaz, Nizar Batada, Paul Graham, Raffaele Colella, Robert Morris, Trevor Blackwell",[],0,[],0,[],0
Carlos Moedas,[],0,[],0,[],0
"Kim Alter, Vannevar Bush",[],0,[],0,[],0
"Bec Chapin, Brad Feld, Dan Driscoll, David Brown, David Cohen, David Tisch, Jared Polis, Sam Yagan",[],0,[],0,[],0
"Akhil Nigam, Cait Brumme, David Constantine, John Harthorne",[],0,[],0,[],0
"Brian Curliss, Christine Tsai, Dave McClure",[],0,[],0,[],0
Sean O'Sullivan,[],0,[],0,[],0
"Chuck Newhall, Frank A. Bonsal, Richard Kramlich",[],0,[],0,[],0
"Arthur Patterson, Jim Swartz, Prashanth Prakash, Subrata Mitra",[],0,[],0,[],0
"Aadit Palicha, Bill Coughran, Don Valentine",[],0,[],0,[],0
"Joao Kepler Braga, Pierre Schurmann",[],0,[],0,[],0
"Les Vadasz, Peter Levin",[],0,[],0,[],0
"Ali Safavi, Jackie Hernandez, Saeed Amidi",[],0,[],0,[],0
Jim Breyer,[],0,[],0,[],0
"Brook Byers, Eugene Kleiner, Frank Caufield, Tom Perkins",[],0,[],0,[],0
Ronald Conway,[],0,[],0,[],0
"Ben Horowitz, Marc Andreessen",[],0,[],0,[],0
"Beat Schillig, Jordi Montserrat, Pascale Vonmont",[],0,[],0,[],0
Henry Phipps,[],0,[],0,[],0
"Beth Obermiller, Luke Antal, Michael Madden, Mike Collins",[],0,[],0,[],0
"Dave Lambert, Kevin Dick",[],0,[],0,[],0
Marta Antunez,[],0,[],0,[],0
"Barry Eggers, Christopher Schaepe, Peter Nieh, Ravi Mhatre",[],0,[],0,[],0
"David Bergmann, Martin Bodenham, Steven T. Stull",[],0,[],0,[],0
"David Fialkow, David Orfao, Joel Cutler",[],0,[],0,[],0
Chase Coleman,[],0,[],0,[],0
"David Rimer, Giuseppe Zocco, Neil Rimer",[],0,[],0,[],0
Vinod Khosla,[],0,[],0,[],0
Bill Maris,[],0,[],0,[],0
"Jeff Horing, Jerry Murdock",[],0,[],0,[],0
Don Valentine,[],0,[],0,[],0
"Marcus Goldman, Moritz Baier-Lentz, Tamin Pechet",[],0,[],0,[],0
"Charles Van Norman, Nicolás Shea",[],0,[],0,[],0
"Emily Melton, Josh Stein",[],0,[],0,[],0
Oliver Samwer,[],0,[],0,[],0
"Howard Morgan, Josh Kopelman, Todd Jackson",[],0,[],0,[],0
"Hany Nada, Joel Kellman, Scott Bonham, Thomas Ng",[],0,[],0,[],0
