Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
Crunchbase Venture Program,[],0,[],0,[],0
"Crunchbase Venture Program, Pledge 1%",[%],1,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
"Crunchbase Venture Program, Unicorn",[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Pledge 1%,"[Pledge, %]",2,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
"Crunchbase Venture Program, Unicorn",[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
Crunchbase Venture Program,[],0,[],0,[],0
