Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"$789,052.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$789,052.00 ","789,052.00",2,1,10,"789,052.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$26,964,318.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$26,964,318.00 ","26,964,318.00",2,1,13,"26,964,318.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$432,292.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$432,292.00 ","432,292.00",2,1,10,"432,292.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$54,440.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$54,440.00 ","54,440.00",2,1,9,"54,440.00",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$541,806.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$541,806.00 ","541,806.00",2,1,10,"541,806.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$982,686.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$982,686.00 ","982,686.00",2,1,10,"982,686.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$3,727,262.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$3,727,262.00 ","3,727,262.00",2,1,12,"3,727,262.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$1,265,742.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,265,742.00 ","1,265,742.00",2,1,12,"1,265,742.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$739,798.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$739,798.00 ","739,798.00",2,1,10,"739,798.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$1,979,600.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,979,600.00 ","1,979,600.00",2,1,12,"1,979,600.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$1,371,130.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,371,130.00 ","1,371,130.00",2,1,12,"1,371,130.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$1,173,080.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,173,080.00 ","1,173,080.00",2,1,12,"1,173,080.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$49,944,327.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$49,944,327.00 ","49,944,327.00",2,1,13,"49,944,327.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$1,500,846.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,500,846.00 ","1,500,846.00",2,1,12,"1,500,846.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$3,385,734,453.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$3,385,734,453.00 ","3,385,734,453.00",2,1,16,"3,385,734,453.00",PROPN,NNP,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$2,992,965.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
