Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Business Development, Finance, Financial Services, Impact Investing, Virtual Currency",[],0,[],0,[],0
"Government, Small and Medium Businesses",[Government],1,[],0,[Small],1
"Advanced Materials, Biotechnology, Chemical Engineering, EdTech, Environmental Engineering, Government, Information Technology, Internet of Things, Manufacturing, Medical Device, Nanotechnology, Robotics, Semiconductor, Wireless",[Internet],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Finance, Financial Services, Social Entrepreneurship, Social Impact",[Finance],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Consumer, Finance, Financial Services, Health Care, Venture Capital",[Consumer],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"FinTech, InsurTech, Retail, Smart Cities, Venture Capital",[],0,[],0,[],0
"Consulting, Finance, Financial Services, Venture Capital",[],0,[],0,[],0
"Finance, Financial Services, Incubators, Venture Capital",[Finance],1,[],0,[],0
"Angel Investment, Finance, Financial Services, Venture Capital",[],0,[],0,[],0
"Angel Investment, Finance, Financial Services, Renewable Energy, Venture Capital",[],0,[],0,[],0
"Business Development, Finance, Financial Services, FinTech, Venture Capital",[],0,[],0,[],0
"Alumni, Angel Investment, Venture Capital",[Alumni],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Business Development, Incubators, Innovation Management",[],0,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Business Development, Financial Exchanges, Financial Services, Impact Investing, Venture Capital",[],0,[],0,[],0
"Asset Management, Finance, Financial Services, Venture Capital",[],0,[],0,[],0
"Business Development, Finance, Financial Services, Venture Capital",[],0,[],0,[],0
"Angel Investment, Cyber Security, Finance, Financial Services, Venture Capital",[],0,[],0,[],0
"Business Development, Finance, Financial Services, Venture Capital",[],0,[],0,[],0
Energy,[Energy],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
"Asset Management, Business Development, Financial Services, Venture Capital",[],0,[],0,[],0
"Finance, Financial Services, FinTech, Venture Capital",[Finance],1,[],0,[],0
"Banking, Finance, Financial Services, Venture Capital",[Banking],1,[],0,[],0
"Innovation Management, Market Research, Social Entrepreneurship",[],0,[],0,[],0
"Enterprise Software, Financial Services, FinTech, Internet of Things, Mobile",[Internet],1,[],0,[],0
"Business Development, Finance, Financial Services, Venture Capital",[],0,[],0,[],0
"Finance, Financial Services, Impact Investing, Venture Capital",[Finance],1,[],0,[],0
"Finance, Financial Services, Venture Capital",[Finance],1,[],0,[],0
