Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Financial Services, Lending and Investments, Payments, Professional Services, Software",[],0,[],0,[],0
"Government and Military, Other",[],0,[],0,[Other],1
"Biotechnology, Education, Government and Military, Hardware, Health Care, Information Technology, Internet Services, Manufacturing, Mobile, Science and Engineering, Software, Sustainability",[Sustainability],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Community and Lifestyle, Financial Services, Other",[Community],1,[],0,[Other],1
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Health Care, Lending and Investments, Other",[],0,[],0,[Other],1
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Commerce and Shopping, Financial Services, Lending and Investments, Real Estate",[],0,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Energy, Financial Services, Lending and Investments, Sustainability","[Energy, Sustainability]",2,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
"Education, Financial Services, Lending and Investments, Other",[Education],1,[],0,[Other],1
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
"Financial Services, Information Technology, Lending and Investments, Privacy and Security",[Security],1,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
Energy,[Energy],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Community and Lifestyle, Data and Analytics, Design, Professional Services",[Community],1,[],0,[],0
"Financial Services, Internet Services, Mobile, Software",[],0,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
"Financial Services, Health Care, Lending and Investments, Other",[],0,[],0,[Other],1
"Financial Services, Lending and Investments, Other, Software",[],0,[],0,[Other],1
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Information Technology, Lending and Investments, Other, Professional Services",[],0,[],0,[Other],1
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Hardware, Health Care, Lending and Investments, Software",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Artificial Intelligence, Commerce and Shopping, Data and Analytics, Hardware, Manufacturing, Other, Professional Services, Science and Engineering, Software, Sustainability, Transportation",[Transportation],1,[],0,[Other],1
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Biotechnology, Financial Services, Health Care, Lending and Investments, Science and Engineering",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Advertising, Gaming, Internet Services, Sales and Marketing","[Advertising, Sales, Marketing]",3,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
"Education, Information Technology, Software",[Education],1,[],0,[],0
"Financial Services, Government and Military",[],0,[],0,[],0
"Financial Services, Software",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Internet Services, Lending and Investments, Software",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Biotechnology, Data and Analytics, Financial Services, Health Care, Lending and Investments, Science and Engineering",[],0,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments",[Investments],1,[],0,[],0
"Financial Services, Lending and Investments, Other",[],0,[],0,[Other],1
"Commerce and Shopping, Financial Services, Lending and Investments, Other",[],0,[],0,[Other],1
"Financial Services, Lending and Investments, Software",[],0,[],0,[],0
"Financial Services, Hardware, Internet Services, Other, Software",[],0,[],0,[Other],1
