Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Debt, Early Stage Venture, Seed","[Debt, Seed]",2,[],0,[Early],1
"Grant, Seed",[Seed],1,[],0,[],0
"Debt, Early Stage Venture, Seed","[Debt, Seed]",2,[],0,[Early],1
"Early Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Early Stage Venture, Seed, Venture",[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Private Equity, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Early Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
Seed,[Seed],1,[],0,[],0
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Convertible Note, Early Stage Venture, Initial Coin Offering, Late Stage Venture, Seed, Venture",[],0,[],0,[Initial],1
Seed,[Seed],1,[],0,[],0
Seed,[Seed],1,[],0,[],0
"Early Stage Venture, Late Stage Venture, Private Equity",[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market",[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Early Stage Venture, Grant, Non Equity Assistance, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",[],0,[],0,[Early],1
"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed","[Debt, Seed]",2,[],0,[Early],1
"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed","[Debt, Seed]",2,[],0,[Early],1
"Early Stage Venture, Grant, Private Equity, Seed",[Seed],1,[],0,[Early],1
"Debt, Early Stage Venture, Grant, Private Equity, Seed","[Debt, Seed]",2,[],0,[Early],1
Early Stage Venture,[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Debt, Early Stage Venture, Late Stage Venture, Seed","[Debt, Seed]",2,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Private Equity",[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed","[Debt, Seed]",2,[],0,[Early],1
"Debt, Early Stage Venture, Late Stage Venture, Private Equity",[Debt],1,[],0,[Early],1
"Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed","[Debt, Seed]",2,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity",[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Early Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Convertible Note, Early Stage Venture, Late Stage Venture, Seed, Venture",[],0,[],0,[],0
"Early Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Private Equity, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Debt, Early Stage Venture, Late Stage Venture, Seed","[Debt, Seed]",2,[],0,[Early],1
"Debt, Grant",[Debt],1,[],0,[],0
Early Stage Venture,[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Private Equity, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture",[],0,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Non Equity Assistance, Seed",[Seed],1,[],0,[Early],1
"Early Stage Venture, Late Stage Venture, Seed",[Seed],1,[],0,[Early],1
Early Stage Venture,[],0,[],0,[Early],1
"Early Stage Venture, Seed",[Seed],1,[],0,[Early],1
