Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Y Combinator,Y,2,1,1,Y,PROPN,NNP,compound,X,0.0
Y Combinator,Combinator,2,1,10,combinator,NOUN,NN,ROOT,Xxxxx,0.0
EASME - EU Executive Agency for SMEs,EASME,7,1,5,EASME,PROPN,NNP,compound,XXXX,0.0
EASME - EU Executive Agency for SMEs,-,7,1,1,-,PUNCT,HYPH,punct,-,0.0
EASME - EU Executive Agency for SMEs,EU,7,1,2,EU,PROPN,NNP,compound,XX,0.0
EASME - EU Executive Agency for SMEs,Executive,7,1,9,Executive,PROPN,NNP,compound,Xxxxx,0.0
EASME - EU Executive Agency for SMEs,Agency,7,1,6,Agency,PROPN,NNP,ROOT,Xxxxx,0.0
EASME - EU Executive Agency for SMEs,for,7,1,3,for,ADP,IN,prep,xxx,0.0
EASME - EU Executive Agency for SMEs,SMEs,7,1,4,sme,NOUN,NNS,pobj,XXXx,0.0
National Science Foundation,National,3,1,8,National,PROPN,NNP,compound,Xxxxx,0.0
National Science Foundation,Science,3,1,7,Science,PROPN,NNP,compound,Xxxxx,0.0
National Science Foundation,Foundation,3,1,10,Foundation,PROPN,NNP,ROOT,Xxxxx,0.0
Techstars,Techstars,1,1,9,techstar,NOUN,NNS,ROOT,Xxxxx,0.0
MassChallenge,MassChallenge,1,1,13,MassChallenge,PROPN,NNP,ROOT,XxxxXxxxx,0.0
500 Startups,500,2,1,3,500,NUM,CD,nummod,ddd,0.0
500 Startups,Startups,2,1,8,startup,NOUN,NNS,ROOT,Xxxxx,0.0
SOSV,SOSV,1,1,4,SOSV,NOUN,NNS,ROOT,XXXX,0.0
New Enterprise Associates,New,3,1,3,New,PROPN,NNP,compound,Xxx,0.0
New Enterprise Associates,Enterprise,3,1,10,Enterprise,PROPN,NNP,compound,Xxxxx,0.0
New Enterprise Associates,Associates,3,1,10,Associates,PROPN,NNPS,ROOT,Xxxxx,0.0
Accel,Accel,1,1,5,Accel,PROPN,NNP,ROOT,Xxxxx,0.0
Sequoia Capital,Sequoia,2,1,7,Sequoia,PROPN,NNP,compound,Xxxxx,0.0
Sequoia Capital,Capital,2,1,7,Capital,PROPN,NNP,ROOT,Xxxxx,0.0
Bossanova Investimentos,Bossanova,2,1,9,Bossanova,PROPN,NNP,compound,Xxxxx,0.0
Bossanova Investimentos,Investimentos,2,1,13,Investimentos,PROPN,NNP,ROOT,Xxxxx,0.0
Intel Capital,Intel,2,1,5,Intel,PROPN,NNP,compound,Xxxxx,0.0
Intel Capital,Capital,2,1,7,Capital,PROPN,NNP,ROOT,Xxxxx,0.0
Plug and Play,Plug,3,1,4,Plug,PROPN,NNP,ROOT,Xxxx,0.0
Plug and Play,and,3,1,3,and,CCONJ,CC,cc,xxx,0.0
Plug and Play,Play,3,1,4,play,VERB,VB,conj,Xxxx,0.0
IDG Capital,IDG,2,1,3,IDG,PROPN,NNP,compound,XXX,0.0
