Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Accelerator,Accelerator,1,56,11,accelerator,NOUN,NN,ROOT,Xxxxx,0.0
Government Office,Government,2,20,10,Government,PROPN,NNP,compound,Xxxxx,0.0
Government Office,Office,2,20,6,Office,PROPN,NNP,ROOT,Xxxxx,0.0
"Entrepreneurship Program, Government Office",Entrepreneurship,4,2,16,Entrepreneurship,PROPN,NNP,compound,Xxxxx,0.0
"Entrepreneurship Program, Government Office",Program,4,2,7,Program,PROPN,NNP,ROOT,Xxxxx,0.0
"Entrepreneurship Program, Government Office",",",4,2,1,",",PUNCT,",",punct,",",0.0
"Entrepreneurship Program, Government Office",Government,4,2,10,Government,PROPN,NNP,compound,Xxxxx,0.0
"Entrepreneurship Program, Government Office",Office,4,2,6,Office,PROPN,NNP,appos,Xxxxx,0.0
"Accelerator, Venture Capital",Accelerator,3,18,11,Accelerator,PROPN,NNP,ROOT,Xxxxx,0.0
"Accelerator, Venture Capital",",",3,18,1,",",PUNCT,",",punct,",",0.0
"Accelerator, Venture Capital",Venture,3,18,7,Venture,PROPN,NNP,compound,Xxxxx,0.0
"Accelerator, Venture Capital",Capital,3,18,7,Capital,PROPN,NNP,appos,Xxxxx,0.0
"Accelerator, Micro VC, Venture Capital",Accelerator,5,9,11,Accelerator,PROPN,NNP,ROOT,Xxxxx,0.0
"Accelerator, Micro VC, Venture Capital",",",5,9,1,",",PUNCT,",",punct,",",0.0
"Accelerator, Micro VC, Venture Capital",Micro,5,9,5,Micro,PROPN,NNP,compound,Xxxxx,0.0
"Accelerator, Micro VC, Venture Capital",VC,5,9,2,VC,PROPN,NNP,appos,XX,0.0
"Accelerator, Micro VC, Venture Capital",Venture,5,9,7,Venture,PROPN,NNP,compound,Xxxxx,0.0
"Accelerator, Micro VC, Venture Capital",Capital,5,9,7,Capital,PROPN,NNP,appos,Xxxxx,0.0
