Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",[],0,[],0,[],0
"Alexandria, Virginia, United States",[],0,[],0,[],0
"Boulder, Colorado, United States",[],0,[],0,[],0
"Boston, Massachusetts, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Princeton, New Jersey, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"Palo Alto, California, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"São Paulo, Sao Paulo, Brazil",[],0,[],0,[],0
"Santa Clara, California, United States",[],0,[],0,[],0
"Sunnyvale, California, United States",[],0,[],0,[],0
"Beijing, Beijing, China",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"Schlieren, Zurich, Switzerland",[],0,[],0,[],0
"Redwood City, California, United States",[],0,[],0,[],0
"Manchester, New Hampshire, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Madrid, Madrid, Spain",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"New Orleans, Louisiana, United States",[],0,[],0,[],0
"Cambridge, Massachusetts, United States",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"Albany, New York, United States",[],0,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Beijing, Beijing, China",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Santiago, Region Metropolitana, Chile",[],0,[],0,[],0
"Maisons-alfort, Ile-de-France, France","[Maisons, de, -]",3,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"Berlin, Berlin, Germany",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"Palo Alto, California, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"Boston, Massachusetts, United States",[],0,[],0,[],0
"Santa Clara, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Shanghai, Shanghai, China",[],0,[],0,[],0
"Palo Alto, California, United States",[],0,[],0,[],0
"Beijing, Beijing, China",[],0,[],0,[],0
"Bonn, Nordrhein-Westfalen, Germany",[],0,[],0,[],0
"Budapest, Budapest, Hungary",[],0,[],0,[],0
"Toronto, Ontario, Canada",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Mountain View, California, United States",[Mountain],1,[],0,[],0
"Shenzhen, Guangdong, China",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"Exeter, Devon, United Kingdom",[],0,[],0,[],0
"Brunswick, Maine, United States",[],0,[],0,[],0
"Reykjavík, Gullbringusysla, Iceland",[],0,[],0,[],0
"Dublin, Dublin, Ireland",[],0,[],0,[],0
"Palo Alto, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Beijing, Beijing, China",[],0,[],0,[],0
"Boston, Massachusetts, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Paris, Ile-de-France, France","[de, -]",2,[],0,[],0
"Palo Alto, California, United States",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Palo Alto, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"Bethesda, Maryland, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Bengaluru, Karnataka, India",[],0,[],0,[],0
"Mumbai, Maharashtra, India",[Mumbai],1,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Newport Beach, California, United States",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Cambridge, Massachusetts, United States",[],0,[],0,[],0
"Swindon, Wiltshire, United Kingdom",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"Pittsburgh, Pennsylvania, United States",[],0,[],0,[],0
"Menlo Park, California, United States",[],0,[],0,[],0
"Burlington, Vermont, United States",[],0,[],0,[],0
"London, England, United Kingdom",[],0,[],0,[],0
"Tokyo, Tokyo, Japan",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Beloit, Wisconsin, United States",[],0,[],0,[],0
"Calgary, Alberta, Canada",[],0,[],0,[],0
"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"London, England, United Kingdom",[],0,[],0,[],0
"Shenzhen, Guangdong, China",[],0,[],0,[],0
"Singapore, Central Region, Singapore",[],0,[],0,[],0
"Paris, Ile-de-France, France","[de, -]",2,[],0,[],0
"Palo Alto, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"London, England, United Kingdom",[],0,[],0,[],0
"Singapore, Central Region, Singapore",[],0,[],0,[],0
"San Diego, California, United States",[],0,[],0,[],0
