Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"$671,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$671,000,000.00 ","671,000,000.00",2,1,14,"671,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$126,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$126,000,000.00 ","126,000,000.00",2,1,14,"126,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$11,212,132,800.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$11,212,132,800.00 ","11,212,132,800.00",2,1,17,"11,212,132,800.00",NUM,CD,ROOT,"dd,ddd,ddd,ddd.dd",0.0
"$1,607,527.42 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,607,527.42 ","1,607,527.42",2,1,12,"1,607,527.42",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$4,714,192,200.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$4,714,192,200.00 ","4,714,192,200.00",2,1,16,"4,714,192,200.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$1,000,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,000,000,000.00 ","1,000,000,000.00",2,1,16,"1,000,000,000.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$145,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$145,000,000.00 ","145,000,000.00",2,1,14,"145,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$1,666,429,420.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,666,429,420.00 ","1,666,429,420.00",2,1,16,"1,666,429,420.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$4,133,333,354.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$4,133,333,354.00 ","4,133,333,354.00",2,1,16,"4,133,333,354.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$1,770,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,770,000,000.00 ","1,770,000,000.00",2,1,16,"1,770,000,000.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$9,894,431.94 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$9,894,431.94 ","9,894,431.94",2,1,12,"9,894,431.94",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$54,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$54,000,000.00 ","54,000,000.00",2,1,13,"54,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$52,885,242.90 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$52,885,242.90 ","52,885,242.90",2,1,13,"52,885,242.90",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$3,045,113,340.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$3,045,113,340.00 ","3,045,113,340.00",2,1,16,"3,045,113,340.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$104,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$104,000,000.00 ","104,000,000.00",2,1,14,"104,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
