Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
46.96%,46.96,1,1,5,46.96,NUM,CD,nummod,dd.dd,0.0
46.96%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
21.44%,21.44,1,1,5,21.44,NUM,CD,nummod,dd.dd,0.0
21.44%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
10.47%,10.47,1,1,5,10.47,NUM,CD,nummod,dd.dd,0.0
10.47%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
41.05%,41.05,1,1,5,41.05,NUM,CD,nummod,dd.dd,0.0
41.05%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
21.13%,21.13,1,1,5,21.13,NUM,CD,nummod,dd.dd,0.0
21.13%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
1.17%,1.17,1,1,4,1.17,NUM,CD,nummod,d.dd,0.0
1.17%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
2.28%,2.28,1,1,4,2.28,NUM,CD,nummod,d.dd,0.0
2.28%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
28.16%,28.16,1,1,5,28.16,NUM,CD,nummod,dd.dd,0.0
28.16%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
4.51%,4.51,1,1,4,4.51,NUM,CD,nummod,d.dd,0.0
4.51%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-35.59%,-35.59,1,1,6,-35.59,NUM,CD,ROOT,-dd.dd,0.0
-35.59%,%,1,1,1,%,NOUN,NN,intj,%,0.0
9.64%,9.64,1,1,4,9.64,NUM,CD,nummod,d.dd,0.0
9.64%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-21.94%,-21.94,1,1,6,-21.94,NUM,CD,ROOT,-dd.dd,0.0
-21.94%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-21.58%,-21.58,1,1,6,-21.58,NOUN,NN,ROOT,-dd.dd,0.0
-21.58%,%,1,1,1,%,NOUN,NN,intj,%,0.0
56.73%,56.73,1,1,5,56.73,NUM,CD,nummod,dd.dd,0.0
56.73%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-67.64%,-67.64,1,1,6,-67.64,PUNCT,.,ROOT,-dd.dd,0.0
-67.64%,%,1,1,1,%,NOUN,NN,intj,%,0.0
33.41%,33.41,1,1,5,33.41,NUM,CD,nummod,dd.dd,0.0
33.41%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
12.87%,12.87,1,1,5,12.87,NUM,CD,nummod,dd.dd,0.0
12.87%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-8.44%,-8.44,1,1,5,-8.44,NUM,CD,nummod,-d.dd,0.0
-8.44%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-25.51%,-25.51,1,2,6,-25.51,NOUN,NN,ROOT,-dd.dd,0.0
-25.51%,%,1,2,1,%,NOUN,NN,intj,%,0.0
-14.45%,-14.45,1,1,6,-14.45,VERB,VBP,ROOT,-dd.dd,0.0
-14.45%,%,1,1,1,%,NOUN,NN,intj,%,0.0
42.61%,42.61,1,1,5,42.61,NUM,CD,nummod,dd.dd,0.0
42.61%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-61.70%,-61.70,1,1,6,-61.70,INTJ,UH,ROOT,-dd.dd,0.0
-61.70%,%,1,1,1,%,INTJ,UH,intj,%,0.0
16.05%,16.05,1,1,5,16.05,NUM,CD,nummod,dd.dd,0.0
16.05%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
8.18%,8.18,1,1,4,8.18,NUM,CD,nummod,d.dd,0.0
