Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
-24.96%,-24.96,1,1,6,-24.96,PUNCT,.,ROOT,-dd.dd,0.0
-24.96%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-14.85%,-14.85,1,1,6,-14.85,INTJ,UH,ROOT,-dd.dd,0.0
-14.85%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-6.12%,-6.12,1,1,5,-6.12,NUM,CD,nummod,-d.dd,0.0
-6.12%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-35.26%,-35.26,1,1,6,-35.26,PUNCT,NFP,punct,-dd.dd,0.0
-35.26%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-17.81%,-17.81,1,1,6,-17.81,NUM,CD,ROOT,-dd.dd,0.0
-17.81%,%,1,1,1,%,INTJ,UH,intj,%,0.0
8.39%,8.39,1,1,4,8.39,NUM,CD,nummod,d.dd,0.0
8.39%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
6.72%,6.72,1,2,4,6.72,NUM,CD,nummod,d.dd,0.0
6.72%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-24.42%,-24.42,1,1,6,-24.42,PUNCT,NFP,ROOT,-dd.dd,0.0
-24.42%,%,1,1,1,%,NOUN,NN,intj,%,0.0
1.77%,1.77,1,1,4,1.77,NUM,CD,nummod,d.dd,0.0
1.77%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
114.69%,114.69,1,1,6,114.69,NUM,CD,nummod,ddd.dd,0.0
114.69%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-9.34%,-9.34,1,1,5,-9.34,NUM,CD,nummod,-d.dd,0.0
-9.34%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
57.16%,57.16,1,1,5,57.16,NUM,CD,nummod,dd.dd,0.0
57.16%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
62.44%,62.44,1,1,5,62.44,NUM,CD,nummod,dd.dd,0.0
62.44%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-47.91%,-47.91,1,1,6,-47.91,VERB,VBP,ROOT,-dd.dd,0.0
-47.91%,%,1,1,1,%,INTJ,UH,intj,%,0.0
400.77%,400.77,1,1,6,400.77,NUM,CD,nummod,ddd.dd,0.0
400.77%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-32.19%,-32.19,1,1,6,-32.19,PUNCT,NFP,ROOT,-dd.dd,0.0
-32.19%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-8.32%,-8.32,1,2,5,-8.32,NUM,CD,nummod,-d.dd,0.0
-8.32%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
26.37%,26.37,1,1,5,26.37,NUM,CD,nummod,dd.dd,0.0
26.37%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
953.42%,953.42,1,1,6,953.42,NUM,CD,nummod,ddd.dd,0.0
953.42%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
28.10%,28.10,1,1,5,28.10,NUM,CD,nummod,dd.dd,0.0
28.10%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-37.02%,-37.02,1,1,6,-37.02,NUM,CD,ROOT,-dd.dd,0.0
-37.02%,%,1,1,1,%,INTJ,UH,intj,%,0.0
936.50%,936.50,1,1,6,936.50,NUM,CD,nummod,ddd.dd,0.0
936.50%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-12.21%,-12.21,1,1,6,-12.21,VERB,VBP,ROOT,-dd.dd,0.0
-12.21%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-3.11%,-3.11,1,1,5,-3.11,NUM,CD,nummod,-d.dd,0.0
-3.11%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
63.59%,63.59,1,1,5,63.59,NUM,CD,nummod,dd.dd,0.0
63.59%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-37.74%,-37.74,1,1,6,-37.74,PUNCT,HYPH,ROOT,-dd.dd,0.0
-37.74%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-42.08%,-42.08,1,1,6,-42.08,NUM,CD,ROOT,-dd.dd,0.0
-42.08%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-19.02%,-19.02,1,1,6,-19.02,AUX,MD,ROOT,-dd.dd,0.0
-19.02%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-16.74%,-16.74,1,1,6,-16.74,PUNCT,``,punct,-dd.dd,0.0
-16.74%,%,1,1,1,%,INTJ,UH,ROOT,%,0.0
-39.13%,-39.13,1,1,6,-39.13,PUNCT,-LRB-,ROOT,-dd.dd,0.0
-39.13%,%,1,1,1,%,INTJ,UH,intj,%,0.0
3.03%,3.03,1,1,4,3.03,NUM,CD,nummod,d.dd,0.0
3.03%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
145.03%,145.03,1,1,6,145.03,NUM,CD,nummod,ddd.dd,0.0
145.03%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
80.62%,80.62,1,1,5,80.62,NUM,CD,nummod,dd.dd,0.0
80.62%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-13.75%,-13.75,1,1,6,-13.75,PUNCT,NFP,ROOT,-dd.dd,0.0
-13.75%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-7.19%,-7.19,1,1,5,-7.19,NUM,CD,nummod,-d.dd,0.0
