Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Advertising; business,Advertising,2,113,11,advertising,NOUN,NN,ROOT,Xxxxx,0.0
Advertising; business,;,2,113,1,;,PUNCT,:,punct,;,0.0
Advertising; business,business,2,113,8,business,NOUN,NN,appos,xxxx,0.0
Education; entertainment,Education,2,12,9,education,NOUN,NN,ROOT,Xxxxx,0.0
Education; entertainment,;,2,12,1,;,PUNCT,:,punct,;,0.0
Education; entertainment,entertainment,2,12,13,entertainment,NOUN,NN,appos,xxxx,0.0
Insurance; financial affairs,Insurance,3,180,9,insurance,NOUN,NN,ROOT,Xxxxx,0.0
Insurance; financial affairs,;,3,180,1,;,PUNCT,:,punct,;,0.0
Insurance; financial affairs,financial,3,180,9,financial,ADJ,JJ,amod,xxxx,0.0
Insurance; financial affairs,affairs,3,180,7,affair,NOUN,NNS,appos,xxxx,0.0
Machines and machine tools,Machines,4,1,8,machine,NOUN,NNS,ROOT,Xxxxx,0.0
Machines and machine tools,and,4,1,3,and,CCONJ,CC,cc,xxx,0.0
Machines and machine tools,machine,4,1,7,machine,NOUN,NN,compound,xxxx,0.0
Machines and machine tools,tools,4,1,5,tool,NOUN,NNS,conj,xxxx,0.0
"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",Bleaching,8,1,9,bleaching,NOUN,NN,ROOT,Xxxxx,0.0
"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",",",8,1,1,",",PUNCT,",",punct,",",0.0
"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",cleaning,8,1,8,cleaning,NOUN,NN,conj,xxxx,0.0
"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",polishing,8,1,9,polishing,NOUN,NN,conj,xxxx,0.0
"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",scouring,8,1,8,scour,VERB,VBG,conj,xxxx,0.0
"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",and,8,1,3,and,CCONJ,CC,cc,xxx,0.0
"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",abrasive,8,1,8,abrasive,ADJ,JJ,amod,xxxx,0.0
"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",preparations,8,1,12,preparation,NOUN,NNS,conj,xxxx,0.0
"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",;,8,1,1,;,PUNCT,:,punct,;,0.0
"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics",cosmetics,8,1,9,cosmetic,NOUN,NNS,appos,xxxx,0.0
Scientific and electric apparatus and instruments,Scientific,6,12,10,scientific,ADJ,JJ,amod,Xxxxx,0.0
Scientific and electric apparatus and instruments,and,6,12,3,and,CCONJ,CC,cc,xxx,0.0
Scientific and electric apparatus and instruments,electric,6,12,8,electric,ADJ,JJ,conj,xxxx,0.0
Scientific and electric apparatus and instruments,apparatus,6,12,9,apparatus,NOUN,NN,ROOT,xxxx,0.0
Scientific and electric apparatus and instruments,instruments,6,12,11,instrument,NOUN,NNS,conj,xxxx,0.0
Furniture and decorative products,Furniture,4,2,9,furniture,NOUN,NN,ROOT,Xxxxx,0.0
Furniture and decorative products,and,4,2,3,and,CCONJ,CC,cc,xxx,0.0
Furniture and decorative products,decorative,4,2,10,decorative,ADJ,JJ,amod,xxxx,0.0
Furniture and decorative products,products,4,2,8,product,NOUN,NNS,conj,xxxx,0.0
Industrial oils and greases; lubricants; fuels,Industrial,6,1,10,industrial,ADJ,JJ,amod,Xxxxx,0.0
Industrial oils and greases; lubricants; fuels,oils,6,1,4,oil,NOUN,NNS,ROOT,xxxx,0.0
Industrial oils and greases; lubricants; fuels,and,6,1,3,and,CCONJ,CC,cc,xxx,0.0
Industrial oils and greases; lubricants; fuels,greases,6,1,7,grease,NOUN,NNS,conj,xxxx,0.0
Industrial oils and greases; lubricants; fuels,;,6,1,1,;,PUNCT,:,punct,;,0.0
Industrial oils and greases; lubricants; fuels,lubricants,6,1,10,lubricant,NOUN,NNS,conj,xxxx,0.0
