Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
-3.92%,-3.92,1,1,5,-3.92,NUM,CD,nummod,-d.dd,0.0
-3.92%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-6.05%,-6.05,1,1,5,-6.05,NUM,CD,nummod,-d.dd,0.0
-6.05%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.59%,-3.59,1,1,5,-3.59,NUM,CD,nummod,-d.dd,0.0
-3.59%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-39.28%,-39.28,1,1,6,-39.28,NUM,CD,ROOT,-dd.dd,0.0
-39.28%,%,1,1,1,%,NOUN,NN,intj,%,0.0
4.04%,4.04,1,1,4,4.04,NUM,CD,nummod,d.dd,0.0
4.04%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
36.04%,36.04,1,1,5,36.04,NUM,CD,nummod,dd.dd,0.0
36.04%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
28.14%,28.14,1,1,5,28.14,NUM,CD,nummod,dd.dd,0.0
28.14%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
74.85%,74.85,1,1,5,74.85,NUM,CD,nummod,dd.dd,0.0
74.85%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.13%,-3.13,1,1,5,-3.13,NUM,CD,nummod,-d.dd,0.0
-3.13%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-57.29%,-57.29,1,1,6,-57.29,NUM,CD,ROOT,-dd.dd,0.0
-57.29%,%,1,1,1,%,NOUN,NN,intj,%,0.0
125.74%,125.74,1,1,6,125.74,NUM,CD,nummod,ddd.dd,0.0
125.74%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-2.84%,-2.84,1,1,5,-2.84,NUM,CD,nummod,-d.dd,0.0
-2.84%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-35.50%,-35.50,1,1,6,-35.50,PUNCT,NFP,ROOT,-dd.dd,0.0
-35.50%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-29.51%,-29.51,1,1,6,-29.51,VERB,VBP,ROOT,-dd.dd,0.0
-29.51%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-25.26%,-25.26,1,1,6,-25.26,PUNCT,NFP,ROOT,-dd.dd,0.0
-25.26%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-49.35%,-49.35,1,2,6,-49.35,VERB,VBP,ROOT,-dd.dd,0.0
-49.35%,%,1,2,1,%,INTJ,UH,intj,%,0.0
-5.86%,-5.86,1,1,5,-5.86,NUM,CD,nummod,-d.dd,0.0
-5.86%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.20%,-3.20,1,1,5,-3.20,NUM,CD,nummod,-d.dd,0.0
-3.20%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
0%,0,1,42,1,0,NUM,CD,nummod,d,0.0
0%,%,1,42,1,%,NOUN,NN,ROOT,%,0.0
103.52%,103.52,1,1,6,103.52,NUM,CD,nummod,ddd.dd,0.0
103.52%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
