Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
735885132,735885132,1,1,9,735885132,NUM,CD,ROOT,dddd,0.0
703-292-8050,703,1,1,3,703,NUM,CD,ROOT,ddd,0.0
703-292-8050,-,1,1,1,-,SYM,SYM,punct,-,0.0
703-292-8050,292,1,1,3,292,NUM,CD,prep,ddd,0.0
703-292-8050,8050,1,1,4,8050,NUM,CD,prep,dddd,0.0
+1 303-720-6559,+1,2,1,2,+1,NOUN,NN,ROOT,+d,0.0
+1 303-720-6559,303,2,1,3,303,NUM,CD,nummod,ddd,0.0
+1 303-720-6559,-,2,1,1,-,SYM,SYM,punct,-,0.0
+1 303-720-6559,720,2,1,3,720,NUM,CD,prep,ddd,0.0
+1 303-720-6559,6559,2,1,4,6559,NUM,CD,nummod,dddd,0.0
650-854-9499,650,1,1,3,650,NUM,CD,ROOT,ddd,0.0
650-854-9499,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
650-854-9499,854,1,1,3,854,NUM,CD,nummod,ddd,0.0
650-854-9499,9499,1,1,4,9499,NUM,CD,prep,dddd,0.0
650-614-4800,650,1,1,3,650,NUM,CD,ROOT,ddd,0.0
650-614-4800,-,1,1,1,-,SYM,SYM,punct,-,0.0
650-614-4800,614,1,1,3,614,NUM,CD,prep,ddd,0.0
650-614-4800,4800,1,1,4,4800,NUM,CD,prep,dddd,0.0
+1 650-854-3927,+1,2,1,2,+1,PROPN,NNP,ROOT,+d,0.0
+1 650-854-3927,650,2,1,3,650,NUM,CD,nummod,ddd,0.0
+1 650-854-3927,-,2,1,1,-,PUNCT,HYPH,punct,-,0.0
+1 650-854-3927,854,2,1,3,854,NUM,CD,nummod,ddd,0.0
+1 650-854-3927,-,2,1,1,-,SYM,SYM,punct,-,0.0
+1 650-854-3927,3927,2,1,4,3927,NUM,CD,prep,dddd,0.0
+1 408-524-1400,+1,2,1,2,+1,PROPN,NNP,ROOT,+d,0.0
+1 408-524-1400,408,2,1,3,408,NUM,CD,nummod,ddd,0.0
+1 408-524-1400,-,2,1,1,-,SYM,SYM,punct,-,0.0
+1 408-524-1400,524,2,1,3,524,NUM,CD,prep,ddd,0.0
+1 408-524-1400,1400,2,1,4,1400,NUM,CD,prep,dddd,0.0
86-10-8590-1800,86,1,1,2,86,NUM,CD,ROOT,dd,0.0
86-10-8590-1800,-,1,1,1,-,SYM,SYM,punct,-,0.0
86-10-8590-1800,10,1,1,2,10,NUM,CD,nummod,dd,0.0
86-10-8590-1800,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
86-10-8590-1800,8590,1,1,4,8590,NUM,CD,prep,dddd,0.0
86-10-8590-1800,1800,1,1,4,1800,NUM,CD,prep,dddd,0.0
650.233.0300,650.233.0300,1,1,12,650.233.0300,X,LS,ROOT,ddd.ddd.dddd,0.0
+41 (21) 533 09 82,+41,5,1,3,+41,NOUN,NN,ROOT,+dd,0.0
+41 (21) 533 09 82,(,5,1,1,(,PUNCT,-LRB-,punct,(,0.0
+41 (21) 533 09 82,21,5,1,2,21,NUM,CD,appos,dd,0.0
+41 (21) 533 09 82,),5,1,1,),PUNCT,-RRB-,punct,),0.0
+41 (21) 533 09 82,533,5,1,3,533,NUM,CD,nummod,ddd,0.0
+41 (21) 533 09 82,09,5,1,2,09,NUM,CD,compound,dd,0.0
+41 (21) 533 09 82,82,5,1,2,82,NUM,CD,appos,dd,0.0
650-853-7000,650,1,1,3,650,NUM,CD,nummod,ddd,0.0
650-853-7000,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
650-853-7000,853,1,1,3,853,NUM,CD,prep,ddd,0.0
650-853-7000,7000,1,1,4,7000,NUM,CD,ROOT,dddd,0.0
603-518-8112,603,1,1,3,603,NUM,CD,ROOT,ddd,0.0
603-518-8112,-,1,1,1,-,SYM,SYM,punct,-,0.0
603-518-8112,518,1,1,3,518,NUM,CD,prep,ddd,0.0
603-518-8112,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
603-518-8112,8112,1,1,4,8112,NUM,CD,prep,dddd,0.0
053-881-6943,053,1,1,3,053,NUM,CD,ROOT,ddd,0.0
053-881-6943,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
053-881-6943,881,1,1,3,881,NUM,CD,prep,ddd,0.0
053-881-6943,-,1,1,1,-,SYM,SYM,punct,-,0.0
053-881-6943,6943,1,1,4,6943,NUM,CD,prep,dddd,0.0
+1 650 234 8300,+1,4,1,2,+1,VERB,VB,ROOT,+d,0.0
+1 650 234 8300,650,4,1,3,650,NUM,CD,compound,ddd,0.0
+1 650 234 8300,234,4,1,3,234,NUM,CD,nummod,ddd,0.0
+1 650 234 8300,8300,4,1,4,8300,NUM,CD,nummod,dddd,0.0
(504) 522-4850,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(504) 522-4850,504,2,1,3,504,NUM,CD,quantmod,ddd,0.0
(504) 522-4850,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(504) 522-4850,522,2,1,3,522,NUM,CD,ROOT,ddd,0.0
(504) 522-4850,-,2,1,1,-,SYM,SYM,punct,-,0.0
(504) 522-4850,4850,2,1,4,4850,NUM,CD,prep,dddd,0.0
212-775-4000,212,1,1,3,212,NUM,CD,ROOT,ddd,0.0
212-775-4000,-,1,1,1,-,SYM,SYM,punct,-,0.0
212-775-4000,775,1,1,3,775,NUM,CD,prep,ddd,0.0
212-775-4000,4000,1,1,4,4000,NUM,CD,prep,dddd,0.0
212-843-8030,212,1,1,3,212,NUM,CD,ROOT,ddd,0.0
212-843-8030,-,1,1,1,-,SYM,SYM,punct,-,0.0
212-843-8030,843,1,1,3,843,NUM,CD,prep,ddd,0.0
212-843-8030,8030,1,1,4,8030,NUM,CD,prep,dddd,0.0
415-471-1700,415,1,1,3,415,NUM,CD,ROOT,ddd,0.0
415-471-1700,-,1,1,1,-,SYM,SYM,punct,-,0.0
415-471-1700,471,1,1,3,471,NUM,CD,prep,ddd,0.0
415-471-1700,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
415-471-1700,1700,1,1,4,1700,NUM,CD,prep,dddd,0.0
650-376-8500,650,1,1,3,650,NUM,CD,nummod,ddd,0.0
650-376-8500,-,1,1,1,-,SYM,SYM,punct,-,0.0
650-376-8500,376,1,1,3,376,NUM,CD,prep,ddd,0.0
650-376-8500,8500,1,1,4,8500,NUM,CD,ROOT,dddd,0.0
212-971-5342,212,1,1,3,212,NUM,CD,ROOT,ddd,0.0
212-971-5342,-,1,1,1,-,SYM,SYM,punct,-,0.0
212-971-5342,971,1,1,3,971,NUM,CD,prep,ddd,0.0
212-971-5342,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
212-971-5342,5342,1,1,4,5342,NUM,CD,prep,dddd,0.0
212-230-9200,212,1,1,3,212,NUM,CD,ROOT,ddd,0.0
212-230-9200,-,1,1,1,-,SYM,SYM,punct,-,0.0
212-230-9200,230,1,1,3,230,NUM,CD,prep,ddd,0.0
212-230-9200,9200,1,1,4,9200,NUM,CD,prep,dddd,0.0
+86 10 8447 5668,+86,4,1,3,+86,PROPN,NNP,ROOT,+dd,0.0
+86 10 8447 5668,10,4,1,2,10,NUM,CD,nummod,dd,0.0
+86 10 8447 5668,8447,4,1,4,8447,NUM,CD,compound,dddd,0.0
+86 10 8447 5668,5668,4,1,4,5668,NUM,CD,nummod,dddd,0.0
8.80171E+12,8.80171E+12,1,1,11,8.80171e+12,NUM,CD,ROOT,d.ddddX+dd,0.0
650.233.9000,650.233.9000,1,1,12,650.233.9000,NUM,CD,ROOT,ddd.ddd.dddd,0.0
(650) 475-2150,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(650) 475-2150,650,2,1,3,650,NUM,CD,ROOT,ddd,0.0
(650) 475-2150,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(650) 475-2150,475,2,1,3,475,NUM,CD,appos,ddd,0.0
(650) 475-2150,-,2,1,1,-,SYM,SYM,punct,-,0.0
(650) 475-2150,2150,2,1,4,2150,NUM,CD,prep,dddd,0.0
