Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
European Union (EU),[],0,[],0,[],0
"Washington DC Metro Area, East Coast, Southern US",[],0,[],0,[],0
"Greater Denver Area, Western US",[],0,[],0,[],0
"Greater Boston Area, East Coast, New England",[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
"East Coast, Northeastern US",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
Latin America,[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
Asia-Pacific (APAC),[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"East Coast, New England, Northeastern US",[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
European Union (EU),[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
Southern US,[],0,[],0,[Southern],1
"Greater Boston Area, East Coast, New England",[],0,[],0,[],0
"Greater New York Area, East Coast, Northeastern US",[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"East Coast, Northeastern US",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"Greater New York Area, East Coast, Northeastern US",[],0,[],0,[],0
Asia-Pacific (APAC),[],0,[],0,[],0
"Greater New York Area, East Coast, Northeastern US",[],0,[],0,[],0
Latin America,[],0,[],0,[],0
European Union (EU),[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
European Union (EU),[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"Greater Boston Area, East Coast, New England",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
Asia-Pacific (APAC),[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
Asia-Pacific (APAC),[],0,[],0,[],0
European Union (EU),[],0,[],0,[],0
European Union (EU),[],0,[],0,[],0
Great Lakes,[],0,[],0,[Great],1
"Greater New York Area, East Coast, Northeastern US",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
Asia-Pacific (APAC),[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"East Coast, New England, Northeastern US",[],0,[],0,[],0
"Nordic Countries, Scandinavia",[],0,[],0,[Nordic],1
European Union (EU),[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
Asia-Pacific (APAC),[],0,[],0,[],0
"Greater Boston Area, East Coast, New England",[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
European Union (EU),[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"Greater New York Area, East Coast, Northeastern US",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"Washington DC Metro Area, East Coast, Southern US",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"Greater New York Area, East Coast, Northeastern US",[],0,[],0,[],0
Asia-Pacific (APAC),[],0,[],0,[],0
Asia-Pacific (APAC),[],0,[],0,[],0
"Greater New York Area, East Coast, Northeastern US",[],0,[],0,[],0
"San Francisco Bay Area, West Coast, Western US",[],0,[],0,[],0
"Greater Los Angeles Area, West Coast, Western US",[],0,[],0,[],0
"Greater New York Area, East Coast, Northeastern US",[],0,[],0,[],0
"Greater Boston Area, East Coast, New England",[],0,[],0,[],0
