Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
NYSE - New York Stock Exchange,[],0,[],0,[],0
HKG - Hong Kong Stock Exchange,[],0,[],0,[],0
LSE - London Stock Exchange,[LSE],1,[],0,[],0
TYO - Tokyo Stock Exchange,[],0,[],0,[],0
NASDAQ,[],0,[],0,[],0
NASDAQ,[],0,[],0,[],0
NYSE - New York Stock Exchange,[],0,[],0,[],0
TYO - Tokyo Stock Exchange,[],0,[],0,[],0
NYSE - New York Stock Exchange,[],0,[],0,[],0
HKG - Hong Kong Stock Exchange,[],0,[],0,[],0
LSE - London Stock Exchange,[LSE],1,[],0,[],0
ASX - Australian Securities Exchange,[],0,[],0,[],0
EPA - Euronext Paris,[],0,[],0,[],0
NYSE - New York Stock Exchange,[],0,[],0,[],0
NASDAQ,[],0,[],0,[],0
NYSE - New York Stock Exchange,[],0,[],0,[],0
HKG - Hong Kong Stock Exchange,[],0,[],0,[],0
NEEQ - National Equities Exchange and Quotations,[],0,[],0,[],0
NASDAQ,[],0,[],0,[],0
LSE - London Stock Exchange,[LSE],1,[],0,[],0
NASDAQ,[],0,[],0,[],0
NASDAQ,[],0,[],0,[],0
EBR - Euronext Brussels,[],0,[],0,[],0
NYSE - New York Stock Exchange,[],0,[],0,[],0
MOEX - Moscow Exchange,[],0,[],0,[],0
HKG - Hong Kong Stock Exchange,[],0,[],0,[],0
LSE - London Stock Exchange,[LSE],1,[],0,[],0
TYO - Tokyo Stock Exchange,[],0,[],0,[],0
SWX - SIX Swiss Exchange,[],0,[],0,[],0
ETR - Deutsche Börse XETRA,[XETRA],1,[],0,[],0
NYSE - New York Stock Exchange,[],0,[],0,[],0
TYO - Tokyo Stock Exchange,[],0,[],0,[],0
BIT - Italian Stock Exchange,[BIT],1,[],0,[Italian],1
NYSE - New York Stock Exchange,[],0,[],0,[],0
NYSE - New York Stock Exchange,[],0,[],0,[],0
NYSE - New York Stock Exchange,[],0,[],0,[],0
NASDAQ,[],0,[],0,[],0
LSE - London Stock Exchange,[LSE],1,[],0,[],0
TYO - Tokyo Stock Exchange,[],0,[],0,[],0
TSX - Toronto Stock Exchange,[],0,[],0,[],0
HKG - Hong Kong Stock Exchange,[],0,[],0,[],0
NASDAQ,[],0,[],0,[],0
