Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"SVB Financial Group, Mercury, Silicon Valley Bank, ACE &amp; Company, Lightbank",[],0,[],0,[],0
National Science Foundation,[],0,[],0,[],0
"Wavemaker Partners, MI Ventures, Abu Dhabi Financial Group, Mason Ng, David Schellhase",[],0,[],0,[],0
OSINOVA,[],0,[],0,[],0
Raj Sareen,[],0,[Sareen],1,[],0
"Wasabi Ventures, Michael Bunning",[],0,[],0,[],0
Citi,[],0,[],0,[],0
"Bank of Montreal, SCALE AI, RBC Capital, Government of Canada, Alberta Innovates",[],0,[],0,[],0
"Lippo Group, IDG Capital, PCCW, Prosus &amp; Naspers",[Naspers],1,[],0,[],0
"Crowdcube, Molten Ventures, Circle, Draper Associates, Uday Kumar Bangalore Shivaraman",[],0,[],0,[],0
Tech Coast Angels,[],0,[],0,[],0
Renaissance Venture Capital,[],0,[],0,[],0
"Siemens, SAP, Juniper Networks, Mayfield Fund, Khosla Ventures",[],0,[],0,[],0
"Cisco, GoBeyond, LVenture Group, Penny Schiffer",[Schiffer],1,[],0,[],0
"Andreessen Horowitz, Y Combinator, General Catalyst, FundersClub, Plug and Play",[],0,[Play],1,[],0
"Anthemis Group, Venrex, DN Capital, BDMI, LocalGlobe",[],0,[],0,[],0
"Concentric, Credit Saison, FinTech Collective, Eduardo Saverin, Kistefos Venture Capital",[],0,[],0,[],0
"Clearco, Fundamental Labs, Polymath Network, Sputnik ATX, Fenbushi Capital",[],0,[],0,[],0
European regional development fund (ERDF),"[development, fund]",2,[],0,"[European, regional]",2
Accretion Capital,"[Accretion, Capital]",2,[],0,[],0
9Yards Capital,[Capital],1,[],0,[],0
"Andreessen Horowitz, SoftBank, 7percent Ventures, Acequia Capital (AceCap), Greylock",[],0,[],0,[],0
"Masimo, Ping An, GuideWell",[],0,[],0,[],0
Ion Pacific,[],0,[],0,[],0
"Groupon, Cisco, Founders Fund, Stanford University, AT&amp;T",[],0,[],0,[],0
Mason Ng,[],0,[],0,[],0
"Credit Suisse, Silicon Valley Bank, Voyager Capital, National Australia Bank (NAB), i80 | Group","[i80, |]",2,[],0,[],0
FedDev,[FedDev],1,[],0,[],0
