Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"$11,000,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$11,000,000,000.00 ","11,000,000,000.00",2,1,17,"11,000,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd,ddd.dd",0.0
"$6,699,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$6,699,000,000.00 ","6,699,000,000.00",2,1,16,"6,699,000,000.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$895,756,890.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$895,756,890.00 ","895,756,890.00",2,1,14,"895,756,890.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$52,700,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$52,700,000,000.00 ","52,700,000,000.00",2,1,17,"52,700,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd,ddd.dd",0.0
"$9,100,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$9,100,000,000.00 ","9,100,000,000.00",2,1,16,"9,100,000,000.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$173,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$173,000,000.00 ","173,000,000.00",2,1,14,"173,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$23,053,669,655.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$23,053,669,655.00 ","23,053,669,655.00",2,1,17,"23,053,669,655.00",NUM,CD,ROOT,"dd,ddd,ddd,ddd.dd",0.0
"$7,274,694,608.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$7,274,694,608.00 ","7,274,694,608.00",2,1,16,"7,274,694,608.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$8,199,999,999.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$8,199,999,999.00 ","8,199,999,999.00",2,1,16,"8,199,999,999.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$438,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$438,000,000.00 ","438,000,000.00",2,1,14,"438,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$357,218,661.69 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$357,218,661.69 ","357,218,661.69",2,1,14,"357,218,661.69",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$489,600,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$489,600,000.00 ","489,600,000.00",2,1,14,"489,600,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
